Date,Open,High,Low,Close,Volume,Adj Close
2015-12-28,24.95,35.00,24.70,32.15,254000,32.15
2015-12-21,24.95,25.50,24.35,24.80,10900,24.80
2015-12-14,25.00,25.30,23.40,25.10,12100,25.10
2015-12-07,26.90,26.90,23.90,24.10,11800,24.10
2015-11-30,24.90,26.00,24.55,25.85,23300,25.85
2015-11-23,24.70,25.50,23.75,24.55,7200,24.55
2015-11-16,25.45,27.00,24.00,24.70,9800,24.70
2015-11-09,25.00,25.55,23.55,24.95,10400,24.95
2015-11-02,24.95,28.75,24.10,25.10,19600,25.10
2015-10-26,26.65,27.00,24.15,24.40,18800,24.40
2015-10-19,27.00,29.75,25.75,26.30,44800,26.30
2015-10-12,24.85,28.90,24.85,26.25,60700,26.25
2015-10-05,22.80,25.85,21.65,24.85,29600,24.85
2015-09-28,21.50,24.50,21.10,22.80,20700,22.80
2015-09-21,22.00,22.25,20.00,21.35,8300,21.35
2015-09-14,21.00,22.45,20.05,21.75,6100,21.75
2015-09-07,19.45,21.70,18.75,21.35,11200,21.35
2015-08-31,22.00,22.00,19.40,19.95,10600,19.95
2015-08-24,22.40,23.60,18.25,21.75,23600,21.75
2015-08-17,23.90,24.80,22.90,24.00,19600,24.00
2015-08-10,24.30,25.00,23.00,23.90,9000,23.90
2015-08-03,24.80,25.65,24.20,24.40,20800,24.40
2015-07-27,24.60,25.35,22.70,24.30,15400,24.30
2015-07-20,26.60,29.00,24.50,24.95,41300,24.95
2015-07-13,26.90,28.00,24.95,26.70,30100,26.70
2015-07-06,24.80,27.70,22.00,27.00,37900,27.00
2015-06-29,25.55,26.00,21.55,24.90,29800,24.90
2015-06-22,24.25,28.05,24.10,25.75,13900,25.75
2015-06-15,24.10,26.70,24.00,24.25,11200,24.25
2015-06-08,24.50,28.80,23.90,24.20,8400,24.20
2015-06-01,25.20,27.50,23.75,24.80,7800,24.80
2015-05-25,25.90,26.95,25.05,26.00,5800,26.00
2015-05-18,26.00,27.60,25.25,26.10,11500,26.10
2015-05-11,28.15,28.80,25.85,26.65,11900,26.65
2015-05-04,30.80,31.45,26.20,27.25,27100,27.25
2015-04-27,27.70,30.50,26.05,29.00,10600,29.00
2015-04-20,30.00,31.15,27.00,27.40,28300,27.40
2015-04-13,28.85,33.20,28.20,30.50,67200,30.50
2015-04-06,30.00,30.00,27.50,28.45,22200,28.45
2015-03-30,23.80,28.85,23.15,28.65,23600,28.65
2015-03-23,25.05,30.20,22.60,23.25,23500,23.25
2015-03-16,26.30,28.00,25.00,25.25,20100,25.25
2015-03-09,27.15,30.00,25.40,26.70,10000,26.70
2015-03-02,27.55,28.40,25.70,27.10,13300,27.10
2015-02-23,28.35,29.15,24.65,27.85,19700,27.85
2015-02-16,29.10,29.75,25.80,27.45,29400,27.45
2015-02-09,28.15,30.00,27.05,29.10,15900,29.10
2015-02-02,29.85,33.00,27.65,28.20,36700,28.20
2015-01-26,31.60,32.30,29.15,29.35,31800,29.35
2015-01-19,32.30,33.45,31.05,31.60,23000,31.60
2015-01-12,33.40,35.00,31.30,32.00,40400,32.00
2015-01-05,37.70,37.70,30.45,33.10,25500,33.10
2015-01-01,32.95,34.45,31.10,33.50,18800,33.50
