Date,Open,High,Low,Close,Volume,Adj Close
2015-12-28,105.019997,107.739998,104.529999,104.660004,15392300,104.660004
2015-12-21,104.910004,106.110001,103.599998,105.019997,14042200,105.019997
2015-12-14,102.290001,107.75,101.459999,104.040001,25068600,104.040001
2015-12-07,106.480003,106.910004,101.910004,102.120003,20518500,102.120003
2015-11-30,105.839996,107.919998,103.349998,106.18,22226400,106.18
2015-11-23,107.190002,107.470001,104.389999,105.449997,16131200,105.449997
2015-11-16,103.32,107.879997,100.470001,107.32,29520600,107.32
2015-11-09,107.00,109.870003,103.830002,103.949997,25535000,103.949997
2015-11-02,101.720001,110.650002,101.18,107.099998,37406500,107.099998
2015-10-26,102.199997,105.120003,101.550003,101.970001,25528400,101.970001
2015-10-19,97.18,102.849998,96.470001,102.190002,29146200,102.190002
2015-10-12,93.32,97.589996,92.669998,97.540001,22030700,97.540001
2015-10-05,92.940002,94.269997,90.470001,93.239998,24242700,93.239998
2015-09-28,92.080002,92.290001,85.720001,92.07,37363200,92.07
2015-09-21,94.620003,96.489998,91.919998,92.769997,29089500,92.769997
2015-09-14,92.309998,95.510002,91.599998,94.400002,29090000,94.400002
2015-09-08,89.690002,92.080002,88.830002,92.050003,26796500,92.050003
2015-08-31,90.599998,91.050003,86.50,88.260002,30103100,88.260002
2015-08-24,77.029999,91.480003,72.00,91.010002,51300700,91.010002
2015-08-17,94.419998,96.099998,85.610001,86.059998,34244100,86.059998
2015-08-10,95.68,95.900002,91.190002,94.419998,20909400,94.419998
2015-08-03,93.529999,98.739998,92.800003,94.300003,28952500,94.300003
2015-07-27,96.580002,97.279999,91.800003,94.010002,54238000,94.010002
2015-07-20,95.849998,99.239998,94.809998,96.949997,37095400,96.949997
2015-07-13,88.660004,95.389999,88.419998,94.970001,32659300,94.970001
2015-07-06,86.489998,88.220001,85.230003,87.949997,25729600,87.949997
2015-06-29,86.610001,87.949997,85.57,87.290001,25339900,87.290001
2015-06-22,83.410004,89.400002,83.309998,88.010002,37387500,88.010002
2015-06-15,80.550003,83.190002,80.07,82.510002,20196900,82.510002
2015-06-08,81.82,82.900002,79.32,81.529999,17003700,81.529999
2015-06-01,79.300003,82.949997,78.660004,82.139999,21164800,82.139999
2015-05-26,80.43,81.07,78.879997,79.190002,14649700,79.190002
2015-05-18,80.330002,81.690002,79.459999,80.540001,19119300,80.540001
2015-05-11,78.480003,81.849998,76.790001,80.419998,27635900,80.419998
2015-05-04,79.330002,79.690002,77.050003,78.510002,21071800,78.510002
2015-04-27,81.870003,82.93,78.110001,78.989998,25757400,78.989998
2015-04-20,81.540001,85.589996,81.239998,81.529999,40981000,81.529999
2015-04-13,81.93,83.940002,80.370003,80.779999,21350800,80.779999
2015-04-06,80.800003,83.419998,80.800003,82.040001,16790700,82.040001
2015-03-30,83.809998,84.339996,80.870003,81.559998,21496000,81.559998
2015-03-23,83.919998,86.07,82.139999,83.300003,29707400,83.300003
2015-03-16,77.959999,84.599998,77.360001,83.800003,32990700,83.800003
2015-03-09,79.68,79.910004,77.260002,78.050003,19371700,78.050003
2015-03-02,79.00,81.989998,78.519997,80.010002,24147700,80.010002
2015-02-23,79.959999,81.370003,78.099998,78.970001,26096200,78.970001
2015-02-17,75.300003,80.339996,75.080002,79.900002,32615900,79.900002
2015-02-09,74.050003,76.870003,73.449997,75.739998,17747900,75.739998
2015-02-02,76.110001,76.349998,73.75,74.470001,25048400,74.470001
2015-01-26,77.980003,78.470001,74.209999,75.910004,39324000,75.910004
2015-01-20,75.720001,78.190002,74.82,77.830002,21046000,77.830002
2015-01-12,77.839996,78.080002,73.540001,75.18,25242700,75.18
2015-01-05,77.980003,79.25,75.360001,77.739998,24202900,77.739998
2015-01-02,78.580002,78.93,77.699997,78.449997,18177500,78.449997
