Date,Open,High,Low,Close,Volume,Adj Close
2015-12-28,22.10,23.20,21.80,22.45,1441500,22.45
2015-12-21,21.75,23.15,21.60,22.00,1274900,22.00
2015-12-14,21.00,23.70,20.90,21.75,2434300,21.75
2015-12-07,22.60,23.50,19.50,21.25,2317600,21.25
2015-11-30,20.85,24.45,20.45,22.45,4397700,22.45
2015-11-23,20.15,22.15,19.80,20.85,2019600,20.85
2015-11-16,17.40,20.35,17.10,19.80,1738400,19.80
2015-11-09,17.50,18.20,17.25,17.45,265100,17.45
2015-11-02,18.80,19.35,17.55,17.65,689800,17.65
2015-10-26,18.40,19.90,18.00,18.65,1089100,18.65
2015-10-19,18.40,19.40,18.05,18.25,717600,18.25
2015-10-12,16.85,19.60,16.50,18.25,1983200,18.25
2015-10-05,16.20,17.30,15.85,16.60,890600,16.60
2015-09-28,16.05,16.40,15.70,15.80,286100,15.80
2015-09-21,16.50,16.85,15.50,15.90,736200,15.90
2015-09-14,15.60,16.15,15.35,15.90,288300,15.90
2015-09-07,14.80,16.80,14.45,15.50,1043300,15.50
2015-08-31,15.45,16.40,14.70,14.80,502300,14.80
2015-08-24,16.65,16.70,14.35,15.35,987800,15.35
2015-08-17,18.20,18.45,17.00,17.20,569500,17.20
2015-08-10,20.15,20.35,17.55,18.25,976600,18.25
2015-08-03,19.35,22.30,19.05,20.15,2616000,20.15
2015-07-27,19.15,20.45,18.15,19.00,1022500,19.00
2015-07-20,20.00,21.30,19.00,19.10,1028800,19.10
2015-07-13,18.70,21.40,18.50,19.95,1741100,19.95
2015-07-06,18.85,21.90,18.65,18.80,3964100,18.80
2015-06-29,16.30,19.85,15.65,19.85,4653200,19.85
2015-06-22,15.65,17.50,15.35,16.50,1166500,16.50
2015-06-15,14.95,15.95,14.55,15.65,494500,15.65
2015-06-08,16.40,16.40,14.80,14.95,407300,14.95
2015-06-01,17.40,17.60,15.25,15.85,661800,15.85
2015-05-25,17.90,17.90,16.85,17.05,390000,17.05
2015-05-18,17.85,18.30,17.50,17.60,361100,17.60
2015-05-11,18.30,18.85,17.15,17.65,367400,17.65
2015-05-04,18.25,19.05,17.25,18.20,547500,18.20
2015-04-27,18.70,19.10,17.70,18.15,498800,18.15
2015-04-20,20.10,20.20,18.20,18.30,538100,18.30
2015-04-13,21.50,22.15,20.00,20.10,643100,20.10
2015-04-06,19.30,22.80,18.55,21.40,1479800,21.40
2015-03-30,17.40,19.10,17.30,18.85,711500,18.85
2015-03-23,19.25,19.40,16.35,17.30,1346600,17.30
2015-03-16,22.25,22.45,19.00,19.25,2146200,19.25
2015-03-09,26.35,26.90,20.90,22.30,4515600,22.30
2015-03-02,28.30,28.40,26.35,26.60,955700,26.60
2015-02-23,29.60,30.50,28.30,29.15,1551600,29.15
2015-02-16,27.35,30.80,27.35,29.90,2633300,29.90
2015-02-09,27.40,28.70,27.00,27.35,1120900,27.35
2015-02-02,28.85,30.90,27.50,27.60,2680700,27.60
2015-01-26,27.55,29.50,26.70,28.90,1834500,28.90
2015-01-19,27.65,29.10,27.20,27.55,1208300,27.55
2015-01-12,27.40,29.15,27.25,27.65,2056600,27.65
2015-01-05,27.55,28.20,26.50,27.30,1570900,27.30
2015-01-01,27.30,28.15,27.05,27.55,1454000,27.55
