Date,Open,High,Low,Close,Volume,Adj Close
2015-12-28,100.90,111.00,95.25,104.80,28300,104.80
2015-12-21,99.80,101.25,96.25,97.95,8500,97.95
2015-12-14,90.05,102.50,88.55,99.70,13200,99.70
2015-12-07,100.90,101.55,90.00,90.80,11800,90.80
2015-11-30,88.80,102.50,86.00,100.90,67000,100.90
2015-11-23,83.40,95.00,81.80,87.90,26300,87.90
2015-11-16,77.80,81.70,75.50,81.15,4100,81.15
2015-11-09,73.90,79.00,73.90,77.85,1800,77.85
2015-11-02,80.00,80.60,74.25,74.25,3700,74.25
2015-10-26,80.00,83.00,74.75,79.90,12300,79.90
2015-10-19,86.50,87.00,77.00,79.15,27300,79.15
2015-10-12,73.30,86.00,70.25,85.15,17900,85.15
2015-10-05,69.10,75.90,69.10,73.60,5500,73.60
2015-09-28,70.35,71.75,63.00,69.15,3100,69.15
2015-09-21,69.20,71.40,67.85,70.00,1500,70.00
2015-09-14,70.05,72.00,68.50,70.35,3200,70.35
2015-09-07,67.10,70.85,66.00,69.25,7000,69.25
2015-08-31,65.00,66.50,62.10,64.95,6700,64.95
2015-08-24,69.50,69.50,61.50,65.70,7700,65.70
2015-08-17,73.00,75.10,70.00,71.45,5900,71.45
2015-08-10,77.80,86.40,72.10,73.25,54400,73.25
2015-08-03,71.35,80.00,71.25,75.60,18700,75.60
2015-07-27,68.10,74.10,67.60,71.35,8200,71.35
2015-07-20,71.60,73.35,68.00,68.05,3900,68.05
2015-07-13,68.20,77.00,68.00,71.85,15500,71.85
2015-07-06,68.00,72.60,66.05,69.00,4300,69.00
2015-06-29,69.30,72.90,66.50,67.90,4700,67.90
2015-06-22,66.30,77.00,64.05,72.70,21900,72.70
2015-06-15,62.05,71.90,60.20,65.95,9800,65.95
2015-06-08,66.00,67.00,62.50,64.55,21800,64.55
2015-06-01,67.10,68.30,63.20,66.70,2900,66.70
2015-05-25,67.80,69.00,65.00,67.90,2300,67.90
2015-05-18,67.45,68.40,65.50,67.30,2800,67.30
2015-05-11,68.80,70.35,65.65,65.70,3500,65.70
2015-05-04,71.15,73.00,66.60,68.80,2300,68.80
2015-04-27,72.00,72.00,68.15,69.95,1100,69.95
2015-04-20,73.55,73.55,69.25,70.05,2400,70.05
2015-04-13,75.00,76.25,73.00,73.50,3000,73.50
2015-04-06,72.00,75.75,72.00,74.95,3100,74.95
2015-03-30,71.85,72.45,68.40,71.90,4800,71.90
2015-03-23,70.35,71.10,66.90,70.20,18900,70.20
2015-03-16,73.00,75.70,70.00,70.80,7300,70.80
2015-03-09,76.60,77.05,72.25,73.40,5200,73.40
2015-03-02,76.25,83.75,75.75,76.80,11700,76.80
2015-02-23,75.45,79.00,74.15,75.55,14200,75.55
2015-02-16,78.00,78.50,73.50,74.50,13700,74.50
2015-02-09,81.50,81.80,74.05,76.65,8100,76.65
2015-02-02,85.00,86.90,80.50,81.15,5300,81.15
2015-01-26,88.25,89.50,84.10,84.45,3800,84.45
2015-01-19,87.00,90.95,85.50,88.25,9400,88.25
2015-01-12,90.35,91.60,85.00,85.40,6500,85.40
2015-01-05,94.00,98.75,87.00,90.00,12500,90.00
2015-01-01,90.50,96.85,90.00,92.70,8000,92.70
