Date,Open,High,Low,Close,Volume,Adj Close
2015-12-28,29.51,29.700001,29.10,29.469999,839700,29.469999
2015-12-21,28.75,29.139999,28.17,28.93,949800,28.93
2015-12-14,27.219999,29.60,26.879999,28.639999,1497800,28.639999
2015-12-07,29.860001,30.08,26.92,27.15,2073400,27.15
2015-11-30,31.43,31.790001,29.51,29.950001,1876300,29.950001
2015-11-23,30.110001,31.450001,29.700001,31.030001,1312700,31.030001
2015-11-16,30.01,31.040001,30.00,30.48,1172000,30.48
2015-11-09,30.35,31.129999,29.93,30.01,1631800,30.01
2015-11-02,29.51,30.889999,28.950001,30.00,1888700,30.00
2015-10-26,29.629999,29.84,28.959999,29.57,1377100,29.57
2015-10-19,28.91,29.93,28.74,29.700001,1550800,29.700001
2015-10-12,27.780001,30.00,26.959999,29.23,2237100,29.23
2015-10-05,24.10,27.85,24.040001,27.43,2112500,27.43
2015-09-28,21.75,23.459999,21.559999,23.360001,2142500,23.360001
2015-09-21,25.209999,25.33,22.25,22.879999,1567200,22.879999
2015-09-14,25.76,26.290001,24.719999,25.00,1982700,25.00
2015-09-08,24.92,26.48,24.67,25.700001,2173700,25.700001
2015-08-31,25.24,25.57,23.940001,24.15,1778200,24.15
2015-08-24,22.360001,25.73,21.870001,25.65,3247200,25.65
2015-08-17,26.940001,27.02,24.459999,24.459999,2563700,24.459999
2015-08-10,29.90,30.379999,26.790001,26.889999,3233900,26.889999
2015-08-03,30.07,30.59,28.870001,29.959999,2640000,29.959999
2015-07-27,29.18,30.27,28.469999,29.66,2152400,29.66
2015-07-20,30.700001,31.18,29.60,29.73,2508400,29.73
2015-07-13,31.85,32.189999,30.120001,31.10,1801300,31.10
2015-07-06,34.259998,34.259998,30.32,31.51,3092200,31.51
2015-06-29,34.419998,35.669998,33.98,34.349998,1664300,34.349998
2015-06-22,35.360001,35.689999,34.380001,34.900002,1911500,34.900002
2015-06-15,34.389999,35.639999,34.18,34.77,1794000,34.77
2015-06-08,34.790001,35.709999,33.959999,34.330002,2146600,34.330002
2015-06-01,38.349998,38.490002,34.560001,34.970001,2132900,34.970001
2015-05-26,39.869999,40.400002,37.560001,38.299999,2725200,38.299999
2015-05-18,42.27,42.380001,40.889999,41.169998,1651600,41.169998
2015-05-11,43.09,43.380001,41.27,42.419998,1112300,42.419998
2015-05-04,41.330002,42.900002,39.630001,42.630001,1357500,42.630001
2015-04-27,41.91,43.00,40.91,41.310001,1450100,41.310001
2015-04-20,43.200001,43.25,41.27,42.110001,2175400,42.110001
2015-04-13,45.43,45.639999,43.259998,43.310001,1904600,43.310001
2015-04-06,45.900002,46.709999,45.02,45.59,866900,45.59
2015-03-30,45.040001,46.189999,44.450001,45.59,1563500,45.59
2015-03-23,46.849998,47.189999,43.310001,44.00,1461500,44.00
2015-03-16,47.150002,48.07,46.259998,46.900002,739900,46.900002
2015-03-09,47.880001,48.02,45.880001,46.860001,755800,46.860001
2015-03-02,49.360001,50.060001,47.389999,47.700001,1062900,47.700001
2015-02-23,48.98,49.450001,47.610001,49.220001,818100,49.220001
2015-02-17,48.34,49.66,48.220001,49.560001,715400,49.560001
2015-02-09,46.00,48.77,45.580002,48.34,1062200,48.34
2015-02-02,49.84,51.799999,46.509998,46.669998,1944200,46.669998
2015-01-26,50.689999,51.73,48.73,49.32,1824300,49.32
2015-01-20,47.040001,50.740002,45.77,50.720001,2368400,50.720001
2015-01-12,44.040001,45.439999,42.889999,45.209999,1421000,45.209999
2015-01-05,44.32,44.939999,40.650002,43.830002,1629600,43.830002
2015-01-02,43.560001,43.939999,43.27,43.84,965900,43.84
