Date,Open,High,Low,Close,Volume,Adj Close
2015-12-14,34.115,35.135,33.865,33.865,000,33.865
2015-12-07,35.925,36.285,34.89,34.89,000,34.89
2015-11-30,36.87,37.035,34.67,34.67,000,34.67
2015-11-23,37.045,37.045,36.79,36.90,000,36.90
2015-11-16,34.61,36.385,34.61,36.385,000,36.385
2015-11-09,37.715,37.715,35.73,35.73,000,35.73
2015-11-02,35.06,37.295,35.06,37.075,000,37.075
2015-10-26,34.36,35.49,34.36,35.49,000,35.49
2015-10-19,32.59,34.045,32.14,34.045,100,34.045
2015-10-12,33.395,33.395,32.615,32.87,000,32.87
2015-10-05,32.84,33.57,32.84,33.495,000,33.495
2015-09-28,32.25,32.655,31.245,32.37,000,32.37
2015-09-21,31.985,32.935,31.985,32.165,000,32.165
2015-09-14,33.43,33.565,32.16,32.16,000,32.16
2015-09-07,32.82,34.09,32.615,33.355,000,33.355
2015-08-31,32.95,32.95,32.27,32.885,000,32.885
2015-08-24,32.26,32.47,31.25,32.47,000,32.47
2015-08-17,35.44,35.875,34.06,34.06,000,34.06
2015-08-10,36.145,36.145,35.12,35.23,000,35.23
2015-08-03,36.29,36.455,36.00,36.00,000,36.00
2015-07-27,35.405,36.395,34.94,36.125,000,36.125
2015-07-20,37.19,37.19,35.565,35.565,000,35.565
2015-07-13,36.225,37.42,36.225,37.42,000,37.42
2015-07-06,36.155,36.615,36.015,36.54,000,36.54
2015-06-29,36.52,36.52,36.22,36.29,000,36.14
2015-06-22,36.81,37.165,36.655,36.655,000,36.503
2015-06-15,39.305,39.695,36.50,37.615,000,37.46
2015-06-08,39.27,39.31,37.99,39.31,000,39.148
2015-06-01,39.89,39.89,38.745,38.745,000,38.585
2015-05-25,39.695,40.28,39.695,39.92,000,39.755
2015-05-18,38.565,39.915,38.565,39.695,000,39.531
2015-05-11,39.39,39.39,38.25,38.88,000,38.719
2015-05-04,39.77,40.075,37.90,38.81,000,38.65
2015-04-27,39.555,40.485,39.555,39.80,000,39.635
2015-04-20,39.96,40.61,39.96,40.09,000,39.924
2015-04-13,41.015,41.175,40.095,40.265,000,40.099
2015-04-06,39.515,40.455,39.345,40.455,000,40.288
2015-03-30,39.20,40.40,39.20,39.515,000,39.352
2015-03-23,41.17,41.17,38.80,39.40,000,39.09
2015-03-16,40.325,41.50,40.325,41.50,000,41.173
2015-03-09,38.955,39.81,38.955,39.81,000,39.496
2015-03-02,39.215,39.81,38.76,39.70,000,39.387
2015-02-23,38.44,39.10,38.44,39.10,000,38.792
2015-02-16,38.47,38.78,38.455,38.78,000,38.474
2015-02-09,37.82,38.805,37.82,38.485,000,38.182
2015-02-02,37.07,37.60,37.07,37.505,200,37.209
2015-01-26,39.22,39.22,37.765,37.765,000,37.467
2015-01-19,37.51,38.745,37.51,38.745,000,38.44
2015-01-12,36.605,36.80,36.23,36.77,000,36.48
2015-01-05,36.93,36.93,36.38,36.755,000,36.465
2015-01-01,37.535,37.545,37.535,37.545,000,37.13
