Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,1116.25,1124.50,1111.00,1114.50,21500,1110.73
2015-12-30,1120.20,1122.55,1110.00,1113.40,16800,1109.64
2015-12-29,1125.00,1126.00,1111.85,1116.60,46000,1112.82
2015-12-28,1115.30,1131.90,1115.00,1118.90,19800,1115.12
2015-12-25,1118.90,1118.90,1118.90,1118.90,000,1115.12
2015-12-24,1140.00,1140.50,1107.00,1118.90,42800,1115.12
2015-12-23,1135.00,1148.00,1128.00,1132.95,47700,1129.12
2015-12-22,1146.00,1153.00,1126.20,1132.25,24900,1128.42
2015-12-21,1144.00,1154.00,1125.00,1142.00,37300,1138.14
2015-12-18,1180.00,1207.00,1130.00,1137.55,80700,1133.70
2015-12-17,1200.00,1217.00,1165.00,1179.65,38400,1175.66
2015-12-16,1196.00,1233.30,1171.00,1195.40,107700,1191.36
2015-12-15,1110.30,1200.00,1110.00,1189.75,118900,1185.73
2015-12-14,1114.00,1120.00,1093.90,1110.30,15100,1106.55
2015-12-11,1129.55,1140.00,1104.00,1113.05,16500,1109.29
2015-12-10,1138.00,1144.75,1103.55,1126.95,16800,1123.14
2015-12-09,1160.00,1160.00,1115.25,1132.25,15100,1128.42
2015-12-08,1141.10,1159.00,1141.00,1152.25,16900,1148.35
2015-12-07,1156.00,1165.00,1145.00,1150.00,15100,1146.11
2015-12-04,1151.05,1164.95,1145.55,1153.80,40100,1149.90
2015-12-03,1163.30,1186.00,1158.05,1164.65,59300,1160.71
2015-12-02,1175.00,1184.00,1160.50,1174.00,55400,1170.03
2015-12-01,1172.60,1190.00,1170.00,1174.15,29600,1170.18
2015-11-30,1165.00,1174.80,1162.10,1170.00,38900,1166.04
2015-11-27,1160.00,1186.95,1153.10,1158.15,99400,1154.23
2015-11-26,1160.00,1170.00,1146.90,1151.50,117500,1147.61
2015-11-25,1160.10,1160.10,1160.10,1160.10,000,1156.18
2015-11-24,1180.00,1180.00,1152.50,1160.10,139300,1156.18
2015-11-23,1180.00,1183.55,1170.60,1175.25,14400,1171.28
2015-11-20,1196.00,1196.00,1171.00,1174.55,34400,1170.58
2015-11-19,1198.95,1198.95,1171.60,1180.20,22100,1176.21
2015-11-18,1205.00,1212.00,1170.00,1177.10,16400,1173.12
2015-11-17,1215.00,1215.00,1190.80,1194.20,10000,1190.16
2015-11-16,1202.00,1215.00,1188.95,1200.90,8500,1196.84
2015-11-13,1224.00,1224.00,1185.00,1206.65,17800,1202.57
2015-11-12,1199.65,1199.65,1199.65,1199.65,000,1195.59
2015-11-11,1199.65,1199.65,1199.65,1199.65,000,1195.59
2015-11-10,1247.00,1247.00,1181.05,1199.65,32600,1195.59
2015-11-09,1231.00,1254.90,1201.85,1248.75,21000,1244.53
2015-11-06,1243.00,1249.15,1220.45,1241.55,18200,1237.35
2015-11-05,1260.00,1260.00,1235.00,1240.15,43300,1235.96
2015-11-04,1265.10,1274.80,1231.00,1251.20,55100,1246.97
2015-11-03,1286.50,1295.50,1217.50,1266.30,506000,1262.02
