Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,1345.00,1370.00,1344.30,1360.65,245300,1354.18
2015-12-30,1349.00,1359.50,1345.00,1349.80,83400,1343.38
2015-12-29,1334.80,1354.00,1328.20,1350.45,163600,1344.03
2015-12-28,1345.00,1353.00,1326.30,1330.85,167100,1324.52
2015-12-25,1344.15,1344.15,1344.15,1344.15,000,1337.76
2015-12-24,1347.75,1354.90,1340.00,1344.15,128600,1337.76
2015-12-23,1356.70,1360.10,1338.15,1342.05,112900,1335.67
2015-12-22,1349.50,1359.60,1341.90,1348.90,115800,1342.49
2015-12-21,1346.10,1357.00,1343.10,1353.00,113000,1346.57
2015-12-18,1354.90,1359.00,1338.25,1349.00,288600,1342.59
2015-12-17,1351.90,1364.80,1349.95,1356.20,166000,1349.75
2015-12-16,1349.50,1354.95,1338.00,1349.10,195000,1342.69
2015-12-15,1343.25,1344.95,1325.75,1337.65,107600,1331.29
2015-12-14,1315.00,1345.00,1312.00,1341.80,107700,1335.42
2015-12-11,1325.50,1343.00,1310.85,1319.40,287300,1313.13
2015-12-10,1316.00,1330.00,1305.40,1324.45,184500,1318.15
2015-12-09,1340.00,1340.05,1307.90,1313.75,231600,1307.51
2015-12-08,1348.70,1351.05,1332.60,1339.20,143400,1332.83
2015-12-07,1336.45,1355.95,1335.50,1353.45,150300,1347.02
2015-12-04,1340.00,1342.65,1332.30,1334.85,228400,1328.51
2015-12-03,1356.00,1363.30,1348.35,1350.10,159800,1343.68
2015-12-02,1362.50,1373.15,1355.00,1359.85,152600,1353.39
2015-12-01,1349.00,1364.25,1347.15,1357.90,146500,1351.45
2015-11-30,1356.90,1359.50,1340.00,1344.25,319100,1337.86
2015-11-27,1357.30,1365.40,1340.20,1353.20,118200,1346.77
2015-11-26,1347.90,1360.00,1328.25,1355.95,208400,1349.51
2015-11-25,1341.50,1341.50,1341.50,1341.50,000,1335.12
2015-11-24,1343.80,1359.30,1337.00,1341.50,288900,1335.12
2015-11-23,1340.00,1346.50,1335.65,1343.60,173200,1337.21
2015-11-20,1333.00,1349.45,1331.20,1339.75,299400,1333.38
2015-11-19,1336.00,1343.90,1328.40,1332.85,175300,1326.51
2015-11-18,1324.00,1340.55,1322.00,1334.30,191500,1327.96
2015-11-17,1330.00,1337.95,1315.00,1325.50,150100,1319.20
2015-11-16,1324.90,1331.00,1300.80,1324.45,279900,1318.15
2015-11-13,1321.50,1333.95,1314.20,1326.70,210900,1320.39
2015-11-12,1322.10,1322.10,1322.10,1322.10,000,1315.82
2015-11-11,1322.10,1322.10,1322.10,1322.10,000,1315.82
2015-11-10,1359.00,1372.60,1314.35,1322.10,242300,1315.82
2015-11-09,1359.15,1373.80,1343.50,1367.70,144000,1361.20
2015-11-06,1388.00,1392.65,1371.10,1384.05,74800,1377.47
2015-11-05,1410.00,1410.00,1381.25,1388.75,135700,1382.15
2015-11-04,1440.00,1443.00,1397.90,1405.70,226200,1399.02
2015-11-03,1405.00,1434.00,1404.95,1425.90,427300,1419.12
2015-11-02,1373.25,1405.00,1362.90,1398.40,171800,1391.75
2015-10-30,1398.70,1398.70,1372.15,1379.60,256700,1373.04
2015-10-29,1395.00,1397.50,1376.00,1385.40,174800,1378.82
2015-10-28,1385.90,1405.00,1371.30,1401.05,232300,1394.39
2015-10-27,1390.00,1398.00,1380.05,1385.80,179100,1379.21
2015-10-26,1405.00,1407.45,1385.25,1393.75,172600,1387.13
2015-10-23,1394.00,1403.00,1381.00,1400.20,248900,1393.54
2015-10-22,1378.95,1378.95,1378.95,1378.95,000,1372.40
2015-10-21,1360.00,1387.00,1357.15,1378.95,424400,1372.40
2015-10-20,1382.35,1388.80,1374.55,1379.30,298100,1372.74
2015-10-19,1398.50,1407.00,1383.50,1395.95,373600,1389.31
2015-10-16,1375.00,1399.90,1365.20,1393.70,153600,1387.08
2015-10-15,1383.80,1395.30,1368.50,1371.25,186900,1364.73
2015-10-14,1352.00,1378.00,1351.90,1376.25,233600,1369.71
2015-10-13,1344.35,1358.00,1343.00,1352.20,225600,1345.77
2015-10-12,1350.00,1359.95,1340.60,1344.35,209200,1337.96
