Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,205.00,205.90,202.40,203.05,1177200,201.8027
2015-12-30,205.90,206.00,204.30,204.95,685300,203.691
2015-12-29,202.80,206.30,201.90,205.55,1357700,204.2874
2015-12-28,203.00,204.50,201.60,202.70,1402300,201.4549
2015-12-25,203.30,203.30,203.30,203.30,000,202.0512
2015-12-24,201.85,204.20,200.70,203.30,494000,202.0512
2015-12-23,200.95,201.70,200.45,201.45,810700,200.2125
2015-12-22,200.00,202.00,199.30,200.00,1053400,198.7714
2015-12-21,200.00,202.40,198.15,200.80,928700,199.5665
2015-12-18,198.00,202.50,195.00,199.50,2885400,198.2745
2015-12-17,194.55,198.85,194.20,198.15,1386900,196.9328
2015-12-16,194.00,194.75,192.05,194.35,1968300,193.1562
2015-12-15,194.00,194.10,190.15,193.35,955600,192.1623
2015-12-14,190.45,194.50,189.05,193.25,1484000,192.0629
2015-12-11,190.00,194.45,187.60,189.00,2526900,187.839
2015-12-10,190.55,191.90,188.10,189.90,1553100,188.7335
2015-12-09,194.10,195.00,188.25,189.40,2732200,188.2365
2015-12-08,195.00,195.10,193.25,194.65,1650900,193.4543
2015-12-07,196.50,198.50,195.15,195.90,1962300,194.6966
2015-12-04,197.00,197.55,194.50,195.05,2711000,193.8519
2015-12-03,199.20,200.45,197.20,197.70,1969500,196.4856
2015-12-02,203.35,203.75,199.15,200.15,2388600,198.9205
2015-12-01,200.10,203.50,200.00,200.80,1088900,199.5665
2015-11-30,202.60,203.00,198.10,198.90,3352900,197.6782
2015-11-27,203.50,205.00,201.30,202.60,772000,201.3555
2015-11-26,201.70,204.50,201.10,203.20,2387700,201.9518
2015-11-25,202.60,202.60,202.60,202.60,000,201.3555
2015-11-24,200.10,205.05,200.05,202.60,2351500,201.3555
2015-11-23,203.90,203.90,199.65,200.70,825200,199.4671
2015-11-20,198.00,203.75,197.95,201.95,1408000,200.7095
2015-11-19,198.15,199.00,195.30,198.05,1583000,196.8334
2015-11-18,198.70,202.75,196.10,197.45,3293500,196.2371
2015-11-17,195.10,199.70,194.80,199.00,3433600,197.7776
2015-11-16,192.30,196.00,188.75,194.15,3882100,192.9574
2015-11-13,195.25,196.85,191.50,192.65,3043500,191.4666
2015-11-12,196.70,196.70,196.70,196.70,000,195.4917
2015-11-11,196.70,196.70,196.70,196.70,000,195.4917
2015-11-10,204.00,204.40,195.70,196.70,5616100,195.4917
2015-11-09,203.30,207.60,203.30,205.00,3763100,203.7407
2015-11-06,208.10,210.00,205.85,209.85,1717500,208.5609
2015-11-05,209.00,209.70,206.80,208.15,1127200,206.8714
2015-11-04,211.00,211.45,208.00,209.05,2195000,207.7659
2015-11-03,211.20,231.00,208.85,209.70,4046700,208.4119
2015-11-02,207.65,210.25,205.00,210.00,965200,208.71
2015-10-30,207.45,210.40,206.15,206.95,2865800,205.6787
2015-10-29,204.00,210.00,202.70,207.45,4392500,206.1757
2015-10-28,204.00,209.50,203.10,208.75,3866200,207.4677
2015-10-27,208.60,210.00,204.10,205.40,4472700,204.1383
2015-10-26,209.85,209.85,206.30,208.65,874200,207.3683
2015-10-23,210.50,211.50,208.00,208.95,1604300,207.6665
2015-10-22,209.20,209.20,209.20,209.20,000,207.9149
2015-10-21,208.15,210.05,208.15,209.20,1299200,207.9149
2015-10-20,210.40,210.40,208.90,209.95,2407000,208.6603
2015-10-19,214.50,214.50,209.55,210.05,3187000,208.7597
2015-10-16,210.95,214.75,209.35,212.15,3865600,210.8468
2015-10-15,210.50,211.20,209.10,209.65,2993200,208.3622
2015-10-14,210.10,210.75,209.00,209.95,2170500,208.6603
2015-10-13,210.00,210.75,209.50,209.95,2682900,208.6603
2015-10-12,209.40,210.50,208.35,209.95,1486900,208.6603
2015-10-09,211.15,211.80,206.25,209.15,4634100,207.8652
2015-10-08,209.00,211.35,208.15,209.85,2810800,208.5609
2015-10-07,210.10,210.15,207.65,209.15,1205700,207.8652
2015-10-06,212.00,212.85,207.60,209.80,2279400,208.5112
2015-10-05,211.00,212.60,209.20,209.95,2664000,208.6603
2015-10-02,209.95,209.95,209.95,209.95,000,208.6603
2015-10-01,207.20,211.00,206.80,209.95,3720900,208.6603
2015-09-30,204.00,206.50,203.65,205.80,1873700,204.5358
2015-09-29,200.50,207.65,196.25,203.00,2655400,201.753
2015-09-28,206.95,206.95,202.10,203.05,816800,201.8027
2015-09-25,207.00,207.00,207.00,207.00,000,205.7284
2015-09-24,206.30,208.90,204.55,207.00,4214900,205.7284
2015-09-23,204.05,209.35,204.05,208.70,2097300,207.418
2015-09-22,210.25,211.75,205.10,207.80,2351500,206.5235
2015-09-21,208.70,210.65,203.55,209.90,2320600,208.6106
2015-09-18,212.00,212.45,208.15,209.75,3986000,208.4615
2015-09-17,210.45,210.45,210.45,210.45,000,209.1572
2015-09-16,207.70,211.40,206.00,210.45,3528300,209.1572
2015-09-15,211.05,211.60,203.10,204.40,5716000,203.1444
2015-09-14,207.90,212.00,205.80,211.25,3455000,209.9523
2015-09-11,213.90,213.90,206.35,207.00,3237300,205.7284
2015-09-10,209.95,213.10,206.25,211.30,3337600,210.002
2015-09-09,211.00,216.50,209.55,212.15,2977300,210.8468
2015-09-08,207.55,209.60,205.05,208.55,2767000,207.2689
2015-09-07,212.00,213.55,206.50,206.90,2205100,205.629
2015-09-04,216.85,218.10,209.60,211.50,4209800,210.2008
2015-09-03,212.25,221.50,212.25,218.45,3757200,217.1081
2015-09-02,209.05,214.50,208.15,209.90,3979700,208.6106
2015-09-01,207.00,209.65,203.55,207.50,2862600,206.2254
2015-08-31,206.00,211.50,202.40,207.20,2519700,205.9272
2015-08-28,212.00,212.90,204.85,206.10,2305600,204.834
2015-08-27,204.00,211.00,200.30,209.90,9588600,208.6106
2015-08-26,207.00,207.50,197.40,199.75,13202700,198.523
2015-08-25,213.00,216.00,202.10,207.60,5337000,206.3248
2015-08-24,223.45,223.45,209.50,212.15,3420200,210.8468
2015-08-21,221.20,237.90,220.90,227.05,3353900,225.6553
2015-08-20,228.10,230.50,222.00,223.95,1763300,222.5743
2015-08-19,226.55,232.30,225.30,231.00,2290600,229.581
2015-08-18,226.10,228.70,225.10,227.10,930000,225.705
2015-08-17,225.85,227.70,221.45,226.30,1935400,224.9099
2015-08-14,222.65,227.20,221.05,226.30,754600,224.9099
2015-08-13,223.80,225.80,205.00,222.10,1686000,220.7357
2015-08-12,222.05,224.80,219.25,223.25,1937100,221.8786
2015-08-11,226.05,226.50,221.20,222.60,1663700,221.2326
2015-08-10,228.90,230.40,225.00,226.65,833100,225.2577
2015-08-07,231.30,231.65,227.95,228.50,1059600,227.0964
2015-08-06,230.20,233.15,227.95,230.35,1552800,228.935
2015-08-05,230.00,232.50,228.90,229.65,741000,228.2393
2015-08-04,230.50,231.40,226.00,229.10,985000,227.6927
2015-08-03,231.25,232.60,228.50,229.60,1027000,228.1896
2015-07-31,231.50,234.40,230.90,232.30,1135100,230.873
2015-07-30,233.50,235.80,229.70,231.05,2314400,228.0405
2015-07-29,230.30,234.90,226.75,233.55,1599200,230.508
2015-07-28,229.75,237.70,228.10,230.20,3148600,227.2016
2015-07-27,237.10,241.65,232.15,234.05,2260000,231.0015
2015-07-24,242.60,245.70,239.00,240.15,1229700,237.022
2015-07-23,247.50,247.60,242.90,244.45,609500,241.266
2015-07-22,241.30,247.35,239.05,246.55,928300,243.3386
2015-07-21,251.00,253.20,241.15,242.10,1874900,238.9466
2015-07-20,250.00,252.40,245.40,251.35,2520100,248.0761
2015-07-17,256.60,256.60,250.05,250.60,6722000,247.3359
2015-07-16,255.00,255.95,250.85,254.30,821300,250.9877
2015-07-15,252.65,257.30,250.20,255.20,1257100,251.876
2015-07-14,248.40,253.85,246.45,252.35,1491800,249.0631
2015-07-13,241.00,248.40,240.60,247.85,882700,244.6217
2015-07-10,242.15,244.50,238.60,241.95,1117200,238.7986
2015-07-09,239.50,244.65,239.50,242.15,634300,238.996
2015-07-08,244.65,244.65,237.10,241.00,1262600,237.8609
2015-07-07,245.50,247.70,243.60,245.80,2317800,242.5984
2015-07-06,237.10,246.70,237.00,245.75,1515300,242.5491
2015-07-03,239.05,243.00,239.00,242.35,1396100,239.1934
2015-07-02,238.25,241.90,235.80,239.85,2573700,236.7259
2015-07-01,230.00,239.80,229.00,238.15,2913800,235.0481
2015-06-30,227.00,230.85,225.00,229.90,1597200,226.9055
2015-06-29,224.00,228.25,220.25,227.45,980500,224.4874
2015-06-26,226.50,229.80,225.05,227.00,1388900,224.0433
2015-06-25,227.00,228.60,224.40,226.60,2082600,223.6485
2015-06-24,229.90,232.60,225.80,227.00,1613300,224.0433
2015-06-23,228.45,231.35,227.00,230.65,1256800,227.6457
2015-06-22,227.85,230.85,225.30,228.45,1162700,225.4744
2015-06-19,222.55,228.00,221.60,226.60,1392400,223.6485
2015-06-18,221.70,224.50,220.50,222.15,1018400,219.2565
2015-06-17,219.10,224.00,216.50,222.05,1548300,219.1578
2015-06-16,215.65,221.00,214.30,219.55,1211900,216.6903
2015-06-15,218.50,219.80,215.10,215.65,1311000,212.8411
2015-06-12,220.00,221.50,214.80,218.45,2071900,215.6046
2015-06-11,227.20,232.90,220.20,221.90,2285200,219.0097
2015-06-10,225.60,227.90,222.50,225.85,1326000,222.9083
2015-06-09,222.60,226.75,221.40,225.75,1635000,222.8096
2015-06-08,221.20,225.35,220.20,223.05,1452700,220.1447
2015-06-05,228.40,228.90,220.20,221.80,2306000,218.911
2015-06-04,225.80,229.80,221.10,229.00,1682400,226.0172
2015-06-03,230.20,230.85,224.25,225.80,1280100,222.8589
2015-06-02,239.05,240.10,229.05,231.30,1281200,228.2873
2015-06-01,237.60,241.05,237.55,239.90,896400,236.7753
2015-05-29,230.45,239.80,229.75,237.60,3367800,234.5052
2015-05-28,228.15,232.10,225.80,229.95,1925300,226.9549
2015-05-27,225.70,230.45,225.00,227.60,1051800,224.6355
2015-05-26,233.25,233.90,226.10,226.80,2058000,223.8459
2015-05-25,241.50,241.70,231.20,232.30,1474300,229.2743
2015-05-22,241.20,244.65,240.10,241.60,1215600,238.4531
2015-05-21,238.80,241.60,235.40,241.20,1900100,238.0583
2015-05-20,239.30,241.80,237.50,238.80,1327500,235.6896
2015-05-19,241.70,242.95,237.10,239.00,1281200,235.887
2015-05-18,235.45,242.90,233.60,240.70,1454300,237.5648
2015-05-15,234.95,236.95,232.35,234.70,688500,231.643
2015-05-14,234.55,237.55,231.15,235.05,1388600,231.9884
2015-05-13,230.75,236.25,228.00,235.15,1485300,232.0871
2015-05-12,239.40,239.40,227.55,228.85,1408200,225.8692
2015-05-11,233.95,239.40,230.55,238.50,966000,235.3935
2015-05-08,232.75,239.95,231.65,233.20,1726600,230.1625
2015-05-07,225.00,232.45,222.30,231.40,1204500,228.386
2015-05-06,239.20,239.40,224.55,226.80,1784800,223.8459
2015-05-05,241.00,241.00,235.80,239.20,1425900,236.0844
2015-05-04,234.30,243.00,232.00,241.30,1225000,238.157
2015-05-01,232.40,232.40,232.40,232.40,000,229.3729
2015-04-30,235.55,240.80,231.50,232.40,2718600,229.3729
2015-04-29,230.00,241.50,228.20,238.30,4216700,235.1961
2015-04-28,229.90,231.95,224.05,230.55,3076900,227.5471
2015-04-27,234.45,234.45,228.70,230.15,1045600,227.1523
2015-04-24,238.00,238.00,231.70,233.35,1431800,230.3106
2015-04-23,243.85,246.90,236.10,237.60,1605600,234.5052
2015-04-22,240.70,243.60,236.15,242.05,2817500,238.8973
2015-04-21,247.00,247.95,239.25,240.00,1187300,236.874
2015-04-20,246.25,253.25,243.80,248.05,1651600,244.8191
2015-04-17,250.40,250.95,245.75,246.85,1579600,243.6347
2015-04-16,260.90,260.90,250.00,252.50,3346800,249.2111
2015-04-15,260.40,262.00,257.60,259.95,2877800,256.5641
2015-04-14,257.60,257.60,257.60,257.60,000,254.2447
2015-04-13,259.80,260.20,254.50,257.60,1109300,254.2447
2015-04-10,256.20,259.30,255.35,258.30,771300,254.9356
2015-04-09,260.00,260.00,253.55,256.15,1162900,252.8136
2015-04-08,260.30,266.35,256.60,257.65,1722600,254.2941
2015-04-07,261.50,263.55,254.25,260.10,1385800,256.7122
2015-04-06,263.70,264.45,259.20,261.50,2100700,258.0939
2015-04-03,260.25,260.25,260.25,260.25,000,256.8602
2015-04-02,260.25,260.25,260.25,260.25,000,256.8602
2015-04-01,254.95,261.40,253.40,260.25,1346300,256.8602
2015-03-31,257.60,258.70,254.00,255.30,1383000,251.9747
2015-03-30,252.85,257.90,249.85,257.10,789900,253.7512
2015-03-27,251.25,252.90,247.05,250.45,769700,247.1878
2015-03-26,246.95,251.95,245.40,250.10,1416000,246.8424
2015-03-25,254.90,255.50,246.55,248.80,1470400,245.5593
2015-03-24,254.90,258.50,251.85,253.35,662000,250.0501
2015-03-23,256.05,259.00,252.20,256.15,1117400,252.8136
2015-03-20,254.20,258.50,243.00,255.20,1780800,251.876
2015-03-19,256.80,256.80,250.20,251.70,1354300,248.4216
2015-03-18,259.95,259.95,251.00,252.70,1030800,249.4085
2015-03-17,259.65,260.60,254.15,258.70,1014100,255.3304
2015-03-16,257.90,259.65,255.15,256.65,976600,253.3071
2015-03-13,268.00,268.75,254.00,256.00,1480200,252.6656
2015-03-12,261.00,268.70,261.00,264.05,1700600,260.6107
2015-03-11,260.85,263.80,256.15,259.85,1390300,256.4654
2015-03-10,264.80,266.05,258.50,259.50,1755300,256.12
2015-03-09,274.60,275.00,261.55,263.75,1477600,260.3146
2015-03-06,273.35,273.35,273.35,273.35,000,269.7896
2015-03-05,275.00,276.00,269.05,273.35,1196800,269.7896
2015-03-04,282.10,283.75,273.00,274.65,3325100,271.0726
2015-03-03,285.55,286.00,277.25,281.00,1657200,277.3399
2015-03-02,272.00,287.00,270.40,285.45,2832800,281.732
2015-02-27,260.50,270.35,260.50,269.45,1907500,262.7821
2015-02-26,262.00,264.00,255.55,259.75,3015700,253.3221
2015-02-25,259.90,264.80,258.35,261.05,1385400,254.5899
2015-02-24,262.25,263.45,254.00,257.30,1165400,250.9327
2015-02-23,264.05,265.00,259.25,262.15,1068100,255.6627
2015-02-20,265.25,266.00,261.15,263.10,830100,256.5892
2015-02-19,273.00,273.00,262.10,265.05,2789400,258.4909
2015-02-18,265.00,271.50,265.00,270.10,2423400,263.416
2015-02-17,266.20,266.20,266.20,266.20,000,259.6125
2015-02-16,264.95,268.00,263.40,266.20,955000,259.6125
2015-02-13,261.80,266.00,259.00,265.10,1674000,258.5397
2015-02-12,251.55,262.00,251.40,259.70,2027400,253.2733
2015-02-11,250.00,252.00,248.85,250.85,1570100,244.6423
2015-02-10,245.00,252.50,245.00,249.60,1479300,243.4233
2015-02-09,247.15,251.30,244.00,246.00,807500,239.9124
2015-02-06,246.10,250.25,246.00,248.25,864000,242.1067
2015-02-05,248.00,251.50,245.80,247.55,1218900,241.424
2015-02-04,246.05,250.95,243.00,248.75,2304200,242.5943
2015-02-03,249.75,252.40,242.50,245.05,2247300,238.9859
2015-02-02,250.00,250.80,243.55,249.25,845400,243.0819
2015-01-30,255.00,256.30,241.00,248.75,2568700,242.5943
2015-01-29,248.10,257.05,247.35,255.95,2751200,249.6161
2015-01-28,248.25,252.00,247.00,249.05,2733600,242.8869
2015-01-27,250.50,251.50,245.20,250.20,2395300,244.0084
2015-01-26,252.50,252.50,252.50,252.50,000,246.2515
2015-01-23,250.10,253.40,245.30,252.50,2926600,246.2515
2015-01-22,247.10,249.95,245.10,249.00,2518000,242.8381
2015-01-21,248.00,248.40,243.35,246.65,1033500,240.5463
2015-01-20,247.00,248.95,245.50,247.20,1960200,241.0827
2015-01-19,239.30,247.50,238.50,246.80,2395100,240.6926
2015-01-16,239.50,242.10,237.05,239.35,1204900,233.4269
2015-01-15,235.15,243.50,233.90,240.45,3732800,234.4997
2015-01-14,231.25,233.85,230.05,232.85,3179500,227.0878
2015-01-13,228.00,232.75,226.20,230.10,2105500,224.4058
2015-01-12,223.90,228.60,223.05,228.00,1035100,222.3578
2015-01-09,226.70,228.40,222.05,223.80,1225300,218.2617
2015-01-08,221.95,227.50,221.20,226.40,1084100,220.7974
2015-01-07,222.00,222.95,218.10,220.10,1172300,214.6533
2015-01-06,230.00,230.00,220.75,222.15,1479100,216.6526
2015-01-05,230.95,233.30,229.55,230.65,967200,224.9422
2015-01-02,228.00,231.70,228.00,230.95,582500,225.2348
2015-01-01,229.00,229.45,227.50,227.75,208300,222.114
2014-12-31,230.00,231.80,228.15,228.85,840300,223.1868
2014-12-30,230.05,230.80,229.15,229.95,653000,224.2595
2014-12-29,226.30,231.60,226.30,230.30,956300,224.6009
2014-12-26,227.60,229.70,224.10,226.05,435000,220.456
2014-12-25,226.85,226.85,226.85,226.85,000,221.2363
2014-12-24,228.15,231.80,226.00,226.85,2950200,221.2363
2014-12-23,228.60,229.75,226.20,227.45,1766800,221.8214
2014-12-22,224.35,229.65,224.35,228.85,1636400,223.1868
2014-12-19,224.70,227.50,222.00,225.15,2410300,219.5783
2014-12-18,221.35,225.70,221.35,223.95,1612900,218.408
2014-12-17,218.05,224.60,215.35,220.70,1632000,215.2384
2014-12-16,228.05,228.85,218.10,218.90,2062100,213.483
2014-12-15,225.05,229.90,224.10,228.30,1292600,222.6504
2014-12-12,223.70,228.25,223.30,225.80,1420200,220.2122
2014-12-11,226.00,226.45,222.25,223.05,1006800,217.5303
2014-12-10,227.50,227.90,222.80,225.65,1396500,220.0659
2014-12-09,230.40,231.40,225.00,225.85,2361400,220.261
2014-12-08,238.25,239.70,229.30,231.50,3207100,225.7712
2014-12-05,229.90,237.75,229.05,236.95,3317400,231.0863
2014-12-04,230.45,231.35,227.25,230.05,1719800,224.3571
2014-12-03,228.70,230.95,226.60,230.05,1735900,224.3571
2014-12-02,230.00,231.15,226.05,228.50,1844600,222.8454
2014-12-01,229.25,233.50,228.55,230.35,1512000,224.6496
2014-11-28,225.95,232.55,224.60,229.90,2036900,224.2108
2014-11-27,228.50,230.25,224.25,225.35,1140700,219.7734
2014-11-26,227.15,230.40,225.25,228.80,1549800,223.138
2014-11-25,229.15,230.00,223.00,228.40,2086100,222.7479
2014-11-24,225.30,230.90,225.30,230.05,2407700,224.3571
2014-11-21,221.05,226.55,221.05,225.95,1399000,220.3585
