Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,89.60,90.05,87.70,87.90,8625000,87.90
2015-12-30,90.00,90.55,89.25,89.50,4351100,89.50
2015-12-29,89.45,89.95,88.80,89.75,7522400,89.75
2015-12-28,88.30,89.50,87.75,88.95,5336600,88.95
2015-12-25,87.90,87.90,87.90,87.90,000,87.90
2015-12-24,88.40,88.45,87.30,87.90,4177200,87.90
2015-12-23,88.85,88.85,87.40,87.90,5069000,87.90
2015-12-22,89.80,89.90,88.10,88.40,4712800,88.40
2015-12-21,89.60,90.45,88.65,89.35,4709600,89.35
2015-12-18,88.50,90.85,88.50,89.65,15298200,89.65
2015-12-17,88.95,89.45,87.90,89.20,5855100,89.20
2015-12-16,87.85,89.15,87.20,88.10,9014800,88.10
2015-12-15,86.50,87.65,85.85,87.30,8691000,87.30
2015-12-14,85.50,87.15,84.70,86.05,9519300,86.05
2015-12-11,89.75,89.75,85.15,86.35,13265400,86.35
2015-12-10,87.20,89.40,85.80,89.10,11833200,89.10
2015-12-09,89.55,89.80,86.25,86.55,10153600,86.55
2015-12-08,90.10,91.25,89.30,89.60,11658900,89.60
2015-12-07,91.00,91.35,89.35,90.05,8784200,90.05
2015-12-04,91.90,92.90,90.05,90.25,16631300,90.25
2015-12-03,92.50,93.30,91.55,91.95,14427000,91.95
2015-12-02,93.50,93.95,92.10,92.85,18001100,92.85
2015-12-01,95.50,95.50,93.00,93.40,20979900,93.40
2015-11-30,98.40,99.65,92.85,94.60,133420700,94.60
2015-11-27,97.00,98.00,95.50,97.60,19926500,97.60
2015-11-26,94.90,95.50,93.65,94.10,19628600,94.10
2015-11-25,94.80,94.80,94.80,94.80,000,94.80
2015-11-24,96.25,96.80,94.30,94.80,10695100,94.80
2015-11-23,93.65,96.35,93.65,96.10,14312500,96.10
2015-11-20,93.00,93.90,92.50,93.65,10688100,93.65
2015-11-19,92.90,93.40,91.95,93.10,8910800,93.10
2015-11-18,92.30,92.85,91.25,91.70,9202900,91.70
2015-11-17,90.95,92.45,90.80,91.95,13325400,91.95
2015-11-16,90.30,91.15,90.00,90.70,7951500,90.70
2015-11-13,90.50,91.40,89.60,90.30,15518400,90.30
2015-11-12,89.50,89.50,89.50,89.50,000,89.50
2015-11-11,89.50,89.50,89.50,89.50,000,89.50
2015-11-10,88.70,90.20,88.25,89.50,9965700,89.50
2015-11-09,83.00,89.50,82.75,88.95,13643200,88.95
2015-11-06,85.60,87.95,84.10,87.60,18725000,87.60
2015-11-05,91.00,91.50,86.40,86.80,47761100,86.80
2015-11-04,91.80,93.50,91.50,92.20,19743300,92.20
2015-11-03,90.50,91.10,89.20,90.30,15006300,90.30
2015-11-02,94.00,94.65,89.30,90.30,18444900,90.30
2015-10-30,94.00,95.05,92.70,93.70,14007600,93.70
2015-10-29,90.95,94.10,89.50,93.80,11474700,93.80
2015-10-28,93.00,93.10,90.80,91.00,17677300,91.00
2015-10-27,92.45,93.75,91.20,92.90,9026700,92.90
2015-10-26,95.45,95.45,92.25,92.70,8421300,92.70
2015-10-23,96.70,96.70,94.60,95.00,9576700,95.00
2015-10-22,95.80,95.80,95.80,95.80,000,95.80
2015-10-21,96.50,97.20,94.70,95.80,9529100,95.80
2015-10-20,95.90,97.20,95.75,96.25,9611700,96.25
2015-10-19,96.35,96.80,95.70,96.05,7268700,96.05
2015-10-16,95.30,96.50,94.90,96.00,9945700,96.00
2015-10-15,95.65,95.75,94.70,95.00,10537000,95.00
2015-10-14,93.90,95.10,93.65,94.85,11725200,94.85
2015-10-13,94.30,95.10,93.30,94.05,11328600,94.05
2015-10-12,92.50,94.35,92.20,93.85,11276800,93.85
2015-10-09,92.25,92.90,91.15,92.20,10328200,92.20
2015-10-08,93.75,93.80,91.00,91.60,10704400,91.60
2015-10-07,94.50,94.50,92.80,93.05,16386100,93.05
2015-10-06,95.35,95.45,94.05,94.35,14090500,94.35
2015-10-05,95.30,96.20,93.90,94.70,15570000,94.70
2015-10-02,94.25,94.25,94.25,94.25,000,94.25
2015-10-01,93.45,94.90,92.80,94.25,20135600,94.25
2015-09-30,91.45,92.50,91.20,92.25,12243200,92.25
2015-09-29,89.30,91.75,87.50,90.70,16672500,90.70
2015-09-28,91.85,92.90,90.35,90.55,11532500,90.55
2015-09-25,91.10,91.10,91.10,91.10,000,91.10
2015-09-24,90.80,91.90,90.05,91.10,14527400,91.10
2015-09-23,87.95,91.10,87.25,90.60,13843700,90.60
2015-09-22,89.05,92.30,88.00,88.60,31825100,88.60
2015-09-21,87.20,88.60,87.00,88.15,8831700,88.15
2015-09-18,88.80,89.90,87.65,87.95,12120700,87.95
2015-09-17,87.20,87.20,87.20,87.20,000,87.20
2015-09-16,88.35,88.60,86.40,87.20,8721200,87.20
2015-09-15,89.60,89.95,86.60,87.20,11417600,87.20
2015-09-14,88.35,89.85,87.70,89.50,11357200,89.50
2015-09-11,88.70,90.50,87.20,87.70,20625300,87.70
2015-09-10,85.00,87.65,84.10,87.25,18529000,87.25
2015-09-09,83.80,87.95,83.00,87.50,24786500,87.50
2015-09-08,82.00,83.55,80.60,82.00,28590000,82.00
2015-09-07,85.50,85.90,80.65,81.95,21329800,81.95
2015-09-04,89.00,89.75,84.20,85.00,22421900,85.00
