Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,875.00,879.95,867.10,875.95,1136900,875.0255
2015-12-30,890.00,891.50,868.20,870.20,1825400,869.2815
2015-12-29,877.40,889.80,873.00,887.40,1533300,886.4634
2015-12-28,880.00,880.00,867.60,871.75,949600,870.8299
2015-12-25,871.50,871.50,871.50,871.50,000,870.5802
2015-12-24,875.00,882.75,866.80,871.50,1700200,870.5802
2015-12-23,847.00,871.00,843.20,869.10,1793500,868.1827
2015-12-22,839.30,848.30,835.10,840.60,1038000,839.7127
2015-12-21,830.90,842.80,829.00,835.90,936300,835.0177
2015-12-18,829.30,839.40,828.20,830.85,1339200,829.973
2015-12-17,824.00,836.70,823.00,832.70,2150200,831.8211
2015-12-16,825.00,829.35,817.00,820.50,1570300,819.634
2015-12-15,823.90,826.55,817.00,823.10,790300,822.2312
2015-12-14,808.70,825.90,800.75,823.75,2243400,822.8805
2015-12-11,810.90,820.85,804.05,809.10,2404800,808.246
2015-12-10,800.00,807.65,787.30,804.45,2311200,803.6009
2015-12-09,794.90,800.00,781.20,786.75,1323300,785.9196
2015-12-08,800.00,806.50,794.30,797.90,1061700,797.0579
2015-12-07,812.00,812.40,798.50,801.60,1193400,800.7539
2015-12-04,814.90,820.75,804.40,806.90,1555800,806.0484
2015-12-03,824.85,828.05,817.80,820.75,1121100,819.8837
2015-12-02,827.90,832.95,815.30,824.10,1184000,823.2302
2015-12-01,812.80,828.60,810.55,826.60,1378600,825.7275
2015-11-30,815.00,826.00,807.00,809.75,2212800,808.8953
2015-11-27,826.00,832.30,810.90,817.00,893500,816.1377
2015-11-26,835.20,842.15,820.50,824.10,1391700,823.2302
2015-11-25,835.25,835.25,835.25,835.25,000,834.3684
2015-11-24,847.00,851.70,832.05,835.25,957000,834.3684
2015-11-23,840.00,850.85,840.00,847.45,1425500,846.5555
2015-11-20,816.95,835.00,813.20,831.85,1163500,830.972
2015-11-19,820.20,826.40,808.35,816.95,1008200,816.0877
2015-11-18,831.00,836.50,812.55,815.75,1882000,814.2896
2015-11-17,821.90,833.40,815.00,830.95,1341800,829.4624
2015-11-16,829.00,837.10,810.00,820.25,1849800,818.7816
2015-11-13,836.10,846.45,821.60,829.15,1598300,827.6657
2015-11-12,837.90,837.90,837.90,837.90,000,836.40
2015-11-11,838.30,843.50,833.00,837.90,163500,836.40
2015-11-10,847.60,859.70,828.00,831.30,1878500,829.8118
2015-11-09,797.55,858.95,794.55,856.65,2136400,855.1164
2015-11-06,824.40,833.75,808.40,814.10,1146400,812.6426
2015-11-05,817.10,831.00,808.10,819.00,1202700,817.5338
2015-11-04,843.80,845.00,812.60,819.85,1269200,818.3823
2015-11-03,850.10,854.00,837.15,840.45,805700,838.9454
2015-11-02,840.00,852.00,829.00,846.60,1047900,845.0844
2015-10-30,842.00,851.95,831.60,835.95,1191700,834.4535
2015-10-29,853.60,861.55,839.45,844.65,2636200,843.1379
2015-10-28,844.00,860.00,837.10,853.60,1070900,852.0718
2015-10-27,827.00,849.00,826.60,846.10,1435800,844.5853
2015-10-26,829.90,836.00,824.75,832.75,1348800,831.2592
2015-10-23,819.00,831.60,815.55,827.00,1452800,825.5195
2015-10-22,812.40,812.40,812.40,812.40,000,810.9456
2015-10-21,816.90,820.80,808.10,812.40,1379200,810.9456
2015-10-20,805.50,819.55,804.00,813.25,1343000,811.7941
2015-10-19,805.70,810.00,800.75,805.25,1056400,803.8084
2015-10-16,795.60,809.50,794.15,802.70,1652700,801.263
2015-10-15,810.00,815.90,787.30,791.80,2130200,790.3825
2015-10-14,783.85,808.75,780.00,805.95,1901000,804.5072
2015-10-13,788.00,795.90,776.30,780.95,1305400,779.5519
2015-10-12,795.00,804.45,780.00,787.05,1902800,785.641
2015-10-09,759.70,791.15,755.25,787.50,2963600,786.0902
2015-10-08,748.50,755.00,732.50,750.55,1575200,749.2063
2015-10-07,750.00,762.00,740.50,744.60,2177100,743.267
2015-10-06,767.95,780.00,751.30,755.15,1957700,753.7981
2015-10-05,772.25,777.00,759.25,765.50,1069600,764.1296
2015-10-02,769.00,769.00,769.00,769.00,000,767.6233
2015-10-01,773.90,779.50,760.20,769.00,1533800,767.6233
2015-09-30,758.90,770.60,752.50,769.20,1774200,767.823
2015-09-29,737.00,760.50,722.10,755.90,2619500,754.5468
2015-09-28,750.00,766.00,743.50,746.80,2300100,745.463
2015-09-25,741.95,741.95,741.95,741.95,000,740.6218
2015-09-24,729.05,748.00,728.15,741.95,2384000,740.6218
2015-09-23,708.00,735.55,706.00,732.55,2073700,731.2386
2015-09-22,719.00,738.90,709.40,715.55,2366500,714.269
2015-09-21,707.00,718.00,705.55,711.60,1702200,710.3261
2015-09-18,704.00,712.50,693.95,707.30,2330300,706.0338
2015-09-17,693.20,693.20,693.20,693.20,000,691.959
2015-09-16,706.10,710.00,690.10,693.20,1740200,691.959
2015-09-15,713.05,724.00,696.00,698.80,1985500,697.549
2015-09-14,713.05,717.40,703.00,713.00,1362800,711.7236
2015-09-11,709.80,721.70,701.35,707.45,1603500,706.1835
2015-09-10,698.00,719.40,692.95,710.15,2275100,708.8787
2015-09-09,734.80,740.00,711.60,714.50,1687500,713.2209
2015-09-08,707.60,732.80,675.00,726.70,3291200,725.3991
2015-09-07,728.00,730.95,695.00,705.55,1691700,704.2869
2015-09-04,733.70,736.50,707.95,723.05,1563300,721.7556
2015-09-03,734.95,743.65,731.20,734.90,1157400,733.5844
2015-09-02,741.10,746.45,725.55,728.50,1705500,727.1958
2015-09-01,747.95,763.00,730.00,737.75,1899900,736.4293
2015-08-31,774.00,779.00,750.00,753.00,2952900,751.652
2015-08-28,751.50,780.00,745.85,756.40,3666900,755.0459
2015-08-27,738.00,756.80,732.25,745.35,2673200,744.0156
2015-08-26,735.00,742.95,693.00,724.20,3185800,722.9035
2015-08-25,731.15,749.55,645.45,736.80,3298400,735.4809
2015-08-24,779.00,793.90,702.45,713.80,2757900,712.5221
2015-08-21,794.00,814.95,773.10,804.45,1891100,803.0099
2015-08-20,819.50,832.20,795.35,798.85,1965700,796.9208
2015-08-19,775.00,824.80,772.00,817.55,2817800,815.5756
2015-08-18,787.90,799.00,781.00,791.30,1786600,789.389
2015-08-17,764.80,786.40,757.80,783.40,2057800,781.5081
2015-08-14,741.90,765.00,741.40,762.15,2265400,760.3094
2015-08-13,748.50,777.60,727.65,736.30,3691400,734.5218
2015-08-12,763.50,773.00,739.95,744.15,2057000,742.3529
2015-08-11,782.80,786.00,750.10,761.45,1456500,759.6111
2015-08-10,776.50,789.80,774.00,778.50,1256200,776.6199
2015-08-07,789.00,796.00,769.55,772.70,1250300,770.8339
2015-08-06,767.00,791.60,760.00,789.75,2068900,787.8428
2015-08-05,761.30,769.90,749.30,763.50,1281700,761.6561
2015-08-04,759.30,759.55,743.50,754.20,759100,752.3786
2015-08-03,759.15,762.00,750.00,755.60,852900,753.7752
2015-07-31,724.95,763.80,724.95,759.90,2082800,758.0649
2015-07-30,731.00,738.95,720.10,723.05,2168800,721.3038
2015-07-29,720.00,739.60,715.20,731.15,1411100,729.3843
2015-07-28,741.90,745.00,721.25,725.15,1388900,723.3988
