Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,456.00,456.00,448.20,449.10,6329600,449.10
2015-12-30,458.00,460.00,453.60,455.10,3766300,455.10
2015-12-29,455.40,459.90,451.20,458.35,5987000,458.35
2015-12-28,450.00,456.60,448.40,455.35,5914900,455.35
2015-12-25,450.75,450.75,450.75,450.75,000,450.75
2015-12-24,452.80,455.25,448.45,450.75,3633200,450.75
2015-12-23,450.00,452.70,448.20,452.00,4493400,452.00
2015-12-22,442.90,450.65,441.60,446.70,8722500,446.70
2015-12-21,432.55,443.20,432.15,442.35,5061800,442.35
2015-12-18,434.30,440.80,431.10,432.55,10297500,432.55
2015-12-17,442.00,443.65,431.45,435.55,11529600,435.55
2015-12-16,437.00,441.90,434.00,438.15,8881500,438.15
2015-12-15,432.00,436.90,429.65,436.10,11058600,436.10
2015-12-14,432.00,441.45,429.50,431.35,10389100,431.35
2015-12-11,449.95,450.80,436.55,440.65,15589800,440.65
2015-12-10,452.00,454.60,445.10,449.95,10192500,449.95
2015-12-09,457.05,461.10,448.00,450.60,8745900,450.60
2015-12-08,460.00,462.95,457.50,458.80,7003700,458.80
2015-12-07,462.95,465.55,460.30,462.30,6335600,462.30
2015-12-04,459.90,462.80,456.10,460.50,7000000,460.50
2015-12-03,460.00,465.35,458.65,462.50,8154100,462.50
2015-12-02,462.25,463.40,457.25,459.50,7152900,459.50
2015-12-01,471.00,471.35,458.15,461.60,11177800,461.60
2015-11-30,469.25,474.40,468.10,469.15,8926200,469.15
2015-11-27,467.00,475.40,466.10,471.00,10288900,471.00
2015-11-26,465.10,468.55,464.50,465.30,26648500,465.30
2015-11-25,463.85,463.85,463.85,463.85,000,463.85
2015-11-24,462.85,466.95,462.70,463.85,5388000,463.85
2015-11-23,461.00,464.25,458.70,462.70,7774800,462.70
2015-11-20,462.95,465.35,458.25,459.85,11446800,459.85
2015-11-19,468.00,468.00,460.10,463.05,8717200,463.05
2015-11-18,474.70,476.70,462.20,463.55,6081300,463.55
2015-11-17,484.75,485.00,473.05,475.60,5944100,475.60
2015-11-16,484.00,485.00,477.00,481.45,6488900,481.45
2015-11-13,475.40,487.20,472.30,484.95,10014700,484.95
2015-11-12,480.35,480.35,480.35,480.35,000,480.35
2015-11-11,474.50,482.40,473.00,480.35,3012400,480.35
2015-11-10,463.00,473.50,462.25,468.35,7040500,468.35
