Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,156.10,159.00,154.00,156.65,8896400,156.65
2015-12-30,158.90,159.40,155.30,156.10,3585800,156.10
2015-12-29,159.40,159.50,157.10,157.85,2538100,157.85
2015-12-28,159.25,159.95,158.40,158.95,1555500,158.95
2015-12-25,158.30,158.30,158.30,158.30,000,158.30
2015-12-24,158.60,159.75,157.40,158.30,1732300,158.30
2015-12-23,158.60,159.00,157.50,158.55,2806600,158.55
2015-12-22,159.55,161.40,156.55,157.10,2873500,157.10
2015-12-21,159.25,160.40,157.50,159.45,3892000,159.45
2015-12-18,159.75,162.80,158.30,159.00,4846300,159.00
2015-12-17,161.00,163.40,158.60,159.95,5294900,159.95
2015-12-16,159.90,161.80,157.25,159.80,6871400,159.80
2015-12-15,157.00,159.20,155.00,158.35,4845000,158.35
2015-12-14,154.00,158.70,153.30,156.80,4516800,156.80
2015-12-11,160.30,161.30,150.45,155.25,9216300,155.25
2015-12-10,161.30,162.00,156.30,159.35,4601200,159.35
2015-12-09,161.05,163.80,159.50,160.25,4114200,160.25
2015-12-08,165.10,167.25,160.85,161.70,3682500,161.70
2015-12-07,168.15,170.00,165.05,165.70,4471300,165.70
2015-12-04,170.00,170.00,165.55,166.90,5677300,166.90
2015-12-03,170.80,173.20,170.80,171.25,3707500,171.25
2015-12-02,177.55,179.05,173.30,173.80,2806900,173.80
2015-12-01,179.90,180.80,176.30,177.55,3179800,177.55
2015-11-30,179.40,182.50,178.70,179.90,6179300,179.90
2015-11-27,171.70,180.25,170.70,179.60,8015800,179.60
2015-11-26,169.40,172.00,167.20,170.05,4062200,170.05
2015-11-25,168.20,168.20,168.20,168.20,000,168.20
2015-11-24,169.00,171.15,167.85,168.20,2584200,168.20
2015-11-23,172.10,172.75,168.40,169.35,2844400,169.35
2015-11-20,168.00,173.20,166.00,171.90,6658600,171.90
2015-11-19,170.05,170.05,166.70,168.10,3106500,168.10
2015-11-18,172.75,173.20,167.60,168.35,3802900,168.35
2015-11-17,177.00,177.40,172.65,173.25,5854900,173.25
2015-11-16,173.90,177.20,173.40,176.45,3956600,176.45
2015-11-13,172.00,175.35,169.50,174.20,4232100,174.20
2015-11-12,172.95,172.95,172.95,172.95,000,172.95
2015-11-11,172.95,172.95,172.95,172.95,000,172.95
2015-11-10,169.40,173.90,167.85,172.95,9643900,172.95
2015-11-09,162.55,172.50,161.70,171.45,13759000,171.45
2015-11-06,158.50,169.20,140.10,167.05,41221600,167.05
2015-11-05,163.00,163.40,158.50,159.40,3577000,159.40
2015-11-04,164.00,165.40,162.25,163.45,2924200,163.45
2015-11-03,163.20,164.30,161.25,161.95,2575200,161.95
2015-11-02,161.00,162.75,156.60,161.85,4087800,161.85
2015-10-30,162.10,164.80,159.55,160.20,3329300,160.20
2015-10-29,164.20,165.70,161.80,162.45,6729900,162.45
2015-10-28,166.80,167.00,161.50,164.05,8360100,164.05
2015-10-27,172.20,172.85,167.95,168.35,4659100,168.35
2015-10-26,173.70,174.90,171.05,172.05,2655700,172.05
2015-10-23,176.10,176.70,172.50,173.10,4429500,173.10
2015-10-22,174.75,174.75,174.75,174.75,000,174.75
2015-10-21,176.45,177.40,171.60,174.75,4780000,174.75
2015-10-20,176.00,178.60,175.10,176.25,4977800,176.25
2015-10-19,177.50,178.85,174.40,175.55,3959200,175.55
2015-10-16,179.70,179.80,175.10,177.70,6019700,177.70
2015-10-15,174.90,180.40,174.20,179.90,7941200,179.90
2015-10-14,174.00,176.50,173.00,173.50,5063800,173.50
2015-10-13,175.10,178.40,174.20,176.00,6465300,176.00
2015-10-12,172.50,179.65,169.30,176.80,17641300,176.80
2015-10-09,187.60,188.70,181.30,182.10,5322100,182.10
2015-10-08,186.50,191.00,184.20,185.75,6970700,185.75
2015-10-07,184.20,187.00,183.55,186.35,4487900,186.35
2015-10-06,187.00,187.00,182.20,184.35,6403500,184.35
2015-10-05,183.00,187.20,182.50,186.40,5748000,186.40
2015-10-02,181.10,181.10,181.10,181.10,000,181.10
2015-10-01,185.25,185.70,180.50,181.10,5232800,181.10
