Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,115.40,115.75,114.20,114.95,1647200,114.95
2015-12-30,116.90,117.70,115.00,115.35,1893100,115.35
2015-12-29,118.05,118.25,116.30,116.70,1528700,116.70
2015-12-28,118.00,118.80,117.20,117.85,1150000,117.85
2015-12-25,117.50,117.50,117.50,117.50,000,117.50
2015-12-24,117.90,118.20,116.55,117.50,1034900,117.50
2015-12-23,117.10,117.95,116.85,117.65,1318900,117.65
2015-12-22,119.00,119.85,116.00,116.40,2793600,116.40
2015-12-21,117.95,118.80,117.60,117.95,1388900,117.95
2015-12-18,117.00,120.40,116.60,117.55,3301100,117.55
2015-12-17,117.00,117.95,116.10,117.30,1910900,117.30
2015-12-16,116.65,117.90,115.65,115.95,1833200,115.95
2015-12-15,116.00,116.70,114.70,115.80,1615600,115.80
2015-12-14,113.75,117.25,113.30,115.75,2163300,115.75
2015-12-11,116.90,118.75,113.25,115.25,3514800,115.25
2015-12-10,117.60,118.00,115.10,116.85,2512600,116.85
2015-12-09,118.00,119.20,116.60,116.90,2418500,116.90
2015-12-08,121.00,122.50,117.50,118.10,3145400,118.10
2015-12-07,124.60,124.95,121.40,121.75,2082900,121.75
2015-12-04,124.00,125.00,123.10,123.35,1949900,123.35
2015-12-03,126.75,127.65,124.80,125.30,2105200,125.30
2015-12-02,130.55,131.10,126.90,127.40,2339700,127.40
2015-12-01,132.00,132.20,129.90,130.60,1602300,130.60
2015-11-30,130.40,132.00,130.10,131.20,1729300,131.20
2015-11-27,126.40,130.95,126.00,130.30,3811900,130.30
2015-11-26,124.60,127.10,123.45,126.40,3647800,126.40
2015-11-25,124.60,124.60,124.60,124.60,000,124.60
2015-11-24,128.00,129.10,124.10,124.60,4154300,124.60
2015-11-23,130.50,131.00,128.15,128.35,1580500,128.35
2015-11-20,128.95,130.85,127.20,129.60,1862400,129.60
2015-11-19,129.40,130.20,128.30,128.90,1413200,128.90
2015-11-18,131.55,132.80,128.10,128.60,1911200,128.60
2015-11-17,134.00,134.60,131.40,131.80,1629100,131.80
2015-11-16,129.85,133.80,129.55,133.05,1973300,133.05
2015-11-13,131.95,131.95,129.30,130.25,2507500,130.25
2015-11-12,131.90,131.90,131.90,131.90,000,131.90
2015-11-11,131.90,131.90,131.90,131.90,000,131.90
2015-11-10,127.60,138.85,127.50,131.90,11692200,131.90
2015-11-09,132.00,135.55,130.70,133.55,3577600,133.55
2015-11-06,132.50,136.35,130.55,134.50,2448000,134.50
2015-11-05,133.10,134.05,132.00,132.50,1439500,132.50
2015-11-04,134.30,135.40,132.60,133.45,2293500,133.45
2015-11-03,133.80,134.80,132.40,133.20,1923100,133.20
2015-11-02,131.45,133.80,128.50,132.70,3053000,132.70
2015-10-30,135.00,135.75,130.45,131.30,2210200,131.30
2015-10-29,135.65,136.00,133.00,133.70,2081400,133.70
2015-10-28,137.00,137.00,133.35,134.45,2043700,134.45
2015-10-27,136.30,138.20,136.20,137.30,1286300,137.30
2015-10-26,139.25,139.55,136.40,137.10,1478500,137.10
2015-10-23,141.00,141.00,137.75,138.45,1629100,138.45
2015-10-22,138.50,138.50,138.50,138.50,000,138.50
2015-10-21,142.60,143.35,137.10,138.50,2432800,138.50
2015-10-20,142.05,144.75,141.35,142.50,1669300,142.50
2015-10-19,143.45,143.70,141.05,141.80,1273000,141.80
2015-10-16,142.05,144.00,140.40,142.80,2482400,142.80
2015-10-15,142.35,144.20,141.60,142.55,1522700,142.55
2015-10-14,142.40,143.40,140.65,141.45,1719400,141.45
2015-10-13,143.95,145.40,140.20,142.25,2083900,142.25
2015-10-12,144.65,146.50,142.20,143.95,2335500,143.95
2015-10-09,147.50,149.00,142.50,144.65,2618000,144.65
2015-10-08,145.25,149.00,143.20,145.45,3122800,145.45
2015-10-07,142.20,146.40,140.65,145.85,3387700,145.85
2015-10-06,141.00,143.45,136.35,141.85,3272700,141.85
2015-10-05,135.70,139.80,135.55,139.20,2366600,139.20
2015-10-02,134.35,134.35,134.35,134.35,000,134.35
2015-10-01,138.00,138.00,133.35,134.35,2233900,134.35
2015-09-30,139.95,141.15,133.75,135.60,3170800,135.60
2015-09-29,134.00,140.95,131.50,137.80,5239300,137.80
2015-09-28,136.70,139.10,135.10,135.75,2031900,135.75
2015-09-25,135.15,135.15,135.15,135.15,000,135.15
2015-09-24,135.70,137.20,133.60,135.15,2879200,135.15
2015-09-23,134.10,137.45,133.95,135.70,4722600,135.70
2015-09-22,144.75,145.70,135.60,136.30,3202600,136.30
2015-09-21,138.60,144.00,137.95,143.55,3278000,143.55
2015-09-18,141.00,145.00,139.10,140.30,4515800,140.30
2015-09-17,138.65,138.65,138.65,138.65,000,138.65
2015-09-16,139.20,140.35,137.80,138.65,2509700,138.65
2015-09-15,136.00,141.40,135.75,137.50,5202700,137.50
2015-09-14,132.80,136.40,131.65,136.00,2397100,136.00
2015-09-11,133.70,135.45,130.65,132.10,3141400,132.10
2015-09-10,132.70,133.80,129.80,131.80,3204400,131.80
2015-09-09,136.00,137.45,132.50,135.30,3240600,135.30
2015-09-08,128.60,137.20,127.70,133.50,4054800,133.50
2015-09-07,129.10,131.50,126.40,127.25,2620400,127.25
2015-09-04,132.75,132.75,126.00,128.70,3791100,128.70
2015-09-03,132.40,135.75,131.70,133.45,2863200,133.45
2015-09-02,136.00,136.80,130.20,130.90,4335200,130.90
2015-09-01,139.50,141.00,132.25,134.90,4235500,134.90
2015-08-31,142.00,147.50,140.55,142.15,3325800,142.15
2015-08-28,146.00,148.10,138.15,141.55,4489600,141.55
2015-08-27,143.00,143.90,140.00,142.75,3377300,142.75
2015-08-26,140.00,143.30,136.15,138.45,3321800,138.45
2015-08-25,143.60,145.40,131.40,140.90,7510400,140.90
2015-08-24,158.00,158.85,133.20,140.35,6477100,140.35
2015-08-21,162.70,167.50,160.95,166.50,4432300,166.50
2015-08-20,175.00,179.10,168.35,169.65,3186700,169.65
2015-08-19,178.75,180.10,175.10,177.10,3375000,177.10
2015-08-18,185.45,187.30,177.60,178.75,5515700,178.75
2015-08-17,172.40,188.25,171.80,185.75,8654000,185.75
2015-08-14,158.50,171.25,157.20,170.20,3374100,170.20
2015-08-13,160.00,162.65,155.70,157.50,1961800,157.50
2015-08-12,162.00,163.75,156.55,157.95,2760400,157.95
2015-08-11,169.90,170.40,162.95,163.65,2303800,163.65
2015-08-10,171.85,173.80,167.50,168.90,2609400,168.90
2015-08-07,173.50,175.00,170.30,171.30,1973200,171.30
2015-08-06,170.00,176.30,167.00,174.20,3530100,174.20
2015-08-05,175.00,178.00,168.55,169.95,4543600,169.95
2015-08-04,168.75,174.00,165.30,173.10,5822700,173.10
2015-08-03,163.95,171.85,163.60,167.05,4762700,167.05
2015-07-31,158.00,166.10,156.35,163.00,5133000,163.00
2015-07-30,151.00,159.95,150.00,157.25,5759300,157.25
