Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,2132.00,2171.80,2128.95,2167.15,246000,2167.15
2015-12-30,2081.00,2144.00,2079.60,2131.15,182200,2131.15
2015-12-29,2098.00,2098.00,2065.30,2083.95,104100,2083.95
2015-12-28,2040.90,2094.00,2032.70,2088.50,116500,2088.50
2015-12-25,2040.10,2040.10,2040.10,2040.10,000,2040.10
2015-12-24,2034.95,2059.85,2021.25,2040.10,60900,2040.10
2015-12-23,2031.00,2038.95,2012.70,2028.55,50400,2028.55
2015-12-22,2025.00,2027.95,1996.00,2006.00,42500,2006.00
2015-12-21,2012.00,2039.00,2001.00,2022.20,113800,2022.20
2015-12-18,2017.00,2030.00,1995.00,2004.35,91300,2004.35
2015-12-17,1981.00,2021.00,1976.25,2015.20,229600,2015.20
2015-12-16,1967.00,1990.00,1960.00,1972.40,105100,1972.40
2015-12-15,1949.75,1958.20,1935.10,1953.20,160400,1953.20
2015-12-14,1917.25,1978.80,1913.10,1938.40,195900,1938.40
2015-12-11,1985.80,1994.70,1930.00,1935.90,125100,1935.90
2015-12-10,1943.00,1995.00,1916.15,1985.75,166600,1985.75
2015-12-09,1995.00,2003.20,1926.05,1932.25,164100,1932.25
2015-12-08,2043.00,2050.75,1990.15,1999.55,90800,1999.55
2015-12-07,2082.50,2093.70,2047.60,2057.90,77900,2057.90
2015-12-04,2090.00,2105.00,2062.50,2077.50,181800,2077.50
2015-12-03,2138.00,2149.00,2090.00,2101.50,109400,2101.50
2015-12-02,2119.45,2133.80,2095.25,2118.80,63300,2118.80
2015-12-01,2124.90,2149.95,2102.00,2111.80,134700,2111.80
2015-11-30,2081.00,2129.00,2060.05,2106.05,281600,2106.05
2015-11-27,2089.00,2114.80,2065.00,2094.80,193600,2094.80
2015-11-26,2070.00,2090.50,2035.60,2081.85,94700,2081.85
2015-11-25,2052.60,2052.60,2052.60,2052.60,000,2052.60
2015-11-24,2061.00,2085.00,2042.20,2052.60,70200,2052.60
2015-11-23,2079.00,2079.00,2045.00,2060.65,68600,2060.65
2015-11-20,2083.55,2106.70,2048.00,2071.55,154700,2071.55
2015-11-19,1999.00,2103.00,1992.00,2088.15,173300,2088.15
