Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,17.08,17.44,17.00,17.17,6535100,17.17
2015-12-30,16.89,17.22,16.67,17.01,4860300,17.01
2015-12-29,16.78,17.09,16.03,16.94,5239900,16.94
2015-12-28,18.00,18.00,16.70,16.70,5423000,16.70
2015-12-24,17.91,18.19,16.70,17.57,9015200,17.57
2015-12-23,17.96,18.75,17.83,17.91,9097400,17.91
2015-12-22,17.91,18.37,17.53,17.96,5119400,17.96
2015-12-21,18.10,18.76,17.75,18.09,7379300,18.09
2015-12-18,17.80,18.25,17.45,18.09,8171400,18.09
2015-12-17,17.09,18.18,17.09,17.51,7817100,17.51
2015-12-16,17.27,17.65,17.09,17.28,6693400,17.28
2015-12-15,16.42,17.55,16.42,17.34,7832600,17.34
2015-12-14,16.74,16.74,16.20,16.36,5941500,16.36
2015-12-11,17.35,17.52,16.41,16.73,7946600,16.73
2015-12-10,16.55,17.80,16.48,17.23,16886500,17.23
2015-12-09,15.81,17.39,15.62,16.45,14879300,16.45
2015-12-08,15.57,16.17,15.45,15.81,11139600,15.81
2015-12-07,15.57,15.97,15.18,15.80,9431100,15.80
2015-12-04,15.40,16.26,15.10,15.62,14990900,15.62
2015-12-03,14.29,15.42,14.13,15.40,11675900,15.40
2015-12-02,14.08,14.28,13.62,14.12,3732000,14.12
2015-12-01,13.83,14.13,13.59,14.12,5509900,14.12
2015-11-30,13.72,14.00,13.00,13.74,7955700,13.74
2015-11-27,14.62,15.00,13.45,13.72,9839400,13.72
2015-11-26,15.20,15.26,14.72,14.91,8795900,14.91
2015-11-25,14.70,15.24,14.66,15.18,10424100,15.18
2015-11-24,14.93,15.16,14.60,14.78,7369800,14.78
2015-11-23,14.33,14.98,14.00,14.93,14043900,14.93
2015-11-20,14.40,14.68,14.25,14.34,7217800,14.34
2015-11-19,14.30,14.53,14.21,14.44,5631500,14.44
2015-11-18,14.41,14.55,14.13,14.30,7234600,14.30
2015-11-17,14.20,14.79,13.95,14.26,10951700,14.26
2015-11-16,13.80,14.00,13.55,13.93,11657800,13.93
2015-11-13,14.18,14.55,13.95,14.00,10557200,14.00
2015-11-12,14.73,14.85,14.18,14.24,10369900,14.24
2015-11-11,14.49,14.74,14.21,14.69,9498800,14.69
2015-11-10,14.77,14.99,14.11,14.50,16683000,14.50
2015-11-09,15.10,15.69,14.69,14.79,18686500,14.79
2015-11-06,14.27,15.61,14.06,15.25,20166700,15.25
2015-11-05,13.96,14.72,13.70,14.19,12771400,14.19
2015-11-04,13.33,14.02,13.10,14.02,14548300,14.02
2015-11-03,13.15,13.26,12.87,13.10,8769400,13.10
2015-11-02,13.05,13.68,12.88,13.01,13432400,13.01
2015-10-30,13.55,13.88,13.28,13.50,13078600,13.50
2015-10-29,13.05,14.16,13.05,13.70,28449500,13.70
2015-10-28,12.70,13.50,12.70,13.08,12708500,13.08
2015-10-27,12.50,13.45,12.28,12.93,16026300,12.93
2015-10-26,12.60,12.92,12.06,12.66,18639800,12.66
2015-10-23,12.21,12.96,11.98,12.42,26785200,12.42
2015-10-22,11.15,12.27,11.11,12.27,29311900,12.27
2015-10-21,11.97,12.00,11.00,11.15,25573100,11.15
2015-10-20,11.83,12.00,11.64,11.82,12906400,11.82
2015-10-19,11.90,12.40,11.51,11.77,18212800,11.77
2015-10-16,11.61,12.05,11.31,11.95,23181800,11.95
2015-10-15,11.35,11.84,11.22,11.58,24169900,11.58
2015-10-14,10.80,11.35,10.53,11.35,21636800,11.35
2015-10-13,10.48,10.90,10.42,10.80,14433800,10.80
2015-10-12,9.78,10.66,9.66,10.49,15422600,10.49
2015-10-09,9.71,9.82,9.60,9.79,6965800,9.79
2015-10-08,9.61,9.80,9.47,9.80,7913000,9.80
2015-10-07,9.39,9.39,9.39,9.39,000,9.39
2015-10-06,9.39,9.39,9.39,9.39,000,9.39
2015-10-05,9.39,9.39,9.39,9.39,000,9.39
2015-10-02,9.39,9.39,9.39,9.39,000,9.39
2015-10-01,9.39,9.39,9.39,9.39,000,9.39
2015-09-30,9.10,9.48,9.10,9.39,5324100,9.39
2015-09-29,9.18,9.20,8.98,9.15,4778400,9.15
2015-09-28,9.09,9.33,8.96,9.31,5193900,9.31
2015-09-25,9.24,9.36,8.80,9.10,7157900,9.10
2015-09-24,9.54,9.54,8.71,9.34,11779600,9.34
2015-09-23,9.37,9.44,8.71,9.35,12529900,9.35
2015-09-22,9.82,9.89,9.48,9.60,10675400,9.60
2015-09-21,9.35,9.86,9.35,9.81,13217100,9.81
2015-09-18,9.10,9.68,8.85,9.65,15381600,9.65
2015-09-17,9.21,9.79,9.02,9.20,13584600,9.20
2015-09-16,8.74,9.50,8.48,9.30,15671700,9.30
2015-09-15,8.90,9.45,8.64,8.64,10602500,8.64
2015-09-14,10.67,10.85,9.60,9.60,8793300,9.60
2015-09-11,10.51,10.81,10.50,10.65,5616200,10.65
2015-09-10,11.06,11.10,10.41,10.57,9534500,10.57
2015-09-09,11.00,11.40,10.45,11.37,16176700,11.37
2015-09-08,10.50,10.66,9.88,10.45,14696500,10.45
2015-09-07,10.52,11.14,10.48,10.70,11685300,10.70
2015-09-04,10.88,10.88,10.88,10.88,000,10.88
2015-09-03,10.88,10.88,10.88,10.88,000,10.88
2015-09-02,10.05,11.18,9.80,10.88,28334100,10.88
2015-09-01,10.09,11.00,9.70,10.89,41364900,10.89
2015-08-31,9.26,10.14,9.26,10.14,35622200,10.14
2015-08-28,8.70,9.39,8.39,9.22,19479800,9.22
2015-08-27,7.95,8.54,7.82,8.54,16690100,8.54
2015-08-26,9.24,9.39,8.28,8.28,25710900,8.28
2015-08-25,9.20,9.50,9.20,9.20,6951000,9.20
2015-08-24,10.33,10.99,10.22,10.22,4310500,10.22
2015-08-21,11.90,12.30,11.30,11.35,6694100,11.35
2015-08-20,12.20,12.76,11.80,12.15,8553700,12.15
2015-08-19,11.49,12.35,11.10,12.30,11477600,12.30
2015-08-18,13.13,13.35,11.82,11.82,14043100,11.82
2015-08-17,13.22,13.36,12.85,13.13,9834600,13.13
2015-08-14,12.84,13.30,12.72,13.20,12181500,13.20
2015-08-13,12.60,12.98,12.40,12.94,9515200,12.94
2015-08-12,12.64,13.59,12.43,12.96,16624200,12.96
2015-08-11,13.01,13.29,12.73,12.87,11944500,12.87
2015-08-10,12.65,13.59,12.45,13.19,15087900,13.19
2015-08-07,12.49,13.10,12.30,12.78,16445900,12.78
2015-08-06,10.89,12.33,10.89,12.33,16880500,12.33
2015-08-05,10.80,11.52,10.80,11.21,12106800,11.21
2015-08-04,9.73,10.79,9.73,10.79,9306000,10.79
2015-08-03,10.18,10.29,9.69,9.81,7434000,9.81
2015-07-31,9.82,10.54,9.82,10.18,7785500,10.18
2015-07-30,10.24,10.87,9.90,10.05,11252800,10.05
2015-07-29,9.58,10.01,9.05,10.01,7515800,10.01
2015-07-28,9.36,9.87,8.87,9.15,11491000,9.15
2015-07-27,10.44,11.23,9.85,9.85,14149000,9.85
2015-07-24,11.20,11.49,10.66,10.94,12483400,10.94
2015-07-23,11.36,11.59,11.04,11.32,11678700,11.32
2015-07-22,10.78,11.30,10.50,11.30,13513400,11.30
2015-07-21,10.47,11.20,10.29,10.69,15633500,10.69
2015-07-20,10.05,11.18,9.95,10.78,24664600,10.78
2015-07-17,10.14,10.80,10.09,10.38,26328900,10.38
2015-07-16,8.40,10.11,8.40,10.11,15961000,10.11
2015-07-15,8.90,9.75,8.66,9.19,26601300,9.19
2015-07-14,9.00,9.50,8.61,9.23,25156500,9.23
2015-07-13,8.66,8.66,8.30,8.66,15200100,8.66
2015-07-10,7.52,7.87,7.24,7.87,10380700,7.87
2015-07-09,6.07,7.15,5.90,7.15,20890900,7.15
2015-07-08,6.50,6.85,6.50,6.50,22365700,6.50
2015-07-07,7.22,7.22,7.22,7.22,2777700,7.22
2015-07-06,9.70,9.70,8.02,8.02,18458500,8.02
2015-07-03,9.03,9.64,8.91,8.91,12060300,8.91
2015-07-02,10.50,10.50,9.90,9.90,11716600,9.90
2015-07-01,12.28,12.30,11.00,11.00,17241600,11.00
2015-06-30,11.36,12.42,10.86,12.22,23559700,12.22
2015-06-29,13.60,13.99,12.07,12.07,19481900,12.07
2015-06-26,14.38,14.38,13.41,13.41,11972700,13.41
2015-06-25,14.93,15.24,14.08,14.90,13077500,14.90
2015-06-24,14.94,15.60,14.40,15.25,14889000,15.25
2015-06-23,15.61,15.88,13.99,14.59,19104000,14.59
2015-06-22,15.54,15.54,15.54,15.54,000,15.54
2015-06-19,16.50,16.80,15.16,15.54,16294400,15.54
2015-06-18,16.78,17.80,16.75,16.84,17686200,16.84
2015-06-17,15.65,17.00,15.59,16.83,19074800,16.83
2015-06-16,16.60,16.60,15.70,15.97,14552700,15.97
2015-06-15,16.90,17.38,16.22,16.71,19955300,16.71
2015-06-12,15.68,16.88,15.19,16.86,29239600,16.86
2015-06-11,15.59,16.05,15.32,15.61,15238800,15.61
2015-06-10,15.82,16.30,15.27,15.64,19171100,15.64
2015-06-09,15.20,16.15,14.71,15.87,24012600,15.87
2015-06-08,15.52,15.97,14.91,15.23,31444700,15.23
2015-06-05,13.85,14.97,13.61,14.97,36390200,14.97
2015-06-04,14.17,14.22,12.69,13.61,21804200,13.61
2015-06-03,13.62,14.21,13.06,14.10,27783700,14.10
2015-06-02,12.50,13.50,12.44,13.49,25059300,13.49
2015-06-01,12.04,12.70,11.90,12.50,15942300,12.50
2015-05-29,11.71,12.28,11.08,12.05,17071200,12.05
2015-05-28,13.11,13.23,11.88,11.90,23344100,11.90
2015-05-27,13.35,13.47,12.89,13.12,19205000,13.12
2015-05-26,13.02,13.61,12.85,13.49,24147100,13.49
2015-05-25,12.82,13.20,12.54,12.98,19113600,12.98
2015-05-22,12.98,13.19,12.27,12.80,19115400,12.80
2015-05-21,12.69,13.47,12.55,12.99,18675300,12.99
2015-05-20,12.18,12.85,11.99,12.69,21562600,12.69
