Date,Open,High,Low,Close
2-January-2007,4059.83,4103.87,4054.10,4094.71,
3-January-2007,4101.38,4118.26,4080.20,4111.63,
4-January-2007,4117.84,4128.16,4072.15,4079.31,
5-January-2007,4058.01,4111.11,4053.59,4073.53,
8-January-2007,4073.58,4073.58,4001.97,4015.22,
9-January-2007,4014.86,4047.44,3970.01,3989.50,
10-January-2007,3986.15,3989.19,3925.19,3931.82,
11-January-2007,3927.32,4019.39,3922.43,4010.62,
12-January-2007,4034.51,4127.47,4034.51,4123.73,
15-January-2007,4140.08,4170.12,4140.08,4154.88,
16-January-2007,4160.56,4178.92,4141.43,4156.67,
17-January-2007,4159.19,4183.49,4155.24,4168.52,
18-January-2007,4177.74,4220.20,4163.66,4187.76,
19-January-2007,4203.17,4213.97,4140.13,4170.65,
22-January-2007,4179.47,4191.82,4149.80,4179.29,
23-January-2007,4181.32,4181.32,4123.06,4128.86,
24-January-2007,4135.70,4163.09,4131.79,4152.31,
25-January-2007,4164.09,4210.91,4158.54,4204.99,
29-January-2007,4215.12,4218.25,4177.32,4184.17,
31-January-2007,4186.49,4199.58,4133.53,4144.63,
1-February-2007,4154.70,4198.14,4146.25,4195.55,
2-February-2007,4201.51,4252.91,4201.51,4235.93,
5-February-2007,4243.88,4270.86,4227.39,4267.80,
6-February-2007,4276.08,4284.96,4252.26,4259.38,
7-February-2007,4264.25,4305.37,4260.89,4299.67,
8-February-2007,4312.63,4315.19,4267.07,4298.54,
9-February-2007,4306.44,4317.68,4242.78,4255.70,
12-February-2007,4249.22,4249.22,4115.13,4127.33,
13-February-2007,4120.78,4182.42,4059.66,4097.86,
14-February-2007,4069.89,4083.34,4005.23,4074.88,
15-February-2007,4101.59,4185.34,4101.59,4181.60,
19-February-2007,4197.45,4217.57,4183.04,4190.96,
20-February-2007,4202.38,4207.84,4140.94,4147.79,
21-February-2007,4135.48,4168.10,4123.74,4132.20,
22-February-2007,4135.09,4158.92,4068.30,4080.72,
23-February-2007,4094.04,4094.04,3948.78,3967.12,
26-February-2007,3980.51,3992.80,3903.35,3977.47,
27-February-2007,3992.13,3998.11,3921.62,3938.74,
28-February-2007,3831.56,3888.34,3737.86,3785.73,
1-March-2007,3801.20,3844.03,3751.41,3836.19,
2-March-2007,3832.48,3869.97,3749.12,3762.11,
5-March-2007,3711.81,3711.81,3586.66,3609.41,
6-March-2007,3650.84,3701.47,3605.37,3684.43,
7-March-2007,3711.05,3743.73,3593.42,3646.01,
8-March-2007,3665.16,3798.54,3642.55,3784.00,
9-March-2007,3801.28,3813.09,3710.10,3738.99,
12-March-2007,3747.36,3793.02,3734.90,3754.75,
13-March-2007,3761.69,3793.44,3741.03,3787.87,
14-March-2007,3711.95,3711.95,3652.72,3667.90,
15-March-2007,3700.18,3742.18,3663.13,3673.08,
16-March-2007,3684.71,3699.19,3604.33,3638.39,
19-March-2007,3652.34,3698.13,3639.59,3695.88,
20-March-2007,3721.93,3745.62,3708.86,3720.50,
21-March-2007,3727.23,3784.18,3709.08,3779.75,
22-March-2007,3812.57,3881.82,3812.57,3877.97,
23-March-2007,3889.39,3904.36,3848.67,3876.60,
26-March-2007,3891.84,3891.84,3827.79,3835.44,
28-March-2007,3813.80,3813.80,3760.37,3766.94,
29-March-2007,3763.85,3796.42,3748.64,3790.06,
30-March-2007,3802.18,3831.79,3797.25,3820.58,
2-April-2007,3749.18,3749.18,3637.16,3646.86,
3-April-2007,3657.89,3698.63,3648.26,3687.85,
4-April-2007,3704.63,3749.97,3704.63,3730.48,
5-April-2007,3733.86,3772.11,3710.32,3758.41,
9-April-2007,3772.01,3859.70,3772.01,3855.07,
10-April-2007,3869.55,3877.13,3834.40,3867.38,
11-April-2007,3879.89,3900.12,3860.64,3868.05,
12-April-2007,3853.66,3862.08,3821.74,3843.10,
13-April-2007,3853.03,3928.73,3848.94,3921.98,
16-April-2007,3949.13,4009.89,3949.13,4008.18,
17-April-2007,4019.16,4026.52,3975.75,3983.49,
18-April-2007,3987.03,4029.59,3987.03,4001.36,
19-April-2007,3968.30,4000.40,3928.40,3988.51,
20-April-2007,4006.34,4068.18,4006.34,4063.47,
23-April-2007,4087.94,4105.23,4056.05,4063.83,
24-April-2007,4057.07,4144.45,4041.45,4128.41,
25-April-2007,4131.63,4161.61,4111.20,4156.42,
26-April-2007,4173.97,4204.72,4129.67,4159.37,
27-April-2007,4157.05,4157.05,4070.33,4076.73,
30-April-2007,4057.68,4086.47,4024.65,4079.10,
3-May-2007,4115.98,4151.80,4115.98,4143.12,
4-May-2007,4159.13,4177.84,4108.88,4115.65,
7-May-2007,4141.03,4156.25,4097.86,4103.23,
8-May-2007,4106.68,4130.84,4061.50,4068.91,
9-May-2007,4069.84,4083.79,4028.43,4078.62,
10-May-2007,4092.17,4133.45,4065.19,4072.87,
11-May-2007,4049.68,4101.29,4011.87,4083.04,
14-May-2007,4125.02,4151.23,4125.02,4139.11,
15-May-2007,4133.98,4155.21,4116.84,4135.19,
16-May-2007,4142.14,4197.63,4137.16,4190.55,
17-May-2007,4216.06,4256.41,4216.06,4242.62,
18-May-2007,4234.53,4254.92,4214.41,4241.70,
21-May-2007,4259.10,4290.64,4259.10,4282.88,
22-May-2007,4295.36,4307.80,4269.81,4304.05,
23-May-2007,4312.62,4317.55,4262.10,4273.25,
24-May-2007,4269.06,4280.88,4225.17,4237.27,
25-May-2007,4200.28,4282.71,4186.13,4276.75,
28-May-2007,4310.15,4333.25,4290.85,4297.96,
29-May-2007,4307.22,4335.52,4295.34,4329.46,
30-May-2007,4328.49,4346.34,4280.49,4289.81,
31-May-2007,4304.12,4338.93,4301.84,4331.85,
1-June-2007,4351.31,4373.58,4336.43,4346.00,
4-June-2007,4365.68,4381.78,4312.48,4321.04,
5-June-2007,4323.41,4348.19,4305.33,4340.33,
6-June-2007,4345.17,4357.06,4247.17,4253.46,
7-June-2007,4239.31,4283.28,4213.80,4235.27,
8-June-2007,4205.02,4240.61,4181.50,4192.89,
11-June-2007,4220.93,4252.77,4193.08,4200.72,
12-June-2007,4211.83,4216.16,4149.67,4204.10,
13-June-2007,4207.16,4211.21,4159.89,4169.26,
14-June-2007,4194.44,4239.36,4194.44,4234.70,
15-June-2007,4255.07,4273.38,4221.52,4234.50,
18-June-2007,4256.80,4267.92,4206.53,4213.36,
19-June-2007,4215.17,4282.65,4204.59,4276.98,
20-June-2007,4295.58,4324.97,4295.58,4316.62,
21-June-2007,4321.78,4352.64,4313.84,4344.53,
22-June-2007,4347.18,4364.77,4331.65,4339.64,
25-June-2007,4340.81,4354.74,4325.12,4343.32,
26-June-2007,4338.55,4370.06,4338.55,4358.10,
27-June-2007,4362.26,4362.55,4333.27,4340.82,
28-June-2007,4360.03,4373.33,4344.80,4361.88,
29-June-2007,4384.79,4413.60,4384.79,4411.11,
2-July-2007,4423.35,4445.40,4414.22,4422.91,
3-July-2007,4444.86,4471.21,4444.86,4464.33,
4-July-2007,4477.37,4492.73,4452.47,4475.86,
5-July-2007,4489.04,4497.93,4417.59,4465.85,
6-July-2007,4462.88,4504.91,4456.76,4492.44,
9-July-2007,4506.56,4527.90,4503.29,4518.32,
10-July-2007,4532.77,4536.02,4493.35,4505.17,
11-July-2007,4489.96,4516.52,4459.39,4491.02,
12-July-2007,4505.71,4557.50,4505.71,4553.12,
13-July-2007,4586.28,4621.61,4586.28,4605.14,
16-July-2007,4612.08,4626.50,4598.41,4618.44,
17-July-2007,4630.71,4657.34,4599.45,4605.73,
18-July-2007,4608.55,4616.99,4563.97,4607.70,
19-July-2007,4621.72,4679.68,4621.72,4669.87,
20-July-2007,4688.23,4709.15,4660.49,4672.49,
23-July-2007,4668.14,4732.78,4651.42,4723.04,
24-July-2007,4743.32,4758.51,4716.67,4730.07,
25-July-2007,4706.15,4725.16,4660.96,4694.81,
26-July-2007,4711.47,4725.90,4682.32,4713.99,
27-July-2007,4635.52,4635.52,4521.88,4546.57,
30-July-2007,4555.69,4603.19,4511.09,4550.34,
31-July-2007,4579.11,4647.38,4543.33,4642.35,
1-August-2007,4603.27,4603.27,4443.75,4450.97,
2-August-2007,4471.79,4516.25,4438.86,4471.49,
3-August-2007,4495.97,4549.62,4495.97,4524.78,
6-August-2007,4450.62,4465.19,4393.91,4457.34,
7-August-2007,4495.43,4529.48,4465.33,4475.38,
8-August-2007,4512.25,4590.67,4512.25,4580.79,
9-August-2007,4617.73,4651.39,4501.84,4512.09,
10-August-2007,4398.36,4452.49,4349.75,4443.27,
13-August-2007,4470.89,4495.99,4446.98,4486.61,
14-August-2007,4501.22,4503.28,4470.79,4481.53,
16-August-2007,4371.01,4371.01,4280.34,4283.53,
17-August-2007,4265.96,4277.54,4103.91,4212.07,
20-August-2007,4312.71,4373.05,4294.00,4304.09,
21-August-2007,4327.97,4333.61,4151.15,4164.05,
22-August-2007,4182.72,4241.95,4120.30,4232.74,
23-August-2007,4286.52,4322.19,4192.09,4204.36,
24-August-2007,4225.20,4283.61,4201.93,4275.39,
27-August-2007,4317.64,4411.28,4317.64,4407.14,
28-August-2007,4412.81,4442.04,4383.85,4433.72,
29-August-2007,4365.32,4468.30,4335.06,4458.56,
30-August-2007,4507.99,4516.81,4474.90,4492.47,
31-August-2007,4497.12,4564.74,4497.12,4557.41,
3-September-2007,4578.62,4597.31,4560.64,4596.09,
4-September-2007,4611.85,4631.69,4591.48,4612.39,
5-September-2007,4633.50,4644.89,4596.50,4608.51,
6-September-2007,4582.85,4662.45,4580.83,4657.87,
7-September-2007,4669.59,4687.58,4635.95,4643.00,
10-September-2007,4597.16,4662.24,4581.68,4653.95,
11-September-2007,4676.59,4689.75,4634.27,4644.30,
12-September-2007,4659.11,4682.97,4642.17,4648.20,
13-September-2007,4660.25,4695.96,4660.25,4686.38,
14-September-2007,4715.83,4746.08,4667.38,4677.09,
17-September-2007,4692.01,4714.28,4645.05,4661.44,
18-September-2007,4672.43,4718.50,4652.35,4712.75,
19-September-2007,4781.62,4890.32,4781.62,4886.76,
20-September-2007,4895.29,4932.88,4874.43,4918.78,
21-September-2007,4922.43,4998.10,4914.75,4986.00,
24-September-2007,5022.42,5080.90,5002.36,5076.06,
25-September-2007,5098.01,5101.40,5016.90,5084.37,
26-September-2007,5104.20,5138.59,5083.64,5093.25,
27-September-2007,5130.77,5162.50,5121.70,5146.86,
28-September-2007,5151.95,5215.74,5151.95,5201.10,
1-October-2007,5214.14,5262.64,5173.33,5236.47,
3-October-2007,5273.66,5418.91,5198.22,5374.88,
4-October-2007,5364.01,5386.08,5278.56,5361.77,
5-October-2007,5379.19,5401.89,5310.84,5331.33,
