Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,262.50,262.95,259.20,260.90,2727800,260.90
2015-12-30,264.40,265.00,261.05,261.75,1410800,261.75
2015-12-29,263.30,266.40,261.70,263.55,1721000,263.55
2015-12-28,259.00,263.00,257.10,262.00,2392400,262.00
2015-12-25,258.10,258.10,258.10,258.10,000,258.10
2015-12-24,257.20,261.30,254.45,258.10,1660400,258.10
2015-12-23,259.00,260.25,255.85,257.30,1924000,257.30
2015-12-22,261.30,261.30,256.35,257.60,1992000,257.60
2015-12-21,261.55,262.60,257.95,260.60,1249600,260.60
2015-12-18,256.00,261.25,253.55,260.20,3384200,260.20
2015-12-17,253.00,257.65,252.00,256.30,2430100,256.30
2015-12-16,253.70,254.50,249.00,251.65,2954700,251.65
2015-12-15,256.60,257.40,251.10,252.10,3908300,252.10
2015-12-14,239.80,255.50,239.15,254.55,4625400,254.55
2015-12-11,247.95,250.40,238.75,241.15,3975600,241.15
2015-12-10,245.10,249.45,242.15,246.90,4531700,246.90
2015-12-09,249.00,251.30,243.65,244.00,4226100,244.00
2015-12-08,255.00,255.00,250.05,251.05,2741400,251.05
2015-12-07,257.85,258.90,254.50,255.10,2699500,255.10
2015-12-04,255.00,257.90,254.55,255.55,3911800,255.55
2015-12-03,259.95,262.95,256.85,258.85,5427400,258.85
2015-12-02,263.70,265.80,260.05,261.40,3928800,261.40
2015-12-01,269.00,269.35,261.10,263.25,5104400,263.25
2015-11-30,268.50,269.20,264.25,267.70,4828700,267.70
2015-11-27,269.00,271.70,267.55,268.25,3022900,268.25
2015-11-26,271.50,272.50,267.05,268.00,5489300,268.00
2015-11-25,270.25,270.25,270.25,270.25,000,270.25
2015-11-24,276.50,277.00,269.50,270.25,2730000,270.25
2015-11-23,274.40,278.90,273.40,276.50,3246400,276.50
2015-11-20,268.10,273.50,268.10,269.70,3352600,269.70
2015-11-19,268.15,271.50,265.35,270.75,2036000,270.75
2015-11-18,270.40,272.40,265.70,267.30,2005900,267.30
2015-11-17,275.80,276.40,269.55,270.75,2545400,270.75
2015-11-16,267.00,273.25,266.60,272.10,2383600,272.10
2015-11-13,266.50,268.95,261.60,267.35,4675100,267.35
2015-11-12,265.60,265.60,265.60,265.60,000,265.60
2015-11-11,265.60,265.60,265.60,265.60,000,265.60
2015-11-10,276.00,276.60,262.45,265.60,5013200,265.60
2015-11-09,277.95,283.50,274.40,276.05,5642700,276.05
2015-11-06,284.50,287.90,281.30,285.05,2510200,285.05
2015-11-05,289.20,292.95,283.00,284.10,2305100,284.10
2015-11-04,293.45,295.20,287.55,289.45,2575000,289.45
2015-11-03,298.35,301.50,290.30,291.20,3207000,291.20
2015-11-02,293.10,302.70,290.10,295.55,7004800,295.55
2015-10-30,301.80,302.75,294.35,296.25,3247900,296.25
2015-10-29,300.85,303.35,298.15,300.10,4435700,300.10
2015-10-28,309.00,310.75,298.25,300.65,6552700,300.65
2015-10-27,315.80,316.65,310.35,311.30,2983100,311.30
2015-10-26,315.30,317.00,311.60,316.35,1674100,316.35
2015-10-23,317.30,318.00,313.05,314.15,1598100,314.15
2015-10-22,314.20,314.20,314.20,314.20,000,314.20
2015-10-21,309.00,314.80,309.00,314.20,2184100,314.20
2015-10-20,319.30,319.30,308.70,309.85,5636600,309.85
2015-10-19,323.30,324.70,315.60,317.70,1396800,317.70
2015-10-16,330.45,330.90,320.05,323.70,1561900,323.70
2015-10-15,325.20,331.00,325.00,329.00,1970500,329.00
2015-10-14,323.00,328.40,321.30,324.50,1676700,324.50
2015-10-13,320.00,325.30,319.10,323.55,1271600,323.55
2015-10-12,322.00,324.25,318.00,320.75,1229500,320.75
2015-10-09,323.00,324.70,315.95,318.55,1322800,318.55
2015-10-08,314.10,322.40,312.15,321.00,3111500,321.00
2015-10-07,315.80,319.50,312.10,314.55,1851400,314.55
2015-10-06,319.85,320.95,313.00,315.80,3585000,315.80
2015-10-05,310.00,319.65,309.05,317.85,5465100,317.85
2015-10-02,305.05,305.05,305.05,305.05,000,305.05
2015-10-01,302.95,307.10,298.50,305.05,4450400,305.05
2015-09-30,302.95,303.50,294.00,299.00,5296700,299.00
2015-09-29,304.00,304.95,293.00,297.40,5666900,297.40
2015-09-28,304.60,312.00,302.75,307.20,3282800,307.20
2015-09-25,301.85,301.85,301.85,301.85,000,301.85
2015-09-24,313.00,313.30,300.35,301.85,10386900,301.85
2015-09-23,312.75,316.60,309.25,310.85,3910000,310.85
2015-09-22,335.50,335.55,317.10,318.40,2637900,318.40
2015-09-21,335.80,337.30,331.50,332.90,2001100,332.90
2015-09-18,340.00,351.20,335.00,339.70,11182300,339.70
2015-09-17,334.20,334.20,334.20,334.20,000,334.20
2015-09-16,337.65,337.65,331.10,334.20,1854400,334.20
2015-09-15,330.40,334.90,326.90,332.80,2164500,332.80
2015-09-14,324.40,331.20,323.00,329.95,2471800,329.95
2015-09-11,329.00,334.00,320.50,322.95,2528700,322.95
2015-09-10,319.10,328.00,314.80,326.20,2432200,326.20
2015-09-09,323.50,327.60,320.15,324.05,2070500,324.05
2015-09-08,323.65,327.35,311.70,317.55,4788000,317.55
2015-09-07,340.90,345.50,321.30,322.65,2580600,322.65
2015-09-04,338.00,342.65,330.00,339.35,2104800,339.35
2015-09-03,337.50,344.75,336.10,339.40,2448600,339.40
2015-09-02,344.00,347.45,332.95,334.55,4886000,334.55
2015-09-01,344.95,354.75,339.00,341.95,3651600,341.95
2015-08-31,365.00,372.40,345.20,355.45,30058500,355.45
2015-08-28,360.50,369.45,357.00,362.65,5905500,362.65
2015-08-27,356.80,362.85,347.95,356.55,14512200,356.55
2015-08-26,344.00,355.25,336.25,348.20,4492700,348.20
2015-08-25,338.00,349.30,325.65,344.80,5152300,344.80
2015-08-24,348.55,349.70,325.40,334.60,6795000,334.60
2015-08-21,360.55,367.15,356.35,365.05,4288500,365.05
2015-08-20,366.95,374.80,358.55,368.55,5891100,368.55
2015-08-19,360.00,368.20,355.05,365.50,2272300,365.50
2015-08-18,361.65,372.80,361.65,363.45,4140900,363.45
2015-08-17,364.00,365.00,356.60,358.30,3561500,358.30
2015-08-14,340.00,365.80,340.00,363.75,13845300,363.75
