Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,1462.65,1470.40,1448.70,1466.45,223900,1466.45
2015-12-30,1469.95,1469.95,1456.00,1462.15,144200,1462.15
2015-12-29,1447.00,1471.15,1443.25,1459.85,144400,1459.85
2015-12-28,1448.00,1452.00,1437.60,1442.35,75200,1442.35
2015-12-25,1436.85,1436.85,1436.85,1436.85,000,1436.85
2015-12-24,1438.75,1445.00,1428.35,1436.85,63400,1436.85
2015-12-23,1460.00,1460.10,1423.30,1429.75,195000,1429.75
2015-12-22,1450.00,1462.45,1433.00,1449.45,153100,1449.45
2015-12-21,1445.90,1457.45,1432.65,1449.95,157600,1449.95
2015-12-18,1424.50,1453.35,1411.55,1445.90,334000,1445.90
2015-12-17,1390.00,1432.00,1389.85,1424.45,232400,1424.45
2015-12-16,1395.00,1405.00,1373.05,1377.80,106100,1377.80
2015-12-15,1412.00,1415.00,1375.00,1392.05,163100,1392.05
2015-12-14,1379.00,1409.90,1364.00,1400.05,142900,1400.05
2015-12-11,1400.00,1415.00,1365.10,1381.15,338700,1381.15
2015-12-10,1375.00,1403.20,1345.85,1393.55,281500,1393.55
2015-12-09,1350.00,1377.70,1345.40,1361.35,205000,1361.35
2015-12-08,1363.00,1371.55,1340.00,1347.30,150500,1347.30
2015-12-07,1370.30,1389.65,1365.85,1370.60,135800,1370.60
2015-12-04,1349.95,1375.00,1349.15,1362.20,189800,1362.20
2015-12-03,1388.00,1393.60,1346.85,1360.65,228000,1360.65
2015-12-02,1347.00,1387.00,1347.00,1379.35,250400,1379.35
2015-12-01,1311.00,1348.95,1311.00,1340.45,201600,1340.45
2015-11-30,1330.00,1334.80,1305.10,1315.15,373000,1315.15
2015-11-27,1335.00,1349.00,1329.80,1332.30,88100,1332.30
2015-11-26,1325.40,1347.00,1306.20,1338.50,185300,1338.50
2015-11-25,1328.70,1328.70,1328.70,1328.70,000,1328.70
2015-11-24,1355.00,1360.00,1320.15,1328.70,158800,1328.70
2015-11-23,1332.00,1357.90,1332.00,1349.25,229200,1349.25
2015-11-20,1327.00,1339.85,1317.70,1331.70,136100,1331.70
2015-11-19,1307.00,1321.05,1290.10,1319.20,148300,1319.20
2015-11-18,1325.00,1345.25,1297.50,1303.70,181200,1303.70
2015-11-17,1291.00,1330.00,1285.00,1321.35,271500,1321.35
2015-11-16,1245.00,1286.85,1213.00,1279.60,285700,1279.60
2015-11-13,1269.90,1269.90,1240.20,1249.00,139200,1249.00
2015-11-12,1272.95,1272.95,1272.95,1272.95,000,1272.95
2015-11-11,1272.95,1272.95,1272.95,1272.95,000,1272.95
2015-11-10,1334.75,1334.75,1269.25,1272.95,487000,1272.95
2015-11-09,1336.00,1336.00,1301.35,1324.15,239100,1324.15
2015-11-06,1336.00,1359.00,1335.00,1345.85,135300,1345.85
2015-11-05,1374.00,1374.00,1332.80,1344.15,203700,1344.15
2015-11-04,1357.00,1370.00,1356.85,1366.10,280700,1366.10
2015-11-03,1345.00,1359.55,1339.10,1348.50,195600,1348.50
2015-11-02,1316.50,1349.75,1301.05,1341.75,246200,1341.75
2015-10-30,1320.00,1344.00,1305.50,1312.75,166300,1312.75
2015-10-29,1330.50,1336.95,1301.55,1319.05,309000,1319.05
2015-10-28,1372.00,1376.05,1334.45,1344.35,345800,1344.35
2015-10-27,1420.00,1420.00,1368.00,1379.35,257200,1379.35
2015-10-26,1401.15,1434.80,1401.15,1420.40,206100,1420.40
2015-10-23,1410.40,1421.75,1385.00,1406.00,329800,1406.00
2015-10-22,1383.10,1383.10,1383.10,1383.10,000,1383.10
2015-10-21,1405.00,1419.00,1380.00,1383.10,227100,1383.10
2015-10-20,1433.85,1433.85,1403.20,1410.55,199400,1410.55
2015-10-19,1445.00,1448.55,1418.00,1425.60,167000,1425.60
2015-10-16,1456.45,1456.45,1433.70,1440.15,82800,1440.15
2015-10-15,1450.00,1458.00,1438.00,1441.80,61600,1441.80
2015-10-14,1445.00,1458.50,1437.75,1441.25,53100,1441.25
2015-10-13,1455.90,1472.90,1440.00,1452.60,117700,1452.60
2015-10-12,1464.00,1470.00,1437.50,1455.55,111400,1455.55
2015-10-09,1455.00,1475.05,1443.90,1454.65,117100,1454.65
2015-10-08,1485.00,1490.05,1433.05,1445.90,121100,1445.90
2015-10-07,1490.00,1515.90,1471.00,1479.70,193200,1479.70
2015-10-06,1485.05,1513.90,1474.00,1499.00,245500,1499.00
2015-10-05,1450.00,1503.85,1448.40,1479.05,285800,1479.05
2015-10-02,1444.35,1444.35,1444.35,1444.35,000,1444.35
2015-10-01,1443.15,1475.05,1423.65,1444.35,162800,1444.35
2015-09-30,1430.00,1455.00,1411.70,1441.60,312600,1441.60
2015-09-29,1400.00,1455.00,1393.25,1440.40,385800,1440.40
2015-09-28,1418.00,1424.00,1394.65,1402.85,147300,1402.85
2015-09-25,1409.05,1409.05,1409.05,1409.05,000,1409.05
2015-09-24,1379.00,1422.00,1366.50,1409.05,177200,1409.05
2015-09-23,1357.00,1383.00,1351.50,1369.60,118000,1369.60
2015-09-22,1365.20,1404.95,1357.40,1372.00,181000,1372.00
2015-09-21,1364.00,1370.00,1351.05,1363.70,102600,1363.70
2015-09-18,1347.00,1376.00,1347.00,1370.35,179300,1370.35
2015-09-17,1336.15,1336.15,1336.15,1336.15,000,1336.15
2015-09-16,1375.00,1375.20,1330.25,1336.15,99500,1336.15
2015-09-15,1374.00,1382.55,1352.75,1364.30,137700,1364.30
2015-09-14,1380.00,1384.75,1354.45,1367.65,139200,1367.65
2015-09-11,1424.70,1433.20,1360.00,1371.35,238000,1371.35
2015-09-10,1331.00,1420.00,1315.15,1410.65,309400,1410.65
2015-09-09,1327.00,1369.75,1327.00,1353.00,182900,1353.00
2015-09-08,1261.60,1324.00,1242.05,1314.00,180200,1314.00
2015-09-07,1315.25,1324.65,1250.00,1260.45,122700,1260.45
2015-09-04,1332.00,1336.85,1263.60,1312.60,127500,1312.60
2015-09-03,1318.50,1342.35,1315.00,1325.75,95400,1325.75
2015-09-02,1318.65,1345.00,1305.00,1310.15,168700,1310.15
2015-09-01,1331.00,1348.00,1285.35,1307.00,126500,1307.00
2015-08-31,1347.00,1375.20,1307.00,1340.20,208300,1340.20
2015-08-28,1306.00,1360.00,1303.95,1342.75,226500,1342.75
2015-08-27,1299.00,1333.00,1256.60,1300.15,414700,1300.15
2015-08-26,1275.00,1297.40,1245.25,1254.00,181500,1254.00
2015-08-25,1255.90,1307.90,1232.00,1279.40,298500,1279.40
2015-08-24,1250.00,1272.40,1195.00,1253.30,328900,1253.30
2015-08-21,1337.00,1337.00,1282.55,1302.35,231700,1302.35
2015-08-20,1384.95,1398.95,1335.00,1338.20,239200,1338.20
2015-08-19,1355.00,1399.80,1328.70,1376.25,347400,1376.25
2015-08-18,1381.00,1386.95,1340.00,1352.85,123900,1352.85
2015-08-17,1368.00,1382.80,1333.40,1374.45,93800,1374.45
2015-08-14,1341.00,1375.00,1339.20,1352.45,168200,1352.45
2015-08-13,1370.00,1385.00,1329.65,1336.75,168700,1336.75
2015-08-12,1420.00,1420.00,1340.05,1363.10,226700,1363.10
