Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,879.95,886.95,875.00,883.55,526800,883.55
2015-12-30,881.15,883.00,875.00,878.15,450300,878.15
2015-12-29,883.70,885.00,878.60,880.10,602100,880.10
2015-12-28,882.00,886.25,876.75,881.05,633200,881.05
2015-12-25,881.80,881.80,881.80,881.80,000,881.80
2015-12-24,880.50,883.90,873.55,881.80,403100,881.80
2015-12-23,882.95,883.95,874.75,878.95,350200,878.95
2015-12-22,874.00,887.00,873.55,880.95,663200,880.95
2015-12-21,879.00,884.00,866.70,873.50,896600,873.50
2015-12-18,874.50,885.90,868.00,879.45,1098500,879.45
2015-12-17,871.50,878.50,864.00,876.10,716200,876.10
2015-12-16,880.00,883.95,859.10,866.50,900300,866.50
2015-12-15,878.50,880.00,866.45,878.55,861700,878.55
2015-12-14,860.00,878.40,853.00,875.45,889700,875.45
2015-12-11,860.95,863.55,848.75,858.40,780600,858.40
2015-12-10,844.50,861.20,842.20,859.20,636100,859.20
2015-12-09,866.45,866.45,836.95,840.00,751000,840.00
2015-12-08,874.05,877.40,857.20,860.75,1058000,860.75
2015-12-07,842.00,873.85,841.00,871.45,1602600,871.45
2015-12-04,841.50,841.50,829.45,834.70,779500,834.70
2015-12-03,849.00,849.20,839.00,842.40,540400,842.40
2015-12-02,847.95,867.20,844.80,848.55,980900,848.55
2015-12-01,843.00,848.00,831.65,844.60,720200,844.60
2015-11-30,859.00,859.00,834.00,838.50,1679700,838.50
2015-11-27,862.60,864.00,852.00,859.10,444300,859.10
2015-11-26,861.00,865.95,851.80,861.85,678200,861.85
2015-11-25,856.60,856.60,856.60,856.60,000,856.60
2015-11-24,850.00,861.75,846.20,856.60,771300,856.60
2015-11-23,838.20,852.00,835.00,850.30,1475700,850.30
2015-11-20,821.40,831.80,818.55,829.20,712300,829.20
2015-11-19,827.00,833.80,819.10,823.70,1038000,823.70
2015-11-18,807.95,824.50,807.00,821.75,1253200,821.75
2015-11-17,807.45,813.25,800.35,807.65,500200,807.65
2015-11-16,796.00,809.95,795.20,800.95,604500,800.95
2015-11-13,807.00,808.00,792.50,800.40,765900,800.40
2015-11-12,797.80,797.80,797.80,797.80,000,797.80
2015-11-11,797.80,797.80,797.80,797.80,000,797.80
2015-11-10,814.70,816.00,796.80,797.80,751800,797.80
2015-11-09,790.90,818.40,784.25,816.40,1163000,816.40
2015-11-06,808.55,816.00,800.00,801.20,918500,801.20
2015-11-05,807.00,811.50,797.15,805.85,1016100,805.85
2015-11-04,814.50,822.50,800.55,802.20,1783900,802.20
2015-11-03,832.00,832.70,812.05,814.20,1599100,814.20
2015-11-02,831.00,837.00,825.50,830.10,716700,830.10
2015-10-30,835.60,840.00,826.40,830.65,810400,830.65
2015-10-29,831.00,834.80,820.40,829.35,1500400,829.35
2015-10-28,829.50,838.00,823.60,828.35,1108400,828.35
2015-10-27,818.00,829.90,818.00,827.10,1247700,824.90
2015-10-26,830.05,844.00,811.20,817.70,3455800,815.525
