Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,18580.00,18740.10,18550.00,18647.90,21300,18647.90
2015-12-30,18525.00,18699.00,18354.70,18574.10,11500,18574.10
2015-12-29,18439.00,18624.80,18370.40,18549.80,8600,18549.80
2015-12-28,18250.00,18450.00,18250.00,18410.70,12700,18410.70
2015-12-25,18205.20,18205.20,18205.20,18205.20,000,18205.20
2015-12-24,18210.00,18350.00,18140.00,18205.20,6100,18205.20
2015-12-23,18299.00,18299.00,18127.70,18217.40,9000,18217.40
2015-12-22,18380.00,18500.00,17873.10,18036.00,46200,18036.00
2015-12-21,18399.90,18399.90,18225.00,18287.40,11900,18287.40
2015-12-18,18301.00,18499.00,18155.00,18215.60,34000,18215.60
2015-12-17,18900.00,18980.00,18200.00,18341.40,27300,18341.40
2015-12-16,18900.00,19112.00,18640.30,18718.20,19300,18718.20
2015-12-15,18180.00,18900.00,18125.30,18840.40,27000,18840.40
2015-12-14,18348.80,18450.00,18005.00,18211.90,16000,18211.90
2015-12-11,18773.80,18773.80,18063.80,18221.90,14300,18221.90
2015-12-10,18400.00,18750.00,18330.30,18593.40,13000,18593.40
2015-12-09,18509.30,18535.90,18310.10,18342.10,13700,18342.10
2015-12-08,18500.00,18630.00,18405.80,18509.30,8900,18509.30
2015-12-07,18450.00,18670.00,18400.00,18496.10,12800,18496.10
2015-12-04,18493.50,18542.70,18319.30,18376.30,13000,18376.30
2015-12-03,18593.00,18629.90,18381.00,18493.70,18000,18493.70
2015-12-02,18602.20,18686.80,18440.00,18593.80,31000,18593.80
2015-12-01,18850.00,18900.00,18620.00,18692.10,33200,18692.10
2015-11-30,18898.80,19057.90,18550.00,18650.90,43400,18650.90
2015-11-27,18550.00,19000.00,18389.70,18863.10,36600,18863.10
2015-11-26,18400.10,18650.00,18112.80,18447.10,38400,18447.10
2015-11-25,18435.80,18435.80,18435.80,18435.80,000,18435.80
2015-11-24,18649.00,18699.00,18290.20,18435.80,60500,18435.80
2015-11-23,19101.00,19200.00,18900.00,19014.10,13600,19014.10
2015-11-20,19000.00,19419.90,18498.80,19049.70,61100,19049.70
2015-11-19,19225.00,19384.20,19081.20,19200.00,22200,19200.00
2015-11-18,19497.00,19592.00,19071.20,19135.50,26700,19135.50
2015-11-17,19340.00,19601.00,19206.90,19398.90,16800,19398.90
2015-11-16,19090.00,19276.40,18784.10,19157.60,18300,19157.60
2015-11-13,19140.00,19258.50,18764.10,18986.80,24100,18986.80
2015-11-12,19102.70,19102.70,19102.70,19102.70,000,19102.70
2015-11-11,19102.70,19102.70,19102.70,19102.70,000,19102.70
2015-11-10,19300.00,19317.00,19010.00,19102.70,15800,19102.70
2015-11-09,19001.00,19519.50,18966.90,19317.90,20600,19317.90
2015-11-06,19900.00,20185.10,19273.00,19365.20,45800,19365.20
2015-11-05,20254.00,20337.30,19840.50,19892.60,22500,19892.60
2015-11-04,20720.90,20840.10,20171.20,20264.20,12400,20264.20
2015-11-03,20632.10,20890.00,20600.00,20700.10,9900,20700.10
2015-11-02,20460.20,20635.80,20116.00,20521.80,11500,20521.80
2015-10-30,21067.40,21247.90,20398.80,20457.50,25800,20457.50
2015-10-29,21140.10,21307.00,21000.00,21067.40,20500,21067.40
2015-10-28,21575.00,21752.70,21012.00,21142.80,20800,21142.80
2015-10-27,21500.00,21780.00,21460.30,21624.30,16100,21624.30
2015-10-26,21804.90,21968.00,21450.60,21521.90,23700,21521.90
2015-10-23,21900.00,22049.90,21675.00,21743.40,18600,21743.40
2015-10-22,21743.20,21743.20,21743.20,21743.20,000,21743.20
2015-10-21,21566.00,21895.00,21566.00,21743.20,16900,21743.20
2015-10-20,21200.00,21630.00,20991.70,21562.60,21000,21562.60
2015-10-19,21111.00,21265.00,20926.00,21132.40,12200,21132.40
2015-10-16,21240.00,21279.50,20940.00,21067.60,20200,21067.60
2015-10-15,21195.50,21350.00,21075.10,21133.20,14200,21133.20
2015-10-14,21247.80,21330.00,21000.00,21185.90,12400,21185.90
2015-10-13,21146.00,21320.00,20834.70,21226.40,15900,21226.40
2015-10-12,21293.00,21350.00,21030.90,21105.10,10500,21105.10
2015-10-09,21388.70,21659.40,21201.00,21271.40,25600,21271.40
2015-10-08,21420.00,21498.90,21033.00,21368.10,24500,21368.10
2015-10-07,20894.00,21480.00,20650.10,21423.80,45600,21423.80
2015-10-06,20549.80,20948.80,20455.00,20708.50,42300,20708.50
2015-10-05,19400.00,20325.00,19400.00,20246.10,49900,20246.10
2015-10-02,19306.40,19306.40,19306.40,19306.40,000,19306.40
2015-10-01,19525.00,19649.00,19211.70,19306.40,34700,19306.40
2015-09-30,19499.00,19579.90,19190.00,19386.80,58000,19386.80
2015-09-29,19900.00,20377.90,19082.80,19558.50,80300,19558.50
2015-09-28,20430.50,20565.90,20001.00,20092.20,17700,20092.20
2015-09-25,20306.80,20306.80,20306.80,20306.80,000,20306.80
2015-09-24,20301.20,20623.80,20100.00,20306.80,34700,20306.80
2015-09-23,20700.00,20700.00,19925.10,20266.10,77300,20266.10
2015-09-22,21800.00,21899.00,20831.00,20832.10,44300,20832.10
2015-09-21,21639.90,21819.80,21400.00,21595.20,25100,21595.20
2015-09-18,21899.00,22363.90,21612.00,21879.40,38000,21879.40
2015-09-17,21741.70,21741.70,21741.70,21741.70,000,21741.70
2015-09-16,22149.00,22300.00,21580.10,21741.70,17100,21741.70
2015-09-15,22303.50,22350.00,21875.00,22021.10,19000,22021.10
2015-09-14,22100.00,22389.20,21845.00,22303.50,17300,22303.50
2015-09-11,22245.00,22444.80,21801.50,21931.60,17800,21931.60
2015-09-10,21300.00,22293.00,21010.00,21988.80,26200,21988.80
2015-09-09,21899.00,22239.90,21475.00,21634.60,39000,21634.60
2015-09-08,21102.10,21833.70,20741.10,21648.80,26800,21648.80
2015-09-07,21850.00,21850.20,20900.00,21155.80,19600,21155.80
2015-09-04,22150.00,22157.80,21580.10,21819.70,21000,21819.70
2015-09-03,22687.00,22687.00,22050.00,22157.80,24400,22157.80
2015-09-02,23188.00,23188.00,22321.20,22427.60,30000,22427.60
2015-09-01,23011.10,23247.00,22355.70,22815.00,29100,22815.00
2015-08-31,23699.00,23830.20,23105.00,23210.40,30100,23210.40
2015-08-28,23366.00,23832.80,23281.20,23670.30,38700,23670.30
2015-08-27,22990.00,23550.00,22811.30,23122.80,59500,23122.80
2015-08-26,22920.00,23123.00,22540.10,22598.00,26400,22598.00
2015-08-25,22720.00,23170.00,21601.80,22899.80,37300,22899.80
2015-08-24,23590.40,23600.00,21550.80,22558.10,52300,22558.10
2015-08-21,24661.00,24661.00,23790.90,24122.20,40500,24122.20
2015-08-20,25383.80,25383.80,24750.00,24820.80,21600,24820.80
2015-08-19,25350.00,25689.00,25100.10,25393.40,24900,25308.40
2015-08-18,25228.00,25474.50,24970.00,25393.30,15400,25308.30
2015-08-17,25400.00,25508.20,25102.10,25227.50,11500,25143.06
2015-08-14,25245.00,25500.90,24762.10,25387.30,19900,25302.32
2015-08-13,25669.80,25873.30,24749.90,24939.10,26100,24855.62
2015-08-12,26513.00,26540.00,25320.00,25491.30,25800,25405.97
2015-08-11,25947.00,26719.90,25384.90,26580.30,74200,26491.33
2015-08-10,26070.00,26349.80,25810.20,26027.30,10800,25940.18
2015-08-07,26500.00,26500.00,25880.20,26036.40,14800,25949.25
2015-08-06,26135.00,26699.00,26101.20,26397.70,17800,26309.34
2015-08-05,26000.00,26525.00,25805.00,26299.40,26900,26211.37
2015-08-04,25499.00,26096.90,24827.60,25965.40,34500,25878.49
2015-08-03,24669.70,25439.50,24669.70,25309.20,18700,25224.48
2015-07-31,24299.00,24908.10,24200.00,24669.70,19200,24587.12
2015-07-30,24218.00,24460.00,23831.70,24097.80,29900,24017.14
2015-07-29,23000.00,24199.00,22955.10,24072.20,30500,23991.62
2015-07-28,23146.20,23310.00,22854.90,23002.40,19200,22925.40
2015-07-27,23278.50,23568.00,22750.00,23097.90,14700,23020.58
2015-07-24,23625.30,23679.00,23105.40,23255.10,17300,23177.26
2015-07-23,23950.00,23950.00,23550.50,23625.30,14100,23546.22
2015-07-22,23479.80,23926.20,23399.90,23862.80,11500,23782.92
2015-07-21,23874.90,24091.90,23310.00,23528.00,11500,23449.24
2015-07-20,23879.70,23980.00,23715.10,23860.90,10700,23781.03
2015-07-17,23666.00,23835.00,23635.20,23758.30,10900,23678.77
2015-07-16,23375.00,23810.00,23375.00,23715.80,15500,23636.42
2015-07-15,23558.00,23650.00,23399.00,23449.40,13000,23370.91
2015-07-14,23499.00,23720.00,23228.20,23544.20,17600,23465.39
2015-07-13,23099.00,23600.00,22931.90,23497.20,22800,23418.55
2015-07-10,22901.00,23150.00,22760.00,23072.60,19800,22995.37
2015-07-09,22650.40,23050.00,22650.40,22847.70,16700,22771.22
2015-07-08,22820.00,22877.10,22500.00,22627.60,18200,22551.86
2015-07-07,23151.00,23280.00,22755.00,22927.50,21200,22850.75
2015-07-06,22501.00,23295.00,22428.80,23204.20,16900,23126.53
2015-07-03,23135.00,23500.00,22710.60,22988.30,37100,22911.35
2015-07-02,21910.10,23169.90,21910.10,23014.80,46700,22937.76
2015-07-01,21900.00,22237.00,21573.00,22039.30,22600,21965.53
2015-06-30,21940.00,22064.00,21701.10,21852.30,25500,21779.15
2015-06-29,21492.00,21850.00,21000.10,21698.30,18800,21625.67
2015-06-26,21915.00,22050.00,21703.80,21805.00,15500,21732.01
2015-06-25,21950.00,22166.80,21779.20,21914.10,29900,21840.75
2015-06-24,22200.00,22342.00,21800.10,21990.70,26900,21917.09
2015-06-23,21900.00,22222.00,21745.40,22062.90,32400,21989.05
2015-06-22,21290.00,21860.00,20500.00,21745.40,28300,21672.61
2015-06-19,21150.00,21251.40,20849.90,21108.20,31000,21037.54
2015-06-18,20850.00,21150.00,20557.20,21096.00,33100,21025.38
2015-06-17,20351.00,21180.00,20162.60,20848.30,35800,20778.51
2015-06-16,20339.40,20440.00,19900.00,20306.30,23700,20238.33
2015-06-15,20425.00,20528.30,20161.00,20339.40,18000,20271.32
2015-06-12,20399.50,20520.00,19625.10,20283.90,31900,20216.00
2015-06-11,21449.80,21489.80,20251.10,20432.20,36100,20363.81
2015-06-10,20820.00,21330.00,20820.00,21247.20,20100,21176.08
2015-06-09,21203.00,21298.00,20620.10,20791.80,27400,20722.20
2015-06-08,21890.00,22001.50,21127.60,21420.30,14900,21348.60
2015-06-05,22200.00,22245.00,21680.00,21977.30,21000,21903.74
2015-06-04,21950.00,22279.90,21705.00,22183.80,20900,22109.54
2015-06-03,22997.10,22997.10,21515.00,21713.60,25900,21640.92
2015-06-02,23400.00,23500.00,22581.00,22744.10,21600,22667.97
2015-06-01,23800.00,23860.00,23166.00,23332.20,22800,23254.10
2015-05-29,23295.60,23900.00,22431.00,23668.80,121000,23589.57
2015-05-28,23289.00,23404.10,22860.10,23094.60,93000,23017.29
2015-05-27,23075.80,23250.50,22850.00,23033.90,25100,22956.80
2015-05-26,23594.80,23594.80,23050.10,23135.80,13600,23058.36
2015-05-25,22605.20,23777.40,22605.20,23462.60,16400,23384.06
2015-05-22,23298.20,23400.00,22989.90,23146.10,10400,23068.62
2015-05-21,23340.00,23550.00,23200.40,23376.50,20600,23298.25
2015-05-20,23398.00,23425.80,23150.00,23256.20,13000,23178.35
2015-05-19,22990.00,23459.00,22810.00,23184.80,21700,23107.19
2015-05-18,23000.00,23149.00,22661.60,22983.80,16000,22906.87
2015-05-15,22880.00,23144.00,22767.00,22868.70,24800,22792.15
2015-05-14,22699.00,22940.00,22250.00,22794.20,27700,22717.90
2015-05-13,21470.20,22691.30,21470.20,22580.30,35500,22504.72
2015-05-12,22155.00,22155.00,21335.40,21487.60,12400,21415.67
2015-05-11,21950.00,22250.00,21740.10,22114.10,29800,22040.08
2015-05-08,21000.00,21900.00,21000.00,21608.80,28200,21536.47
2015-05-07,21900.00,21950.00,19798.20,20936.20,25100,20866.12
2015-05-06,22400.00,22594.00,21600.00,21732.40,21500,21659.65
2015-05-05,22950.00,22950.00,22411.00,22522.00,32100,22446.61
2015-05-04,22780.00,23070.00,22325.00,22713.10,26600,22637.07
2015-05-01,22503.80,22503.80,22503.80,22503.80,000,22428.47
2015-04-30,22000.00,22850.00,21775.00,22503.80,51300,22428.47
2015-04-29,21700.00,21975.00,21350.00,21621.20,26600,21548.83
2015-04-28,21100.00,21900.00,20626.70,21722.50,35300,21649.79
2015-04-27,22025.00,22100.00,20433.90,20930.40,68800,20860.34
2015-04-24,23800.00,23820.00,21460.10,21958.40,48100,21884.90
2015-04-23,23815.00,24050.00,23467.90,23720.50,16700,23641.10
2015-04-22,24290.00,24494.80,23160.10,23622.20,36500,23543.13
2015-04-21,24939.00,24939.00,24199.90,24284.10,25000,24202.81
2015-04-20,25784.90,25784.90,24360.00,24676.20,23900,24593.60
2015-04-17,26050.00,26295.90,25457.20,25574.60,13300,25488.99
2015-04-16,26400.00,26489.80,25745.10,26239.60,16300,26151.77
2015-04-15,26796.90,26796.90,26150.00,26340.20,16100,26252.03
2015-04-14,26440.60,26440.60,26440.60,26440.60,000,26352.09
2015-04-13,26100.00,26580.00,25950.20,26440.60,22700,26352.09
2015-04-10,25695.00,26159.90,25585.20,26069.10,19200,25981.84
2015-04-09,26000.00,26098.90,25565.00,25692.50,19900,25606.50
2015-04-08,25500.00,25990.10,25284.90,25823.60,26500,25737.16
2015-04-07,25600.00,25600.00,25050.00,25291.70,22200,25207.04
2015-04-06,25550.00,25560.00,25170.00,25343.80,16700,25258.97
2015-04-03,25570.70,25570.70,25570.70,25570.70,000,25485.11
2015-04-02,25570.70,25570.70,25570.70,25570.70,000,25485.11
2015-04-01,25488.00,25708.00,25201.00,25570.70,16100,25485.11
2015-03-31,25898.00,25898.00,25260.00,25421.30,29400,25336.21
2015-03-30,25538.00,25637.20,25300.00,25498.80,15600,25413.45
2015-03-27,25559.00,25660.00,24672.00,25212.20,37300,25127.81
