Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,66.377,66.377,66.377,66.377,000,66.377
2015-12-30,66.377,66.377,66.377,66.377,000,66.377
2015-12-29,65.566,65.566,65.566,65.566,000,65.566
2015-12-28,65.679,65.792,65.679,65.792,000,65.792
2015-12-25,65.636,65.636,65.636,65.636,000,65.636
2015-12-24,65.636,65.636,65.636,65.636,000,65.636
2015-12-23,65.636,65.636,65.636,65.636,000,65.636
2015-12-22,65.551,65.551,65.54,65.54,000,65.54
2015-12-21,65.886,65.886,65.886,65.886,000,65.886
2015-12-18,65.572,65.572,65.572,65.572,000,65.572
2015-12-17,65.835,65.835,65.835,65.835,000,65.835
2015-12-16,64.824,64.824,64.824,64.824,000,64.824
2015-12-15,64.242,65.481,64.242,65.481,300,65.481
2015-12-14,64.259,64.259,64.259,64.259,000,64.259
2015-12-11,64.966,64.966,64.966,64.966,000,64.966
2015-12-09,65.185,65.185,65.185,65.185,000,65.185
2015-12-08,63.751,64.292,63.585,64.292,000,64.292
2015-12-07,63.384,63.384,63.384,63.384,000,63.384
2015-12-04,62.328,62.328,62.328,62.328,000,62.328
2015-12-03,61.605,61.605,61.605,61.605,000,61.605
2015-12-02,61.888,61.888,61.888,61.888,000,61.888
2015-12-01,61.931,61.931,61.931,61.931,000,61.931
2015-11-30,61.169,61.717,61.169,61.717,200,61.717
2015-11-27,61.394,61.394,61.394,61.394,000,61.394
2015-11-26,61.25,61.25,61.25,61.25,000,61.25
2015-11-25,61.383,61.383,61.383,61.383,000,61.383
2015-11-24,60.371,60.371,60.371,60.371,000,60.371
2015-11-23,60.163,60.163,60.163,60.163,000,60.163
2015-11-20,58.337,58.337,58.337,58.337,000,58.337
2015-11-19,58.981,58.981,58.981,58.981,000,58.981
2015-11-18,58.737,58.737,58.401,58.401,000,58.401
2015-11-17,57.121,59.142,57.121,59.142,000,59.142
2015-11-16,55.563,55.563,55.563,55.563,000,55.563
2015-11-13,58.584,58.584,58.584,58.584,000,58.584
2015-11-11,61.35,61.35,61.35,61.35,000,61.35
2015-11-10,62.288,62.288,62.288,62.288,000,62.288
2015-11-09,62.81,62.81,62.81,62.81,000,62.81
2015-11-06,62.639,63.60,62.639,62.691,000,62.691
2015-11-05,62.352,62.352,62.352,62.352,000,62.352
2015-11-04,62.455,62.455,62.455,62.455,000,62.455
2015-11-03,62.157,62.157,62.157,62.157,000,62.157
2015-11-02,61.048,61.048,61.048,61.048,000,61.048
2015-10-30,61.258,61.258,61.258,61.258,000,61.258
2015-10-29,61.409,61.409,61.409,61.409,000,61.409
2015-10-28,59.101,59.101,59.101,59.101,000,59.101
2015-10-27,59.465,59.69,59.465,59.69,000,59.69
2015-10-26,59.348,59.348,59.348,59.348,000,59.348
