Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,106.00,106.00,106.00,106.00,000,106.00
2015-12-30,106.00,106.00,106.00,106.00,000,106.00
2015-12-29,106.00,106.00,106.00,106.00,142200,106.00
2015-12-28,104.70,104.70,104.70,104.70,000,104.70
2015-12-25,105.30,105.30,105.30,105.30,000,105.30
2015-12-24,105.30,105.30,105.30,105.30,000,105.30
2015-12-23,105.30,105.30,105.30,105.30,000,105.30
2015-12-22,105.70,105.70,105.70,105.70,000,105.70
2015-12-21,105.70,105.70,105.70,105.70,000,105.70
2015-12-18,105.70,105.70,105.70,105.70,250000,105.70
2015-12-17,104.70,104.70,104.70,104.70,000,104.70
2015-12-16,104.30,104.70,104.30,104.70,200,104.70
2015-12-15,103.40,103.70,103.40,103.60,1500,103.60
2015-12-14,100.30,101.00,100.00,100.60,2600,100.60
2015-12-11,103.30,103.30,103.30,103.30,100,103.30
2015-12-10,105.70,105.70,105.70,105.70,000,105.70
2015-12-09,106.20,106.20,105.50,105.70,600,105.70
2015-12-08,107.10,107.10,107.10,107.10,000,107.10
2015-12-07,107.10,107.10,107.10,107.10,000,107.10
2015-12-04,104.90,104.90,104.90,104.90,100,104.90
2015-12-03,110.00,110.00,110.00,110.00,000,110.00
2015-12-02,110.50,111.20,110.00,110.00,100,110.00
2015-12-01,108.20,108.20,108.20,108.20,000,108.20
2015-11-30,108.00,108.20,108.00,108.20,100,108.20
2015-11-27,107.80,107.80,107.80,107.80,000,107.80
2015-11-26,107.80,107.80,107.80,107.80,000,107.80
2015-11-25,107.80,107.80,107.80,107.80,000,107.80
2015-11-24,107.80,107.80,107.80,107.80,000,107.80
2015-11-23,107.80,107.80,107.80,107.80,000,107.80
2015-11-20,107.80,107.80,107.80,107.80,000,107.80
2015-11-19,107.80,107.80,107.80,107.80,000,107.80
2015-11-18,107.80,107.80,107.80,107.80,000,107.80
2015-11-17,109.00,109.00,109.00,109.00,000,109.00
2015-11-16,109.00,109.00,109.00,109.00,000,109.00
2015-11-13,109.00,109.00,109.00,109.00,000,109.00
2015-11-12,109.00,109.00,109.00,109.00,200,109.00
2015-11-11,106.20,106.20,106.20,106.20,000,106.20
2015-11-10,106.20,106.20,106.20,106.20,000,106.20
2015-11-09,108.10,108.10,108.10,108.10,8900,108.10
2015-11-06,108.90,108.90,108.90,108.90,100,108.90
2015-11-05,108.90,109.70,107.80,109.00,400,109.00
2015-11-04,102.20,102.20,102.20,102.20,100,102.20
2015-11-03,101.00,101.00,101.00,101.00,000,101.00
2015-11-02,100.40,101.00,100.40,101.00,100,101.00
2015-10-30,102.60,102.60,102.60,102.60,000,102.60
2015-10-29,103.30,103.30,103.30,103.30,300,103.30
2015-10-28,99.45,99.45,99.45,99.45,000,99.45
2015-10-27,99.45,99.45,99.45,99.45,000,99.45
2015-10-26,99.45,99.45,99.45,99.45,000,99.45
2015-10-23,98.30,99.45,98.30,99.45,400,99.45
