Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,22.10,22.70,21.95,22.25,1088200,22.25
2015-12-30,22.55,22.85,21.90,22.00,1447400,22.00
2015-12-29,22.10,23.20,22.05,22.60,2804000,22.60
2015-12-28,22.10,22.40,21.80,21.95,828400,21.95
2015-12-25,22.00,22.00,22.00,22.00,000,22.00
2015-12-24,22.15,22.45,21.70,22.00,1271000,22.00
2015-12-23,22.45,22.50,21.80,21.90,1201300,21.90
2015-12-22,22.60,22.90,21.85,22.15,1948100,22.15
2015-12-21,21.75,23.15,21.60,22.35,1954300,22.35
2015-12-18,22.40,22.45,21.60,21.75,1238400,21.75
2015-12-17,22.40,22.75,21.90,22.45,1902000,22.45
2015-12-16,22.90,23.25,22.10,22.25,1583600,22.25
2015-12-15,23.60,23.70,22.50,22.75,2223700,22.75
2015-12-14,21.00,23.60,20.90,23.25,5224100,23.25
2015-12-11,22.35,22.35,20.75,21.25,2500400,21.25
2015-12-10,20.25,22.60,20.10,22.25,2926900,22.25
2015-12-09,22.00,22.10,19.50,19.80,3237000,19.80
2015-12-08,22.70,23.50,21.70,21.95,1497500,21.95
2015-12-07,22.60,23.25,22.45,22.60,1426500,22.60
2015-12-04,22.95,24.20,22.25,22.45,4895400,22.45
2015-12-03,21.15,24.45,20.80,23.20,13458600,23.20
2015-12-02,21.05,21.35,20.55,20.80,968400,20.80
2015-12-01,20.90,21.40,20.45,20.95,1696400,20.95
2015-11-30,20.85,21.40,20.75,20.95,969700,20.95
2015-11-27,21.65,21.65,20.75,20.85,1392800,20.85
2015-11-26,21.00,22.15,21.00,21.55,4564400,21.55
2015-11-25,20.60,20.60,20.60,20.60,000,20.60
2015-11-24,20.15,20.80,19.90,20.60,1465700,20.60
2015-11-23,20.15,20.80,19.80,20.20,2675500,20.20
2015-11-20,18.95,20.35,18.80,19.80,2648600,19.80
2015-11-19,19.05,19.25,18.75,19.00,861500,19.00
2015-11-18,18.60,19.25,18.55,18.95,1378900,18.95
2015-11-17,19.35,19.35,18.55,18.70,2401300,18.70
2015-11-16,17.40,19.10,17.10,18.70,1402000,18.70
2015-11-13,17.65,17.75,17.40,17.45,297900,17.45
2015-11-12,17.40,17.40,17.40,17.40,000,17.40
2015-11-11,17.40,17.40,17.40,17.40,000,17.40
2015-11-10,17.80,18.20,17.30,17.40,545100,17.40
2015-11-09,17.50,18.05,17.25,17.80,482500,17.80
2015-11-06,17.75,17.95,17.55,17.65,349100,17.65
2015-11-05,18.50,18.70,17.60,17.70,647400,17.70
2015-11-04,19.15,19.20,18.40,18.55,633400,18.55
2015-11-03,18.65,19.35,18.20,18.95,1383900,18.95
2015-11-02,18.80,18.95,18.10,18.30,435600,18.30
2015-10-30,19.00,19.35,18.55,18.65,866200,18.65
2015-10-29,18.90,19.40,18.70,18.80,823800,18.80
2015-10-28,18.60,19.35,18.60,18.90,703200,18.90
2015-10-27,18.55,19.25,18.45,18.90,866500,18.90
2015-10-26,18.40,19.90,18.00,18.75,2185800,18.75
2015-10-23,18.50,18.90,18.15,18.25,406700,18.25
2015-10-22,18.45,18.45,18.45,18.45,000,18.45
2015-10-21,19.05,19.25,18.25,18.45,818000,18.45
2015-10-20,18.20,19.40,18.20,19.10,1860000,19.10
2015-10-19,18.40,18.60,18.05,18.10,503300,18.10
2015-10-16,18.65,18.65,18.05,18.25,586200,18.25
2015-10-15,18.70,18.90,18.10,18.35,1078000,18.35
2015-10-14,18.70,19.15,18.20,18.50,1433000,18.50
2015-10-13,17.50,19.60,17.05,19.00,5294900,19.00
2015-10-12,16.85,17.70,16.50,17.25,1524100,17.25
2015-10-09,16.85,17.10,16.55,16.60,594000,16.60
2015-10-08,17.00,17.30,16.60,16.75,689500,16.75
2015-10-07,16.55,17.20,16.50,17.00,1148400,17.00
2015-10-06,16.40,17.00,16.25,16.50,1527700,16.50
2015-10-05,16.20,16.35,15.85,16.25,493500,16.25
2015-10-02,15.80,15.80,15.80,15.80,000,15.80
2015-10-01,16.10,16.30,15.70,15.80,423200,15.80
2015-09-30,16.20,16.20,15.90,16.00,264100,16.00
2015-09-29,15.80,16.15,15.75,15.90,322400,15.90
2015-09-28,16.05,16.40,15.85,16.15,420900,16.15
2015-09-25,15.90,15.90,15.90,15.90,000,15.90
2015-09-24,15.95,16.35,15.80,15.90,414400,15.90
2015-09-23,15.75,16.30,15.50,16.00,467200,16.00
2015-09-22,16.60,16.85,15.75,15.85,825000,15.85
2015-09-21,16.50,16.75,16.25,16.45,1974500,16.45
2015-09-18,15.55,16.15,15.55,15.90,723200,15.90
2015-09-17,15.45,15.45,15.45,15.45,000,15.45
2015-09-16,15.70,15.80,15.35,15.45,292100,15.45
2015-09-15,15.60,15.75,15.50,15.55,175500,15.55
2015-09-14,15.60,15.75,15.45,15.70,251000,15.70
2015-09-11,15.70,15.85,15.30,15.50,553600,15.50
2015-09-10,15.55,15.80,15.25,15.55,627400,15.55
2015-09-09,15.45,16.80,15.20,15.95,3009500,15.95
2015-09-08,14.90,15.25,14.70,15.05,452400,15.05
2015-09-07,14.80,15.45,14.45,14.80,573900,14.80
2015-09-04,15.40,15.45,14.70,14.80,415300,14.80
2015-09-03,15.20,15.45,15.20,15.30,253400,15.30
2015-09-02,15.25,15.30,14.95,15.15,472500,15.15
2015-09-01,15.65,15.65,14.90,15.10,603800,15.10
2015-08-31,15.45,16.40,15.15,15.70,766500,15.70
2015-08-28,15.90,15.90,15.20,15.35,588500,15.35
2015-08-27,15.70,15.70,15.15,15.45,869900,15.45
2015-08-26,15.50,15.80,15.10,15.15,691800,15.15
2015-08-25,16.00,16.35,14.35,15.45,1542600,15.45
2015-08-24,16.65,16.70,15.30,15.75,1246600,15.75
2015-08-21,17.50,17.50,17.00,17.20,628100,17.20
2015-08-20,17.85,18.25,17.55,17.80,614400,17.80
2015-08-19,18.20,18.20,17.80,17.85,424500,17.85
2015-08-18,18.00,18.45,17.85,18.10,497900,18.10
2015-08-17,18.20,18.20,17.70,17.90,683000,17.90
2015-08-14,18.25,18.45,17.55,18.25,1134800,18.25
2015-08-13,18.95,19.20,17.75,17.90,1055100,17.90
2015-08-12,19.25,19.25,18.60,18.65,794500,18.65
2015-08-11,19.80,19.80,19.10,19.25,893400,19.25
2015-08-10,20.15,20.35,19.60,19.75,1005300,19.75
2015-08-07,20.80,20.80,20.10,20.15,787100,20.15
2015-08-06,21.80,22.30,20.70,20.90,4567500,20.90
2015-08-05,20.60,21.40,20.05,20.95,5521100,20.95
2015-08-04,19.50,19.95,19.30,19.60,801000,19.60
2015-08-03,19.35,20.10,19.05,19.65,1403300,19.65
2015-07-31,19.20,19.50,18.85,19.00,606700,19.00
2015-07-30,19.45,19.75,18.90,19.05,749800,19.05
2015-07-29,20.00,20.45,19.20,19.30,2141100,19.30
2015-07-28,18.95,19.75,18.15,19.35,1001300,19.35
2015-07-27,19.15,19.50,18.65,18.80,614000,18.80
2015-07-24,19.60,19.65,19.00,19.10,456800,19.10
2015-07-23,19.85,19.85,19.25,19.45,636600,19.45
2015-07-22,19.40,20.00,19.40,19.65,665800,19.65
2015-07-21,20.60,20.80,19.45,19.60,1054200,19.60
2015-07-20,20.00,21.30,19.50,20.70,2330900,20.70
2015-07-17,20.00,20.50,19.50,19.95,992200,19.95
2015-07-16,19.90,20.20,19.70,19.80,775400,19.80
2015-07-15,20.55,20.60,19.60,19.85,1003900,19.85
2015-07-14,20.95,21.40,20.15,20.35,3733700,20.35
2015-07-13,18.70,20.20,18.50,19.90,2200600,19.90
2015-07-10,19.50,19.80,18.65,18.80,823000,18.80
2015-07-09,19.80,20.25,19.10,19.25,1301600,19.25
2015-07-08,20.10,20.45,19.40,19.55,2016500,19.55
2015-07-07,20.80,21.40,20.35,20.65,3814100,20.65
2015-07-06,18.85,21.90,18.75,20.95,11865400,20.95
2015-07-03,16.50,19.85,16.50,19.85,20376500,19.85
2015-07-02,16.80,16.90,16.40,16.55,611800,16.55
2015-07-01,16.60,17.00,16.50,16.60,1374600,16.60
2015-06-30,15.75,16.25,15.70,15.95,506000,15.95
2015-06-29,16.30,16.30,15.65,15.85,397500,15.85
2015-06-26,17.00,17.00,16.30,16.50,669000,16.50
2015-06-25,16.15,17.45,16.05,17.15,1392600,17.15
2015-06-24,17.05,17.20,16.20,16.40,740800,16.40
2015-06-23,16.55,17.50,16.50,17.00,2232300,17.00
2015-06-22,15.65,16.25,15.35,16.15,798200,16.15
2015-06-19,15.30,15.95,15.15,15.65,789500,15.65
2015-06-18,15.40,15.75,15.15,15.25,502600,15.25
2015-06-17,15.00,15.50,14.85,15.30,464700,15.30
2015-06-16,15.10,15.15,14.55,14.90,481300,14.90
2015-06-15,14.95,15.35,14.85,15.10,234600,15.10
2015-06-12,15.35,15.35,14.80,14.95,323900,14.95
2015-06-11,15.60,15.75,15.10,15.15,369600,15.15
2015-06-10,15.55,15.90,15.40,15.45,499400,15.45
2015-06-09,15.75,15.95,15.55,15.65,266400,15.65
2015-06-08,16.40,16.40,15.70,15.85,577600,15.85
2015-06-05,15.70,16.15,15.40,15.85,451800,15.85
2015-06-04,16.45,16.45,15.25,15.60,414300,15.60
2015-06-03,17.00,17.00,15.25,15.75,1101600,15.75
2015-06-02,17.20,17.40,16.10,16.55,705600,16.55
2015-06-01,17.40,17.60,16.95,17.05,635700,17.05
2015-05-29,17.05,17.70,16.90,17.05,443200,17.05
2015-05-28,17.15,17.20,16.95,17.00,312700,17.00
2015-05-27,17.05,17.30,16.85,17.05,677300,17.05
2015-05-26,17.65,17.65,17.10,17.15,224200,17.15
2015-05-25,17.90,17.90,17.25,17.35,292600,17.35
2015-05-22,17.95,17.95,17.50,17.60,344400,17.60
2015-05-21,17.85,18.00,17.60,17.75,309700,17.75
2015-05-20,18.05,18.30,17.70,17.85,450000,17.85
2015-05-19,17.70,18.25,17.70,18.00,363500,18.00
2015-05-18,17.85,18.20,17.70,17.85,337900,17.85
2015-05-15,18.05,18.20,17.15,17.65,416900,17.65
2015-05-14,18.20,18.20,17.60,17.80,362000,17.80
2015-05-13,17.80,18.25,17.60,17.95,426900,17.95
2015-05-12,18.55,18.65,17.65,17.75,239800,17.75
2015-05-11,18.30,18.85,18.30,18.65,391600,18.65
2015-05-08,17.75,18.75,17.50,18.20,885600,18.20
2015-05-07,17.95,17.95,17.25,17.45,405800,17.45
2015-05-06,18.50,18.55,17.80,17.90,432600,17.90
2015-05-05,18.60,19.05,18.25,18.55,702500,18.55
2015-05-04,18.25,18.60,18.20,18.50,311400,18.50
2015-05-01,18.15,18.15,18.15,18.15,000,18.15
2015-04-30,18.00,18.60,17.85,18.15,455100,18.15
2015-04-29,18.20,18.50,18.05,18.10,369600,18.10
2015-04-28,18.20,18.25,17.70,18.15,791700,18.15
2015-04-27,18.70,19.10,18.20,18.30,878000,18.30
2015-04-24,19.00,19.25,18.20,18.30,535500,18.30
2015-04-23,19.15,19.30,18.75,18.85,536700,18.85
2015-04-22,19.20,19.55,18.80,19.10,573600,19.10
2015-04-21,19.35,19.80,19.00,19.15,366400,19.15
2015-04-20,20.10,20.20,18.90,19.35,678500,19.35
2015-04-17,20.40,20.55,20.00,20.10,680700,20.10
2015-04-16,21.00,21.20,20.10,20.25,629400,20.25
2015-04-15,21.05,22.15,20.70,20.95,1125400,20.95
2015-04-14,21.00,21.00,21.00,21.00,000,21.00
2015-04-13,21.50,21.60,20.80,21.00,780400,21.00
2015-04-10,20.00,22.80,19.80,21.40,3220400,21.40
2015-04-09,20.00,20.45,19.55,20.00,824900,20.00
2015-04-08,19.60,20.25,19.60,19.85,767200,19.85
2015-04-07,19.95,20.35,19.10,19.65,1045600,19.65
2015-04-06,19.30,20.15,18.55,19.80,1541000,19.80
2015-04-03,18.85,18.85,18.85,18.85,000,18.85
2015-04-02,18.85,18.85,18.85,18.85,000,18.85
2015-04-01,18.20,19.10,17.35,18.85,1198400,18.85
2015-03-31,18.70,18.90,18.10,18.20,1019400,18.20
2015-03-30,17.40,18.70,17.30,18.50,1339700,18.50
2015-03-27,17.00,17.60,16.80,17.30,1805600,17.30
2015-03-26,16.70,17.10,16.35,16.80,1225400,16.80
2015-03-25,17.75,17.75,16.55,16.70,1209800,16.70
2015-03-24,18.10,18.45,17.35,17.50,1034900,17.50
2015-03-23,19.25,19.40,18.00,18.05,1457600,18.05
2015-03-20,20.10,20.30,19.00,19.25,2071600,19.25
2015-03-19,21.40,21.50,20.25,20.35,939600,20.35
2015-03-18,20.35,21.60,19.60,21.15,4268600,21.15
2015-03-17,21.55,21.70,19.90,20.10,2000500,20.10
2015-03-16,22.25,22.45,21.10,21.30,1451000,21.30
2015-03-13,22.80,23.20,22.10,22.30,2600200,22.30
2015-03-12,22.00,22.80,21.65,22.40,4862300,22.40
2015-03-11,25.60,25.80,20.90,21.05,12245400,21.05
2015-03-10,25.60,26.90,25.55,26.00,1496200,26.00
2015-03-09,26.35,26.40,25.20,25.50,1374100,25.50
2015-03-06,26.60,26.60,26.60,26.60,000,26.60
2015-03-05,26.95,27.05,26.35,26.60,759100,26.60
2015-03-04,27.65,27.65,26.55,26.60,1303500,26.60
2015-03-03,27.75,27.90,26.95,27.05,1598100,27.05
2015-03-02,28.30,28.40,27.20,27.35,1117800,27.35
2015-02-27,28.80,29.45,28.60,29.15,1675400,29.15
2015-02-26,29.00,29.00,28.30,28.40,1005700,28.40
2015-02-25,29.15,30.10,28.70,28.95,1787200,28.95
2015-02-24,30.00,30.25,28.55,29.05,1428800,29.05
2015-02-23,29.60,30.50,29.20,29.55,1861200,29.55
2015-02-20,29.10,30.80,28.80,29.90,4091600,29.90
2015-02-19,29.90,30.45,28.75,29.05,2613800,29.05
2015-02-18,28.50,30.45,28.15,29.65,5493900,29.65
2015-02-17,27.55,27.55,27.55,27.55,000,27.55
2015-02-16,27.35,28.40,27.35,27.55,967200,27.55
2015-02-13,27.80,28.15,27.20,27.35,769300,27.35
2015-02-12,27.75,28.70,27.50,28.25,1832900,28.25
2015-02-11,27.40,27.95,27.35,27.50,877700,27.50
2015-02-10,27.25,28.25,27.00,27.30,1011300,27.30
2015-02-09,27.40,28.10,27.00,27.25,1113500,27.25
2015-02-06,28.95,28.95,27.50,27.60,1370500,27.60
2015-02-05,30.40,30.40,28.65,28.80,2541600,28.80
2015-02-04,28.85,30.90,28.35,30.40,6870500,30.40
2015-02-03,29.05,29.25,28.25,28.35,948800,28.35
2015-02-02,28.85,29.50,28.50,29.00,1672200,29.00
2015-01-30,28.80,29.50,28.55,28.90,2107300,28.90
2015-01-29,28.90,29.25,28.30,28.70,4612500,28.70
2015-01-28,26.80,28.40,26.70,28.10,1649900,28.10
2015-01-27,27.80,28.20,26.70,26.95,803100,26.95
2015-01-26,27.55,27.55,27.55,27.55,000,27.55
2015-01-23,27.75,28.50,27.20,27.55,1074600,27.55
2015-01-22,28.10,28.25,27.55,27.65,543800,27.65
2015-01-21,28.30,28.65,27.65,27.95,1015100,27.95
2015-01-20,28.25,29.10,28.10,28.25,2068200,28.25
2015-01-19,27.65,28.75,27.65,28.20,1339900,28.20
2015-01-16,28.15,28.40,27.55,27.65,1135000,27.65
2015-01-15,28.75,28.95,27.85,28.20,1478400,28.20
2015-01-14,28.30,29.15,28.10,28.55,2676300,28.55
2015-01-13,27.65,29.05,27.30,28.00,4048200,28.00
2015-01-12,27.40,27.85,27.25,27.40,945200,27.40
2015-01-09,28.20,28.20,27.05,27.30,1097700,27.30
2015-01-08,27.50,28.00,27.20,27.70,1928400,27.70
2015-01-07,27.00,27.55,26.80,27.10,991900,27.10
2015-01-06,27.50,28.15,26.50,26.75,3128600,26.75
2015-01-05,27.55,27.85,27.15,27.35,708300,27.35
2015-01-02,27.45,28.15,27.45,27.55,1964700,27.55
2015-01-01,27.30,27.95,27.05,27.65,943400,27.65
2014-12-31,27.05,27.80,26.80,27.30,2501400,27.30
2014-12-30,27.25,27.90,27.05,27.15,1151000,27.15
2014-12-29,27.50,28.15,27.05,27.20,1087400,27.20
2014-12-26,28.30,28.30,27.15,27.45,2047300,27.45
2014-12-25,28.55,28.55,28.55,28.55,000,28.55
2014-12-24,26.45,29.25,25.95,28.55,7063600,28.55
2014-12-23,25.90,26.35,25.35,25.45,506600,25.45
2014-12-22,25.50,26.20,25.50,25.85,543900,25.85
2014-12-19,26.25,26.80,25.15,25.40,1267300,25.40
2014-12-18,25.50,26.60,25.50,26.15,1022400,26.15
2014-12-17,25.00,26.00,24.10,25.30,1249100,25.30
2014-12-16,26.40,26.50,25.05,25.15,1066500,25.15
2014-12-15,26.50,27.20,26.20,26.65,654400,26.65
2014-12-12,27.40,27.85,26.60,26.80,659500,26.80
2014-12-11,28.00,28.40,27.50,27.60,808800,27.60
2014-12-10,27.50,28.45,27.40,28.25,1255800,28.25
2014-12-09,28.30,28.85,27.55,27.75,972300,27.75
2014-12-08,28.30,29.40,28.05,28.55,1468600,28.55
2014-12-05,28.65,29.40,28.30,28.55,1681900,28.55
2014-12-04,29.00,29.30,28.10,28.60,2157800,28.60
2014-12-03,26.75,29.90,26.75,28.95,7982000,28.95
2014-12-02,26.90,27.30,26.50,26.65,934000,26.65
2014-12-01,27.45,27.85,27.00,27.10,979200,27.10
2014-11-28,27.90,28.60,27.60,27.75,1261700,27.75
2014-11-27,27.55,28.10,27.45,27.60,727100,27.60
2014-11-26,27.45,28.25,27.35,27.70,1210800,27.70
2014-11-25,28.30,28.45,27.00,27.45,1230200,27.45
2014-11-24,28.05,30.40,27.70,28.55,6006100,28.55
2014-11-21,28.25,28.45,27.75,27.85,717100,27.85
2014-11-20,28.25,28.70,27.75,27.95,1025700,27.95
2014-11-19,29.20,29.50,28.35,28.50,947300,28.50
2014-11-18,28.40,29.55,28.20,29.30,1842700,29.30
2014-11-17,28.20,28.65,27.80,28.10,998700,28.10
