Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,95.60,102.50,95.60,101.25,253300,101.25
2015-12-30,99.00,99.00,95.50,95.75,22000,95.75
2015-12-29,96.65,98.35,95.00,95.75,51400,95.75
2015-12-28,100.40,100.40,96.00,96.60,17800,96.60
2015-12-25,97.65,97.65,97.65,97.65,000,97.65
2015-12-24,101.00,101.00,96.65,97.65,35700,97.65
2015-12-23,98.60,101.00,97.20,98.05,62300,98.05
2015-12-22,98.00,98.75,96.25,96.50,29300,96.50
2015-12-21,100.00,100.00,98.00,98.65,17800,98.65
2015-12-18,101.00,102.30,98.20,99.70,95900,99.70
2015-12-17,98.00,100.90,97.50,99.30,42700,99.30
2015-12-16,99.00,101.50,96.85,97.75,75500,97.75
2015-12-15,97.20,98.90,95.00,97.70,33800,97.70
2015-12-14,91.50,99.45,88.10,96.35,99000,96.35
2015-12-11,91.00,93.20,90.00,91.10,48600,91.10
2015-12-10,93.00,94.00,89.50,90.20,41600,90.20
2015-12-09,96.50,96.90,90.15,91.35,33700,91.35
2015-12-08,96.95,100.65,94.55,95.65,89300,95.65
2015-12-07,102.25,102.25,94.40,96.35,72200,96.35
2015-12-04,98.70,101.95,96.70,101.25,181900,101.25
2015-12-03,97.05,102.90,96.90,98.70,660100,98.70
2015-12-02,92.65,101.00,90.05,97.30,464900,97.30
2015-12-01,90.60,94.00,90.50,91.20,37900,91.20
2015-11-30,88.65,94.70,86.50,91.65,101900,91.65
2015-11-27,86.95,89.45,83.80,88.50,46700,88.50
2015-11-26,88.00,88.95,85.05,85.50,35000,85.50
2015-11-25,88.45,88.45,88.45,88.45,000,88.45
2015-11-24,90.15,90.30,87.65,88.45,56300,88.45
2015-11-23,83.05,96.00,81.40,91.00,405700,91.00
2015-11-20,77.15,81.90,76.55,81.10,35900,81.10
2015-11-19,74.50,79.90,74.50,77.45,15000,77.45
2015-11-18,77.05,77.05,75.15,76.00,7700,76.00
2015-11-17,78.55,78.55,76.55,77.35,3000,77.35
2015-11-16,76.20,78.50,75.75,77.40,18100,77.40
2015-11-13,77.05,79.45,76.50,78.15,14000,78.15
2015-11-12,74.65,74.65,74.65,74.65,000,74.65
2015-11-11,74.65,74.65,74.65,74.65,000,74.65
2015-11-10,76.05,77.80,74.60,74.65,17800,74.65
2015-11-09,75.05,76.80,73.50,75.70,11900,75.70
2015-11-06,78.05,78.05,74.55,75.05,10700,75.05
2015-11-05,78.00,78.85,77.40,78.05,7000,78.05
2015-11-04,79.55,80.40,77.20,78.60,14300,78.60
2015-11-03,79.35,80.20,78.75,79.90,10100,79.90
2015-11-02,78.75,80.35,78.75,79.75,11500,79.75
2015-10-30,79.50,80.55,78.80,79.95,17200,79.95
2015-10-29,80.20,80.55,79.50,80.05,22000,80.05
2015-10-28,80.15,80.70,78.60,79.60,16400,79.60
2015-10-27,80.00,80.95,78.50,80.00,35100,80.00
2015-10-26,79.50,82.95,74.65,81.45,230000,81.45
2015-10-23,81.85,81.85,78.50,78.95,39100,78.95
2015-10-22,81.80,81.80,81.80,81.80,000,81.80
2015-10-21,84.00,84.60,81.15,81.80,33900,81.80
2015-10-20,81.00,83.30,79.25,82.55,90600,82.55
2015-10-19,86.25,86.80,77.05,79.75,382600,79.75
2015-10-16,80.00,86.45,77.45,84.80,280200,84.80
2015-10-15,72.50,81.45,71.55,80.35,86300,80.35
2015-10-14,71.50,73.95,70.55,71.50,12100,71.50
2015-10-13,71.10,72.05,71.00,71.50,4900,71.50
2015-10-12,72.70,73.15,71.05,71.40,8700,71.40
2015-10-09,71.60,75.40,71.60,73.15,13000,73.15
2015-10-08,75.40,75.95,73.00,73.40,81600,73.40
2015-10-07,71.00,74.25,71.00,73.70,27100,73.70
2015-10-06,71.00,71.45,69.70,70.60,10100,70.60
2015-10-05,69.00,71.50,69.00,70.85,5300,70.85
2015-10-02,69.00,69.00,69.00,69.00,000,69.00
2015-10-01,71.40,71.40,68.70,69.00,7600,69.00
2015-09-30,71.80,71.80,68.00,68.95,31700,68.95
2015-09-29,69.80,71.00,68.50,69.15,12600,69.15
2015-09-28,70.30,72.00,69.90,70.40,12300,70.40
2015-09-25,70.20,70.20,70.20,70.20,000,70.20
2015-09-24,70.50,71.10,70.15,70.20,5300,70.20
2015-09-23,69.00,71.70,67.00,70.05,19800,70.05
2015-09-22,69.05,70.00,68.45,69.35,15600,69.35
2015-09-21,69.50,70.00,68.60,69.30,13900,69.30
2015-09-18,70.00,71.00,69.15,70.00,19500,70.00
2015-09-17,69.20,69.20,69.20,69.20,000,69.20
2015-09-16,72.40,72.40,68.55,69.20,30300,69.20
2015-09-15,71.00,72.80,69.30,71.05,47800,71.05
2015-09-14,69.10,71.00,68.20,69.10,6200,69.10
2015-09-11,69.90,70.00,67.80,69.30,12500,69.30
2015-09-10,68.75,70.00,67.55,69.70,8300,69.70
2015-09-09,69.00,71.25,67.30,69.25,9600,69.25
2015-09-08,68.60,69.50,66.50,69.15,18700,69.15
2015-09-07,66.00,71.30,65.00,68.85,124300,68.85
2015-09-04,64.00,65.45,63.15,65.00,16900,65.00
2015-09-03,64.20,66.00,64.20,64.75,7100,64.75
2015-09-02,63.50,64.95,62.05,63.75,19800,63.75
2015-09-01,66.00,66.00,62.60,63.50,19100,63.50
2015-08-31,65.80,66.90,64.10,66.00,7200,66.00
2015-08-28,66.70,67.50,65.00,65.45,11900,65.45
2015-08-27,65.20,66.95,65.00,65.50,12400,65.50
2015-08-26,64.10,66.90,63.55,65.90,27000,65.90
2015-08-25,64.55,66.35,62.05,64.95,34900,64.95
2015-08-24,69.75,69.75,64.10,64.55,43800,64.55
2015-08-21,70.50,72.00,69.55,71.45,21300,71.45
2015-08-20,74.00,74.00,71.10,71.35,32000,71.35
2015-08-19,74.00,74.50,72.70,73.15,22000,73.15
2015-08-18,73.00,75.50,73.00,74.25,16200,74.25
2015-08-17,73.80,75.20,72.05,74.40,31300,74.40
2015-08-14,74.00,77.25,72.35,73.80,59800,73.80
2015-08-13,74.10,77.85,72.70,73.40,44600,73.40
2015-08-12,80.10,82.00,75.60,76.15,71200,76.15
2015-08-11,85.00,86.60,80.05,81.85,490400,81.85
2015-08-10,76.20,84.15,75.25,81.60,317800,81.60
2015-08-07,74.55,77.50,73.60,76.20,41500,76.20
2015-08-06,71.80,79.45,71.55,75.95,145800,75.95
2015-08-05,73.05,73.65,71.65,72.10,21800,72.10
2015-08-04,71.30,74.25,71.20,72.70,15000,72.70
2015-08-03,70.45,72.75,70.45,72.15,9500,72.15
2015-07-31,73.00,73.25,71.00,71.35,12400,71.35
2015-07-30,73.95,73.95,72.00,72.70,25100,72.70
2015-07-29,72.35,74.00,70.40,73.05,182000,73.05
2015-07-28,68.85,69.80,67.20,68.30,10700,68.30
2015-07-27,69.90,70.25,67.20,68.50,8800,68.50
2015-07-24,69.75,71.00,67.50,68.10,20000,68.10
2015-07-23,70.50,72.50,69.50,69.80,18700,69.80
2015-07-22,70.00,70.95,69.50,70.30,7800,70.30
2015-07-21,71.70,72.50,68.95,69.90,16800,69.90
2015-07-20,70.20,73.00,70.20,72.50,10800,72.50
2015-07-17,71.80,73.75,70.80,71.75,36000,71.75
2015-07-16,73.00,73.45,71.30,72.20,13600,72.20
2015-07-15,77.90,77.90,71.60,73.40,196500,73.40
2015-07-14,68.15,70.50,68.15,70.10,16000,70.10
2015-07-13,68.00,69.45,67.80,68.45,10900,68.45
2015-07-10,70.00,70.90,68.35,68.60,7000,68.60
2015-07-09,69.00,70.70,68.20,69.45,10100,69.45
2015-07-08,69.95,71.25,67.00,70.00,33300,70.00
2015-07-07,68.00,72.45,67.00,69.40,37200,69.40
2015-07-06,69.10,69.10,67.50,68.55,5400,68.55
2015-07-03,69.10,70.00,67.85,68.05,12100,68.05
2015-07-02,69.05,70.65,69.05,69.40,9600,69.40
2015-07-01,71.45,71.45,69.20,69.70,6100,69.70
2015-06-30,69.05,71.80,69.05,70.70,19300,70.70
2015-06-29,70.00,72.70,68.40,70.40,46800,70.40
2015-06-26,70.50,77.10,69.45,72.80,444900,72.80
2015-06-25,66.00,68.90,63.75,67.60,33800,67.60
2015-06-24,64.70,66.00,64.25,64.90,7600,64.90
2015-06-23,68.00,68.00,64.25,65.15,8000,65.15
2015-06-22,66.25,67.45,64.70,65.00,13100,65.00
2015-06-19,70.95,70.95,64.40,66.00,24500,66.00
2015-06-18,71.95,71.95,67.25,69.55,198500,69.55
2015-06-17,61.00,67.00,60.45,65.95,59700,65.95
2015-06-16,62.15,62.45,60.80,60.95,7300,60.95
2015-06-15,63.60,63.95,60.65,62.60,5400,62.60
2015-06-12,64.50,64.50,62.55,63.60,6100,63.60
2015-06-11,66.00,66.00,62.75,63.40,25700,63.40
2015-06-10,66.45,66.50,65.00,65.30,3800,65.30
2015-06-09,66.50,66.65,65.10,66.15,24200,66.15
2015-06-08,66.30,67.85,65.20,67.00,87700,67.00
2015-06-05,65.00,69.35,64.70,66.15,3000,66.15
2015-06-04,65.80,68.90,63.95,65.90,11800,65.90
2015-06-03,65.70,65.80,63.05,63.70,9100,63.70
2015-06-02,67.50,67.95,66.00,66.10,4800,66.10
2015-06-01,70.00,70.00,66.75,68.10,8600,68.10
2015-05-29,66.25,67.70,65.20,67.30,15200,67.30
2015-05-28,66.30,66.80,65.15,65.60,8600,65.60
2015-05-27,66.55,67.80,65.60,65.90,12100,65.90
2015-05-26,70.00,70.00,66.55,67.00,10000,67.00
2015-05-25,69.30,69.65,66.60,68.40,12100,68.40
2015-05-22,66.65,68.00,66.60,67.55,14700,67.55
2015-05-21,67.85,67.95,66.25,66.65,8100,66.65
2015-05-20,68.80,68.80,66.60,67.45,10700,67.45
2015-05-19,65.95,67.30,65.50,67.00,13200,67.00
2015-05-18,66.90,66.95,65.85,66.15,14600,66.15
2015-05-15,66.50,67.40,65.05,65.45,14100,65.45
2015-05-14,67.20,67.75,65.90,66.50,7600,66.50
2015-05-13,68.80,68.80,66.85,67.55,5300,67.55
2015-05-12,67.50,68.65,65.00,67.45,20100,67.45
2015-05-11,68.75,69.95,68.45,69.20,11500,69.20
2015-05-08,70.50,70.50,67.80,68.60,5400,68.60
2015-05-07,68.15,69.80,66.80,67.40,22400,67.40
2015-05-06,72.00,75.60,68.50,68.65,19700,68.65
2015-05-05,73.75,73.75,70.55,71.75,14600,71.75
2015-05-04,72.85,72.85,70.30,71.45,5300,71.45
2015-05-01,70.25,70.25,70.25,70.25,000,70.25
2015-04-30,69.90,70.80,68.50,70.25,9700,70.25
2015-04-29,70.15,70.80,68.55,69.10,7100,69.10
2015-04-28,71.95,71.95,68.70,70.10,8500,70.10
2015-04-27,72.80,72.80,67.00,68.75,11000,68.75
2015-04-24,71.90,71.90,69.20,69.70,10500,69.70
2015-04-23,72.80,72.80,70.60,71.80,13000,71.80
2015-04-22,71.95,72.45,70.35,71.65,8100,71.65
2015-04-21,71.10,72.80,71.10,71.50,9000,71.50
2015-04-20,73.15,73.50,70.90,71.45,7800,71.45
2015-04-17,73.85,74.50,73.05,73.55,9600,73.55
2015-04-16,73.05,75.25,73.05,73.85,10500,73.85
2015-04-15,75.00,75.00,73.00,73.40,19800,73.40
2015-04-14,74.50,74.50,74.50,74.50,000,74.50
2015-04-13,75.95,76.30,73.55,74.50,27700,74.50
2015-04-10,73.80,76.00,73.80,75.30,16600,75.30
2015-04-09,74.10,74.80,73.15,73.50,7600,73.50
2015-04-08,73.80,75.15,73.50,73.80,21400,73.80
2015-04-07,73.30,75.40,72.30,73.35,23800,73.35
2015-04-06,76.80,76.80,71.95,73.05,17600,73.05
2015-04-03,72.00,72.00,72.00,72.00,000,72.00
2015-04-02,72.00,72.00,72.00,72.00,000,72.00
2015-04-01,69.45,72.45,68.60,72.00,53300,72.00
2015-03-31,70.60,71.00,68.25,68.95,33200,68.95
2015-03-30,70.90,71.25,70.00,70.30,12400,70.30
2015-03-27,68.80,70.70,68.20,69.75,84500,69.75
2015-03-26,68.10,69.45,66.70,68.00,14000,68.00
2015-03-25,68.40,69.50,66.40,68.45,17300,68.45
2015-03-24,70.00,70.55,67.80,68.10,19200,68.10
2015-03-23,70.65,70.65,69.00,69.55,24200,69.55
2015-03-20,71.35,73.50,70.00,70.10,18400,70.10
2015-03-19,69.40,75.60,69.40,72.05,61500,72.05
2015-03-18,69.25,72.70,69.25,70.30,21300,70.30
2015-03-17,73.40,73.40,69.30,70.65,124200,70.65
2015-03-16,73.00,74.00,71.15,71.70,13300,71.70
2015-03-13,74.45,75.35,72.60,73.05,12400,73.05
2015-03-12,74.50,74.50,73.05,73.90,22800,73.90
2015-03-11,74.65,75.95,71.65,73.05,30200,73.05
2015-03-10,75.70,77.00,74.05,74.65,148900,74.65
2015-03-09,76.00,77.50,75.10,75.75,10200,75.75
2015-03-06,76.90,76.90,76.90,76.90,000,76.90
2015-03-05,83.50,83.50,76.50,76.90,42100,76.90
2015-03-04,81.90,82.00,77.70,78.55,45400,78.55
2015-03-03,77.60,84.10,76.50,81.05,74400,81.05
2015-03-02,77.00,78.55,75.95,77.90,33500,77.90
2015-02-27,76.70,78.05,74.50,75.60,46400,75.60
2015-02-26,77.00,77.00,75.25,75.75,31900,75.75
2015-02-25,77.00,77.00,74.65,75.00,15000,75.00
2015-02-24,79.00,79.00,74.50,75.75,57900,75.75
2015-02-23,76.50,77.70,74.00,76.70,54200,76.70
2015-02-20,77.00,77.90,73.50,74.75,74200,74.75
2015-02-19,77.50,77.65,75.05,76.00,17900,76.00
2015-02-18,77.00,78.30,76.00,76.40,25800,76.40
2015-02-17,77.50,77.50,77.50,77.50,000,77.50
2015-02-16,79.40,79.40,77.15,77.50,10800,77.50
2015-02-13,78.20,80.05,76.50,76.85,39100,76.85
2015-02-12,78.45,78.50,76.00,76.40,20100,76.40
2015-02-11,75.20,79.00,75.20,75.85,16400,75.85
2015-02-10,76.00,79.00,74.90,75.85,23700,75.85
2015-02-09,81.00,81.75,75.70,76.70,41400,76.70
2015-02-06,84.90,85.00,80.20,80.90,25100,80.90
2015-02-05,86.90,86.90,83.00,84.50,38600,84.50
2015-02-04,84.05,86.45,83.50,85.65,23800,85.65
2015-02-03,84.50,86.05,83.00,83.45,19700,83.45
2015-02-02,87.85,87.90,84.00,84.45,15800,84.45
2015-01-30,85.20,87.50,84.00,84.70,15800,84.70
2015-01-29,87.90,87.95,85.15,85.65,12600,85.65
2015-01-28,87.70,89.10,86.00,86.40,14400,86.40
2015-01-27,88.10,90.80,87.70,88.20,18300,88.20
2015-01-26,88.10,88.10,88.10,88.10,000,88.10
2015-01-23,90.00,90.95,87.40,88.10,18100,88.10
2015-01-22,86.90,91.10,86.85,89.00,45700,89.00
2015-01-21,87.10,88.70,86.05,87.20,16900,87.20
2015-01-20,87.95,89.85,87.05,87.45,26400,87.45
2015-01-19,87.65,88.00,86.05,87.55,19100,87.55
2015-01-16,88.60,88.60,84.70,85.55,36300,85.55
2015-01-15,87.75,89.75,87.05,87.40,25100,87.40
2015-01-14,88.20,88.60,87.00,87.35,22000,87.35
2015-01-13,93.00,93.00,87.00,87.50,37600,87.50
2015-01-12,90.65,91.50,88.50,89.35,17500,89.35
2015-01-09,92.55,93.60,89.10,90.35,19300,90.35
2015-01-08,91.75,94.00,88.10,91.30,28900,91.30
2015-01-07,90.15,91.50,86.35,88.00,28300,88.00
2015-01-06,94.00,95.00,86.65,88.90,33300,88.90
2015-01-05,96.00,98.80,92.00,94.40,155600,94.40
2015-01-02,91.75,96.95,91.40,92.85,42300,92.85
2015-01-01,91.00,91.75,90.00,90.90,15000,90.90
2014-12-31,89.00,90.90,87.20,89.80,20600,89.80
2014-12-30,91.75,91.75,87.70,88.40,22300,88.40
2014-12-29,91.95,91.95,89.10,89.80,25700,89.80
2014-12-26,90.50,91.30,89.20,89.70,15300,89.70
2014-12-25,91.20,91.20,91.20,91.20,000,91.20
2014-12-24,90.00,91.75,90.00,91.20,10900,91.20
