INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,27-Mar-2014,0,XX,11874,12199,11821.15,12151.15,12151.15,148325,447862.18,2199950,164250,10-MAR-2014,
FUTIDX,BANKNIFTY,24-Apr-2014,0,XX,11931,12270.8,11894.95,12224.3,12224.3,5845,17741.67,172775,13875,10-MAR-2014,
FUTIDX,BANKNIFTY,29-May-2014,0,XX,11968.95,12300,11968.95,12259.8,12259.8,371,1131.51,39675,850,10-MAR-2014,
FUTIDX,CNXINFRA,27-Mar-2014,0,XX,0,0,0,2498,2519.7,0,0,300,0,10-MAR-2014,
FUTIDX,CNXINFRA,24-Apr-2014,0,XX,0,0,0,2277.45,2539.35,0,0,0,0,10-MAR-2014,
FUTIDX,CNXINFRA,29-May-2014,0,XX,0,0,0,2349.45,2563.8,0,0,0,0,10-MAR-2014,
FUTIDX,CNXIT,27-Mar-2014,0,XX,10002.05,10030,9840,9859.2,9859.2,761,3775.38,35600,-6750,10-MAR-2014,
FUTIDX,CNXIT,24-Apr-2014,0,XX,9980.1,9990,9870,9890.3,9890.3,52,257.45,1900,750,10-MAR-2014,
FUTIDX,CNXIT,29-May-2014,0,XX,0,0,0,10451.1,10026.75,0,0,0,0,10-MAR-2014,
FUTIDX,CNXPSE,27-Mar-2014,0,XX,0,0,0,2687.6,2726.65,0,0,0,0,10-MAR-2014,
FUTIDX,CNXPSE,24-Apr-2014,0,XX,0,0,0,2566.5,2747.9,0,0,0,0,10-MAR-2014,
FUTIDX,CNXPSE,29-May-2014,0,XX,0,0,0,2573.05,2774.35,0,0,0,0,10-MAR-2014,
FUTIDX,DJIA,21-Mar-2014,0,XX,16395,16455,16362.5,16445,16445,123,504.65,44000,525,10-MAR-2014,
FUTIDX,DJIA,17-Apr-2014,0,XX,16350,16350,16350,16350,16625,10,40.87,300,250,10-MAR-2014,
FUTIDX,DJIA,16-May-2014,0,XX,0,0,0,16492.5,16757.5,0,0,0,0,10-MAR-2014,
FUTIDX,DJIA,20-Jun-2014,0,XX,0,0,0,16055,16920,0,0,0,0,10-MAR-2014,
FUTIDX,DJIA,19-Sep-2014,0,XX,0,0,0,16480,17347.5,0,0,0,0,10-MAR-2014,
FUTIDX,DJIA,19-Dec-2014,0,XX,0,0,0,17717.5,17785,0,0,0,0,10-MAR-2014,
FUTIDX,FTSE100,21-Mar-2014,0,XX,0,0,0,6795,6733,0,0,4550,0,10-MAR-2014,
FUTIDX,FTSE100,17-Apr-2014,0,XX,0,0,0,6970,6783,0,0,0,0,10-MAR-2014,
FUTIDX,FTSE100,16-May-2014,0,XX,0,0,0,6964,6837,0,0,0,0,10-MAR-2014,
FUTIDX,FTSE100,20-Jun-2014,0,XX,0,0,0,6757,6903,0,0,0,0,10-MAR-2014,
FUTIDX,FTSE100,19-Sep-2014,0,XX,0,0,0,7435,7077,0,0,0,0,10-MAR-2014,
FUTIDX,FTSE100,19-Dec-2014,0,XX,0,0,0,7241,7256,0,0,0,0,10-MAR-2014,
FUTIDX,NFTYMCAP50,27-Mar-2014,0,XX,2300,2300,2300,2300,2308.6,1,3.45,0,-150,10-MAR-2014,
FUTIDX,NFTYMCAP50,24-Apr-2014,0,XX,0,0,0,2119.65,2326.6,0,0,0,0,10-MAR-2014,
FUTIDX,NFTYMCAP50,29-May-2014,0,XX,0,0,0,2199.75,2349,0,0,0,0,10-MAR-2014,
FUTIDX,NIFTY,27-Mar-2014,0,XX,6525,6594.2,6520.15,6567.55,6567.55,223416,732488.77,18173000,60450,10-MAR-2014,
FUTIDX,NIFTY,24-Apr-2014,0,XX,6561.2,6636,6556.7,6606.95,6606.95,17824,58793.12,2310750,165650,10-MAR-2014,
FUTIDX,NIFTY,29-May-2014,0,XX,6588,6656,6585.35,6630.45,6630.45,5641,18666.4,494750,13250,10-MAR-2014,
FUTIDX,S&P500,21-Mar-2014,0,XX,1872.5,1880,1868,1878.75,1878.75,212,992.56,275000,19000,10-MAR-2014,
FUTIDX,S&P500,17-Apr-2014,0,XX,0,0,0,1897.75,1897.75,0,0,1500,0,10-MAR-2014,
FUTIDX,S&P500,16-May-2014,0,XX,0,0,0,1880.75,1913,0,0,0,0,10-MAR-2014,
FUTIDX,S&P500,20-Jun-2014,0,XX,0,0,0,1727.75,1931.25,0,0,0,0,10-MAR-2014,
FUTIDX,S&P500,19-Sep-2014,0,XX,0,0,0,1817.25,1980,0,0,0,0,10-MAR-2014,
FUTIDX,S&P500,19-Dec-2014,0,XX,0,0,0,1981.5,2030,0,0,0,0,10-MAR-2014,
FUTIVX,INDIAVIX,11-Mar-2014,0,XX,1625.25,1765,1625,1746,1746,526,6836.69,159000,32250,10-MAR-2014,
FUTIVX,INDIAVIX,18-Mar-2014,0,XX,1724.75,1816.75,1724.75,1798,1798,164,2197.93,62250,5250,10-MAR-2014,
FUTIVX,INDIAVIX,25-Mar-2014,0,XX,1796,1872,1793,1853.75,1853.75,112,1554.2,85500,17250,10-MAR-2014,
FUTSTK,ABIRLANUVO,27-Mar-2014,0,XX,1088.05,1131.65,1085,1104.7,1104.7,2335,6497.19,832750,171750,10-MAR-2014,
FUTSTK,ABIRLANUVO,24-Apr-2014,0,XX,1102.7,1134,1102.7,1111.9,1111.9,32,89.69,25500,0,10-MAR-2014,
FUTSTK,ABIRLANUVO,29-May-2014,0,XX,0,0,0,1113.65,1121.7,0,0,0,0,10-MAR-2014,
FUTSTK,ACC,27-Mar-2014,0,XX,1220.45,1263.3,1220.45,1244.3,1244.3,2217,6879.04,986250,23000,10-MAR-2014,
